## 1
## 기성용은 18일(한국시간) 사우스햄턴과의 잉글랜드 프리미어리그 경기 도중 교체되는 과정에서 프란체스코 귀돌린 감독이 청한 악수를 무시했다.
## <기성용:PER>은 <18일:DAT>(<한국:LOC>시간) <사우스햄턴:ORG>과의 <잉글랜드 프리미어리그:POH> 경기 도중 교체되는 과정에서 <프란체스코 귀돌린:PER> 감독이 청한 악수를 무시했다.
기성용	기성용	NNP	B-PER
은	은	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
사우스햄턴	사우스햄턴	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
잉글랜드	잉글랜드	NNP	B-POH
_	_	_	I-POH
프리미어	프리미어	NNG	I-POH
리그	리그	NNG	I-POH
_	_	_	O
경기	경기	NNG	O
_	_	_	O
도중	도중	NNG	O
_	_	_	O
교체되	교체되	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
프란체스코	프란체스코	NNP	B-PER
_	_	_	I-PER
귀	귀	NNG	I-PER
돌린	돌리+ㄴ	VV+ETM	I-PER
_	_	_	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
청한	청하+ㄴ	VV+ETM	O
_	_	_	O
악수	악수	NNG	O
를	를	JKO	O
_	_	_	O
무시	무시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 원터치는 당뇨병 환자들의 소모성 재료 보험 신청을 대리해 주는 ‘원터치 원스톱 서비스’를 함께 제공하고 있다.
## <원터치:ORG>는 당뇨병 환자들의 소모성 재료 보험 신청을 대리해 주는 <‘원터치 원스톱 서비스:POH>’를 함께 제공하고 있다.
원터치	원터치	NNG	B-ORG
는	는	JX	O
_	_	_	O
당뇨병	당뇨병	NNG	O
_	_	_	O
환자	환자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
소모	소모	NNG	O
성	성	XSN	O
_	_	_	O
재료	재료	NNG	O
_	_	_	O
보험	보험	NNG	O
_	_	_	O
신청	신청	NNG	O
을	을	JKO	O
_	_	_	O
대리해	대리하+여	VV+EC	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	B-POH
원터치	원터치	NNG	I-POH
_	_	_	I-POH
원스톱	원스톱	NNG	I-POH
_	_	_	I-POH
서비스	서비스	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
제공하	제공하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 리 총리는 22~29일까지 8일간 일정으로 호주와 뉴질랜드를 순방하는 일정을 소화하고 있다.
