## 1
## 초기라면 1~2주 내로 치료된다.
## 초기라면 <1:NOH>~<2주:NOH> 내로 치료된다.
초기	초기+이	NNG+VCP	O
라면	라면	EC	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
2	2	SN	B-NOH
주	주	NNB	I-NOH
_	_	_	O
내	내	NNB	O
로	로	JKB	O
_	_	_	O
치료된다	치료되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 가다피 리비아대통령의 인터뷰가 CNN의 전파를 탄 것은 불과 6개월후.
## <가다피:PER> 리비아대통령의 인터뷰가 <CNN:ORG>의 전파를 탄 것은 불과 <6개월:DUR>후.
가다피	가다피	NNP	B-PER
_	_	_	O
리비아	리비아	NNP	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
가	가	JKS	O
_	_	_	O
CNN	CNN	SL	B-ORG
의	의	JKG	O
_	_	_	O
전파	전파	NNG	O
를	를	JKO	O
_	_	_	O
탄	타+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
불과	불과	MAG	O
_	_	_	O
6	6	SN	B-DUR
개월	개월	NNB	I-DUR
후	후	NNG	O
.	.	SF	O

## 3
## 김광규는 "네가 이나영이라 생각하라"고 답해 웃음을 자아냈다.
## <김광규:PER>는 "네가 <이나영:PER>이라 생각하라"고 답해 웃음을 자아냈다.
김광규	김광규	NNP	B-PER
는	는	JX	O
_	_	_	O
"	"	SS	O
네	네	NP	O
가	가	JKS	O
_	_	_	O
이나영	이나영	NNP	B-PER
이	이	VCP	O
라	라	EC	O
_	_	_	O
생각하	생각하	VV	O
라	라	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
답해	답하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편 '삼시세끼'는 도시에서 쉽게 해결할 수 있는 한 끼 식사를 한적한 시골에서 어렵게 해결해 보는 예능 프로그램이다.
## 한편 '<삼시세끼:POH>'는 도시에서 쉽게 해결할 수 있는 한 끼 식사를 한적한 시골에서 어렵게 해결해 보는 예능 프로그램이다.
한편	한편	MAG	O
_	_	_	O
'	'	SS	O
삼시세끼	삼시세끼	NNP	B-POH
'	'	SS	O
는	는	JX	O
_	_	_	O
도시	도시	NNG	O
에서	에서	JKB	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
해결할	해결하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
한	한	MM	O
_	_	_	O
끼	끼	NNG	O
_	_	_	O
식사	식사	NNG	O
를	를	JKO	O
_	_	_	O
한적한	한적하+ㄴ	VA+ETM	O
_	_	_	O
시골	시골	NNG	O
에서	에서	JKB	O
_	_	_	O
어렵	어렵	VA	O
게	게	EC	O
_	_	_	O
해결해	해결하+여	VV+EC	O
_	_	_	O
보	보	VX	O
는	는	ETM	O
_	_	_	O
예능	예능	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 이러한 과정을 겪으면서 지코는 리더로서 깨달은 바가 크다고 한다.
