## 1
## 시대를 앞서는 발상으로 유명한 미국의 맥주 회사 버드라이트는 최근 “모든 성을 위한 맥주”를 카피로 내세운 광고로 눈길을 끌었다.
## 시대를 앞서는 발상으로 유명한 <미국:LOC>의 맥주 회사 <버드라이트:ORG>는 최근 “모든 성을 위한 맥주”를 카피로 내세운 광고로 눈길을 끌었다.
시대	시대	NNG	O
를	를	JKO	O
_	_	_	O
앞서	앞서	VV	O
는	는	ETM	O
_	_	_	O
발상	발상	NNG	O
으로	으로	JKB	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
미국	미국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
맥주	맥주	NNG	O
_	_	_	O
회사	회사	NNG	O
_	_	_	O
버드라이트	버드라이트	NNG	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
“	“	SS	O
모든	모든	MM	O
_	_	_	O
성	성	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
맥주	맥주	NNG	O
”	”	SS	O
를	를	JKO	O
_	_	_	O
카피	카피	NNG	O
로	로	JKB	O
_	_	_	O
내세운	내세우+ㄴ	VV+ETM	O
_	_	_	O
광고	광고	NNG	O
로	로	JKB	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 즉시 그와 관련한 그래미상정보로 이동한다.
## 즉시 그와 관련한 <그래미상:POH>정보로 이동한다.
즉시	즉시	NNG	O
_	_	_	O
그	그	NP	O
와	와	JKB	O
_	_	_	O
관련한	관련하+ㄴ	VV+ETM	O
_	_	_	O
그래미상	그래미상	NNG	B-POH
정보	정보	NNG	O
로	로	JKB	O
_	_	_	O
이동한다	이동하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 전세계 평균적으로 생활용품 및 식품 온라인 구매 경험률이 20∼30%대에 머무르고 있는 점을 고려할 때, 중국·한국·인도의 일상 소비재 온라인 구매가 활발히 이뤄지고 있는 것으로 분석됐다.
## 전세계 평균적으로 생활용품 및 식품 온라인 구매 경험률이 <20:PNT>∼<30%:PNT>대에 머무르고 있는 점을 고려할 때, <중국:LOC>·<한국:LOC>·<인도:LOC>의 일상 소비재 온라인 구매가 활발히 이뤄지고 있는 것으로 분석됐다.
전	전	MM	O
세계	세계	NNG	O
_	_	_	O
평균적	평균적	NNG	O
으로	으로	JKB	O
_	_	_	O
생활	생활	NNG	O
용품	용품	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
식품	식품	NNG	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
구매	구매	NNG	O
_	_	_	O
경험	경험	NNG	O
률	률	XSN	O
이	이	JKS	O
_	_	_	O
20	20	SN	B-PNT
∼	∼	SO	O
30	30	SN	B-PNT
%	%	SW	I-PNT
대	대	NNG	O
에	에	JKB	O
_	_	_	O
머무르	머무르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
고려할	고려하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-LOC
·	·	SP	O
한국	한국	NNP	B-LOC
·	·	SP	O
인도	인도	NNP	B-LOC
의	의	JKG	O
_	_	_	O
일상	일상	NNG	O
_	_	_	O
소비재	소비재	NNG	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
구매	구매	NNG	O
가	가	JKS	O
_	_	_	O
활발히	활발히	MAG	O
_	_	_	O
이뤄지	이루어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
분석	분석되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## vs SM측 “팀 활동 신중히 결정할 것” 팽팽
## vs <SM:ORG>측 “팀 활동 신중히 결정할 것” 팽팽
vs	vs	SL	O
_	_	_	O
SM	SM	SL	B-ORG
측	측	NNB	O
_	_	_	O
“	“	SS	O
팀	팀	NNG	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
신중히	신중히	MAG	O
