## 1
## 직원에게 물어보니 이 차가 팔린 가격은 15만 파운드(약 2억1500만 원). 1978년 당시 이 차의 가격은 1998파운드(약 286만 원)였다.
## 직원에게 물어보니 이 차가 팔린 가격은 <15만 파운드:MNY>(약 <2억1500만 원:MNY>). <1978년:DAT> 당시 이 차의 가격은 <1998파운드:MNY>(약 <286만 원:MNY>)였다.
직원	직원	NNG	O
에게	에게	JKB	O
_	_	_	O
물어보	물어보	VV	O
니	니	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
차	차	NNG	O
가	가	JKS	O
_	_	_	O
팔린	팔리+ㄴ	VV+ETM	O
_	_	_	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
15	15	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
파운드	파운드	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
2	2	SN	B-MNY
억	억	NR	I-MNY
1500	1500	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
.	.	SF	O
_	_	_	O
1978	1978	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
당시	당시	NNG	O
_	_	_	O
이	이	MM	O
_	_	_	O
차	차	NNG	O
의	의	JKG	O
_	_	_	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
1998	1998	SN	B-MNY
파운드	파운드	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
286	286	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)+이	SS+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 외교부는 김 이사장이 19일 의원면직서를 제출했으며 면직 관련 행정절차가 진행 중이라고 밝혔다.
## <외교부:ORG>는 <김:PER> 이사장이 <19일:DAT> 의원면직서를 제출했으며 면직 관련 행정절차가 진행 중이라고 밝혔다.
외교	외교	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
이사장	이사장	NNG	O
이	이	JKS	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
의원면직	의원면직	NNG	O
서	서	XSN	O
를	를	JKO	O
_	_	_	O
제출	제출하	VV	O
했	었	EP	O
으며	으며	EC	O
_	_	_	O
면직	면직	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
행정	행정	NNG	O
절차	절차	NNG	O
가	가	JKS	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 현재 ‘우리 결혼했어요’에는 최태준·윤보미 외에도 배우 정혜성과 공명, 개그우먼 이국주와 가수 슬리피가 출연 중이다.
## 한편 현재 ‘<우리 결혼했어요:POH>’에는 <최태준:PER>·<윤보미:PER> 외에도 배우 <정혜성:PER>과 <공:PER>명, 개그우먼 <이국주:PER>와 가수 <슬리피:PER>가 출연 중이다.
한편	한편	MAG	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
결혼	결혼하	VV	I-POH
했	었	EP	I-POH
어요	어요	EF	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
최태준	최태준	NNP	B-PER
·	·	SP	O
윤보미	윤보미	NNP	B-PER
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
정혜성	정혜성	NNP	B-PER
과	과	JC	O
_	_	_	O
공명	공명	NNG	O
,	,	SP	O
_	_	_	O
개그우먼	개그우먼	NNG	O
_	_	_	O
이국주	이국주	NNP	B-PER
와	와	JC	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
슬리피	슬리피	NNG	B-PER
가	가	JKS	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## (서울=뉴스1스타)
## (<서울:LOC>=<뉴스1스타:POH>)
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	B-POH
1	1	SN	I-POH
스타	스타	NNG	I-POH
)	)	SS	O

## 5
## 2차 드래프트를 통해 총 30명의 선수가 유니폼을 갈아입었는데, 특히 kt로 넘어간 이진영에게 관심이 쏠리고 있다.
