## 1
## 양효진 20득점…현대건설, 4년만에 챔프전 진출
## <양효진:PER> <20득점:NOH>…<현대건설:ORG>, <4년만:NOH>에 챔프전 진출
양효진	양효진	NNP	B-PER
_	_	_	O
20	20	SN	B-NOH
득점	득점	NNG	I-NOH
…	…	SE	O
현대건설	현대건설	NNP	B-ORG
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
년	년	NNB	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
챔프	챔프	NNG	O
전	전	XSN	O
_	_	_	O
진출	진출	NNG	O

## 2
## 남들은 도수 내리는데 맥캘란 40도 새 제품 내놔
## 남들은 도수 내리는데 <맥캘란:ORG> <40도:NOH> 새 제품 내놔
남	남	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
도수	도수	NNG	O
_	_	_	O
내리	내리	VV	O
는데	는데	EC	O
_	_	_	O
맥캘	맥캘	NNG	B-ORG
란	란	JX	I-ORG
_	_	_	O
40	40	SN	B-NOH
도	도	NNB	I-NOH
_	_	_	O
새	새	MM	O
_	_	_	O
제품	제품	NNG	O
_	_	_	O
내놔	내놓+아	VV+EF	O

## 3
## 우 씨는 8월 중순 한 재한 중국인 인터넷 커뮤니티에 자신의 억울함과 실망감을 담은 글을 올렸다.
## <우:PER> 씨는 <8월:DAT> 중순 한 재한 중국인 인터넷 커뮤니티에 자신의 억울함과 실망감을 담은 글을 올렸다.
우	우	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
중순	중순	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
재한	재한	NNG	O
_	_	_	O
중국인	중국인	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
커뮤니티	커뮤니티	NNG	O
에	에	JKB	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
억울함	억울하+ㅁ	VA+ETN	O
과	과	JC	O
_	_	_	O
실망감	실망감	NNG	O
을	을	JKO	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 여기에다 중국이 아시아인프라투자은행(AIIB) 부총재직 신규 공모 발표를 사드 배치 결정 시기에 맞춰 한 것을 ‘중국이 한국에 보낸 메시지’로 해석하는 이도 적지 않다.
## 여기에다 <중국:ORG>이 <아시아인프라투자은행:ORG>(<AIIB:ORG>) 부총재직 신규 공모 발표를 사드 배치 결정 시기에 맞춰 한 것을 ‘<중국:ORG>이 <한국:ORG>에 보낸 메시지’로 해석하는 이도 적지 않다.
여기	여기	NP	O
에다	에다	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
아시아인프라투자은행	아시아인프라투자은행	NNP	B-ORG
(	(	SS	O
AIIB	AIIB	SL	B-ORG
)	)	SS	O
_	_	_	O
부총재	부총재	NNG	O
직	직	NNG	O
_	_	_	O
신규	신규	NNG	O
_	_	_	O
공모	공모	NNG	O
_	_	_	O
발표	발표	NNG	O
를	를	JKO	O
_	_	_	O
사드	사드	NNP	O
_	_	_	O
배치	배치	NNG	O
_	_	_	O
결정	결정	NNG	O
_	_	_	O
시기	시기	NNG	O
에	에	JKB	O
_	_	_	O
맞춰	맞추+어	VV+EC	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
