## 1
## 측에 따르면, 7일 방송 분에서 전현무는 ‘나 혼자 산다’의 마스코트 인형 윌슨을 씻긴 후 기진맥진했다고. 이에 그는 원기를 회복하기 위해 야관문주를 담그기로 결심했다.
## 측에 따르면, <7일:DAT> 방송 분에서 <전현무:PER>는 ‘<나 혼자 산다:POH>’의 마스코트 인형 <윌슨:PER>을 씻긴 후 기진맥진했다고. 이에 그는 원기를 회복하기 위해 야관문주를 담그기로 결심했다.
측	측	NNB	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
,	,	SP	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송	방송	NNG	O
_	_	_	O
분	분	NNB	O
에서	에서	JKB	O
_	_	_	O
전현	전현	NNG	B-PER
무	무	NNG	I-PER
는	는	JX	O
_	_	_	O
‘	‘	SS	O
나	나	NP	B-POH
_	_	_	I-POH
혼자	혼자	NNG	I-POH
_	_	_	I-POH
산다	살+ㄴ다	VV+EF	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
마스코트	마스코트	NNG	O
_	_	_	O
인형	인형	NNG	O
_	_	_	O
윌슨	윌슨	NNP	B-PER
을	을	JKO	O
_	_	_	O
씻긴	씻기+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
기진맥진	기진맥진하	VV	O
했	였	EP	O
다고	다고	EF	O
.	.	SF	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
원기	원기	NNG	O
를	를	JKO	O
_	_	_	O
회복하	회복하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
야관문주	야관문주	NNG	O
를	를	JKO	O
_	_	_	O
담그	담그	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결심	결심하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 1년 이상 방영되며 시청자들은 애정만큼 익숙함도 커졌다.
## <1년:NOH> 이상 방영되며 시청자들은 애정만큼 익숙함도 커졌다.
1	1	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
방영되	방영되	VV	O
며	며	EC	O
_	_	_	O
시청자	시청자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
애정	애정	NNG	O
만큼	만큼	JX	O
_	_	_	O
익숙함	익숙하+ㅁ	VA+ETN	O
도	도	JX	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 광주월드컵경기장에서 예정된 광주FC와 수원삼성의 대결이다.
## <광주월드컵경:LOC>기장에서 예정된 <광주FC:ORG>와 <수원삼성:ORG>의 대결이다.
광주월드컵경기장	광주월드컵경기장	NNP	O
에서	에서	JKB	O
_	_	_	O
예정된	예정되+ㄴ	VV+ETM	O
_	_	_	O
광주	광주	NNP	B-ORG
FC	FC	SL	I-ORG
와	와	JC	O
_	_	_	O
수원삼성	수원삼성	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대결	대결	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 복면가왕 호남선은 MBC뉴스 김소영 아나운서 … '예쁘고 수준급 가창력'
## <복면가왕:POH> <호남선:PER>은 <MBC뉴스:ORG> <김소영:PER> 아나운서 … '예쁘고 수준급 가창력'
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
_	_	_	O
호남선	호남선	NNP	B-PER
은	은	JX	O
_	_	_	O
MBC	MBC	SL	B-ORG
뉴스	뉴스	NNG	I-ORG
_	_	_	O
김소영	김소영	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
'	'	SS	O
예쁘	예쁘	VA	O
고	고	EC	O
_	_	_	O
수준급	수준급	NNG	O
_	_	_	O
가창력	가창력	NNG	O
'	'	SS	O

## 5
## 전국 할인점과 네스카페 온라인샵에서 10개입 및 미니 30개입 단위로 판매된다.
## 전국 할인점과 <네스카페 온라인샵:POH>에서 <10개입:NOH> 및 미니 <30개입:NOH> 단위로 판매된다.
전국	전국	NNG	O
_	_	_	O
할인점	할인점	NNG	O
과	과	JC	O
_	_	_	O
네스카페	네스카페	NNP	B-POH
_	_	_	I-POH
온라인	온라인	NNG	I-POH
샵	샵	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
10	10	SN	B-NOH
개입	개입	NNG	I-NOH
_	_	_	O
및	및	MAG	O
_	_	_	O
미니	미니	NNG	O
_	_	_	O
30	30	SN	B-NOH
개입	개입	NNG	I-NOH
_	_	_	O
단위	단위	NNG	O
로	로	JKB	O
_	_	_	O
판매된다	판매되+ㄴ다	VV+EF	O
.	.	SF	O

## 6
