## 1
## 횡단보도를 건너던 30대 남성을 들이받았다.
## 횡단보도를 건너던 <30대:NOH> 남성을 들이받았다.
횡단보도	횡단보도	NNG	O
를	를	JKO	O
_	_	_	O
건너	건너	VV	O
던	던	ETM	O
_	_	_	O
30	30	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
남성	남성	NNG	O
을	을	JKO	O
_	_	_	O
들이받	들이받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 다행히 정수민(26)이라는 깜짝 스타가 나타나 그의 공백을 메웠지만, 에이스 없이 시즌을 치르느라 불펜에 과부하가 걸렸다.
## 다행히 <정수민:PER>(<26:NOH>)이라는 깜짝 스타가 나타나 그의 공백을 메웠지만, 에이스 없이 시즌을 치르느라 불펜에 과부하가 걸렸다.
다행히	다행히	MAG	O
_	_	_	O
정수민	정수민	NNP	B-PER
(	(	SS	O
26	26	SN	B-NOH
)	)	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
스타	스타	NNG	O
가	가	JKS	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
공백	공백	NNG	O
을	을	JKO	O
_	_	_	O
메	메우	VV	O
웠	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
에이스	에이스	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
치르	치르	VV	O
느라	느라	EC	O
_	_	_	O
불펜	불펜	NNG	O
에	에	JKB	O
_	_	_	O
과부하	과부하	NNG	O
가	가	JKS	O
_	_	_	O
걸	걸리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 아마존의 대자연에서 수확한 희귀한 천연 재료를 베이스로 제조된 다양한 제품이 차세대 히트 아이템 등극을 눈앞에 두고 있다.
## <아마존:ORG>의 대자연에서 수확한 희귀한 천연 재료를 베이스로 제조된 다양한 제품이 차세대 히트 아이템 등극을 눈앞에 두고 있다.
아마존	아마존	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대자연	대자연	NNG	O
에서	에서	JKB	O
_	_	_	O
수확한	수확하+ㄴ	VV+ETM	O
_	_	_	O
희귀한	희귀하+ㄴ	VA+ETM	O
_	_	_	O
천연	천연	NNG	O
_	_	_	O
재료	재료	NNG	O
를	를	JKO	O
_	_	_	O
베이스	베이스	NNG	O
로	로	JKB	O
_	_	_	O
제조된	제조되+ㄴ	VV+ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
제품	제품	NNG	O
이	이	JKS	O
_	_	_	O
차세대	차세대	NNG	O
_	_	_	O
히트	히트	NNG	O
_	_	_	O
아이템	아이템	NNG	O
_	_	_	O
등극	등극	NNG	O
을	을	JKO	O
_	_	_	O
눈앞	눈앞	NNG	O
에	에	JKB	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 한국에서도 먹을 수 있는 오가닉을 고집하는 미국 브랜드가 큰 인기를 얻고 있다고 들었다.
## <한국:LOC>에서도 먹을 수 있는 오가닉을 고집하는 <미국:LOC> 브랜드가 큰 인기를 얻고 있다고 들었다.
한국	한국	NNP	B-LOC
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
먹	먹	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
오가닉	오가닉	NNG	O
을	을	JKO	O
_	_	_	O
고집하	고집하	VV	O
는	는	ETM	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
브랜드	브랜드	NNG	O
가	가	JKS	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다고	다고	EC	O
_	_	_	O
들	듣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 새마을운동은 이제 세계적으로 ‘행정한류’를 상징하는 유명 브랜드가 돼 가요. 여기에 아마 정부3.0도 새 수출품으로 장착될 겁니다.
