## 1
## 연공서열, 종신고용등 가장 일본적인 경영을 해온 마쓰시타전기가 간부들에게 올 겨울 보너스를 전격적으로 차등지급했다.
## 연공서열, 종신고용등 가장 <일본:ORG>적인 경영을 해온 <마쓰시타전기:ORG>가 간부들에게 올 겨울 보너스를 전격적으로 차등지급했다.
연공서열	연공서열	NNG	O
,	,	SP	O
_	_	_	O
종신	종신	NNG	O
고용	고용	NNG	O
등	등	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
일본	일본	NNP	B-ORG
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경영	경영	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
마쓰시타	마쓰시타	NNP	B-ORG
전기	전기	NNG	I-ORG
가	가	JKS	O
_	_	_	O
간부	간부	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
올	올	NNG	O
_	_	_	O
겨울	겨울	NNG	O
_	_	_	O
보너스	보너스	NNG	O
를	를	JKO	O
_	_	_	O
전격적	전격적	NNG	O
으로	으로	JKB	O
_	_	_	O
차등	차등	NNG	O
지급	지급	NNG	O
했	하+였	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그 중에서도 잊지 못할 게임이 하나 있다.
## 그 중에서도 잊지 못할 게임이 <하나:NOH> 있다.
그	그	MM	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
잊	잊	VV	O
지	지	EC	O
_	_	_	O
못할	못하+ㄹ	VX+ETM	O
_	_	_	O
게임	게임	NNG	O
이	이	JKS	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 바로 '쌍용'으로 우리에게 더 잘 알려진 테크노스 저팬의 액션 게임 '더블 드래곤'(쌍절룡)이다.
## 바로 '<쌍용:POH>'으로 우리에게 더 잘 알려진 <테크노스 저팬:ORG>의 액션 게임 '<더블 드래곤:POH>'(<쌍절룡:POH>)이다.
바로	바로	MAG	O
_	_	_	O
'	'	SS	O
쌍용	쌍용	NNP	B-POH
'	'	SS	O
으로	으로	JKB	O
_	_	_	O
우리	우리	NP	O
에게	에게	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
테크	테크	NNG	B-ORG
노스	노스	NNG	I-ORG
_	_	_	I-ORG
저팬	저팬	NNP	I-ORG
의	의	JKG	O
_	_	_	O
액션	액션	NNG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
'	'	SS	O
더블	더블	NNG	B-POH
_	_	_	I-POH
드래곤	드래곤	NNG	I-POH
'	'	SS	O
(	(	SS	O
쌍절	쌍절	NNG	B-POH
룡	룡	NNG	I-POH
)	)	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 길이가 50여 m에 이르는 메인라인에서는 조립, 검사, 포장 과정을 차례로 밟는다.
## 길이가 <50여 m:NOH>에 이르는 메인라인에서는 조립, 검사, 포장 과정을 차례로 밟는다.
길이	길이	NNG	O
가	가	JKS	O
_	_	_	O
50	50	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
m	m	SL	I-NOH
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
는	는	ETM	O
_	_	_	O
메인	메인	NNG	O
라인	라인	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
조립	조립	NNG	O
,	,	SP	O
_	_	_	O
검사	검사	NNG	O
,	,	SP	O
_	_	_	O
포장	포장	NNG	O
_	_	_	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
차례	차례	NNG	O
로	로	JKB	O
_	_	_	O
밟	밟	VV	O
는다	는다	EF	O
.	.	SF	O

## 5
## 다양한 스타일의 가구, 조명, 테이블 웨어, 데코레이션 소품 등 400여개 브랜드 제품이 참가해 역대 최대인 900부스 규모로 열린다.
## 다양한 스타일의 가구, 조명, 테이블 웨어, 데코레이션 소품 등 <400여개:NOH> 브랜드 제품이 참가해 역대 최대인 <900부스:NOH> 규모로 열린다.
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
스타일	스타일	NNG	O
의	의	JKG	O
_	_	_	O
가구	가구	NNG	O
,	,	SP	O
_	_	_	O
조명	조명	NNG	O
,	,	SP	O
_	_	_	O
테이블	테이블	NNG	O
_	_	_	O
웨어	웨어	NNG	O
,	,	SP	O
_	_	_	O
데코레이션	데코레이션	NNG	O
_	_	_	O
소품	소품	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
400	400	SN	B-NOH
여	여	XSN	I-NOH
개	개	NNB	I-NOH
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
제품	제품	NNG	O
이	이	JKS	O
_	_	_	O
참가해	참가하+여	VV+EC	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
최대	최대	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
900	900	SN	B-NOH
부스	부스	NNG	I-NOH
_	_	_	O
규모	규모	NNG	O
로	로	JKB	O
_	_	_	O
열린다	열리+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 설현의 소속사 측은 지난 2010년 열린 스마트 교복 모델 대회에서 우월한 몸매를 자랑한 설현의 사진을 공개했다.
## <설현:PER>의 소속사 측은 지난 <2010년:DAT> 열린 <스마트 교복 모델 대회:POH>에서 우월한 몸매를 자랑한 <설현:PER>의 사진을 공개했다.
설현	설현	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
스마트	스마트	NNG	B-POH
_	_	_	I-POH
교복	교복	NNG	I-POH
_	_	_	I-POH
모델	모델	NNG	I-POH
_	_	_	I-POH
대회	대회	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
우월한	우월하+ㄴ	VA+ETM	O
_	_	_	O
몸매	몸매	NNG	O
를	를	JKO	O
_	_	_	O
자랑한	자랑하+ㄴ	VV+ETM	O
_	_	_	O
설현	설현	NNP	B-PER
의	의	JKG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 설현은 당시 중학교 3학년 학생으로, 16살이었다.
## <설현:PER>은 당시 중학교 <3학년:NOH> 학생으로, <16살:NOH>이었다.
설현	설현	NNP	B-PER
은	은	JX	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
중학교	중학교	NNG	O
_	_	_	O
3	3	SN	B-NOH
학년	학년	NNG	I-NOH
_	_	_	O
학생	학생	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
16	16	SN	B-NOH
살	살	NNB	I-NOH
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 톡하는대로 차오루, 애프터스쿨 나나와 진짜사나이 합류‘톡하는대로’에 출연해 화제를 모으고 있는 피에스타 차오루가 진짜사나이 여군특집에 출연한다.
## 톡하는대로 <차오루:PER>, <애프터스쿨:ORG> <나나:PER>와 <진짜사나이:POH> 합류‘<톡하는대로:POH>’에 출연해 화제를 모으고 있는 <피에스타:ORG> <차오루:PER>가 <진짜사나이:POH> 여군특집에 출연한다.
톡	톡	MAG	O
하	하	VV	O
는	는	ETM	O
대로	대로	NNB	O
_	_	_	O
차오	차오	NNG	B-PER
루	루	JKB	I-PER
,	,	SP	O
_	_	_	O
애프터	애프터	NNG	B-ORG
스쿨	스쿨	NNG	I-ORG
_	_	_	O
나나	나나	NNP	B-PER
와	와	JC	O
_	_	_	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
_	_	_	O
합류	합류	NNG	O
‘	‘	SS	O
톡	톡	MAG	B-POH
하	하	VV	I-POH
는	는	ETM	I-POH
대로	대로	NNB	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
화제	화제	NNG	O
를	를	JKO	O
_	_	_	O
모으	모으	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
피에스타	피에스타	NNP	B-ORG
_	_	_	O
차	차	NNB	B-PER
오루가	오루가	NNP	O
_	_	_	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
_	_	_	O
여군	여군	NNG	O
특집	특집	NNG	O
에	에	JKB	O
_	_	_	O
출연한다	출연하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 지난 4일 MBC 예능 프로그램 ‘일밤-진짜사나이’(이하 ‘진짜사나이’) 관계자는 한 매체를 통해 “차오루가 ‘진짜사나이’ 4번째 여군특집의 멤버로 확정됐다”고 전했다.
## 지난 <4일:DAT> <MBC:POH> 예능 프로그램 ‘<일밤:POH>-<진짜사나이:POH>’(이하 ‘<진짜사나이:POH>’) 관계자는 한 매체를 통해 “<차오루:PER>가 ‘<진짜사나이:POH>’ <4번째:NOH> 여군특집의 멤버로 확정됐다”고 전했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	O
예능	예능	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
일	일	NNB	B-POH
밤	밤	NNG	I-POH
-	-	SO	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
’	’	SS	O
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
‘	‘	SS	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
’	’	SS	O
)	)	SS	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
한	한	MM	O
_	_	_	O
매체	매체	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
차	차	NNB	B-PER
오루가	오루가	NNP	O
_	_	_	O
‘	‘	SS	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
’	’	SS	O
_	_	_	O
4	4	SN	B-NOH
번째	번째	NNB	I-NOH
_	_	_	O
여군	여군	NNG	O
특집	특집	NNG	O
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
로	로	JKB	O
_	_	_	O
확정	확정되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이씨는 턱뼈와 갈비뼈가 골절됐고 뇌출혈 증세를 보였다.
## <이:PER>씨는 턱뼈와 갈비뼈가 골절됐고 뇌출혈 증세를 보였다.
이	이	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
턱뼈	턱뼈	NNG	O
와	와	JC	O
_	_	_	O
갈비뼈	갈비뼈	NNG	O
가	가	JKS	O
_	_	_	O
골절	골절+되	NNG+XSV	O
됐	었	EP	O
고	고	JKQ	O
_	_	_	O
뇌출혈	뇌출혈	NNG	O
_	_	_	O
증세	증세	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그러나 중국 외교부 루캉(陸慷) 대변인은 이날 정례 브리핑에서 “양국의 관계 개선이 본 지역의 안정에 도움이 되기를 바란다”면서도 “관련 국가(일본)가 평화 발전의 길을 걸어갈 수 있기를 바란다”며 일본에 대한 당부에 방점을 찍었다.
## 그러나 <중국 외교부:ORG> <루캉:PER>(<陸慷:PER>) 대변인은 이날 정례 브리핑에서 “<양:NOH>국의 관계 개선이 본 지역의 안정에 도움이 되기를 바란다”면서도 “관련 국가(<일본:ORG>)가 평화 발전의 길을 걸어갈 수 있기를 바란다”며 <일본:ORG>에 대한 당부에 방점을 찍었다.
그러나	그러나	MAJ	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
외교	외교	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
루	루	NNG	B-PER
캉	캉	NNP	I-PER
(	(	SS	O
陸慷	陸慷	SH	B-PER
)	)	SS	O
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
정례	정례	NNG	O
_	_	_	O
브리핑	브리핑	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
양국	양국	NNG	O
의	의	JKG	O
_	_	_	O
관계	관계	NNG	O
_	_	_	O
개선	개선	NNG	O
이	이	JKS	O
_	_	_	O
본	보+ㄴ	VV+ETM	O
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
안정	안정	NNG	O
에	에	JKB	O
_	_	_	O
도움	도움	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
바란다	바라+ㄴ다	VV+EF	O
”	”	SS	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
관련	관련	NNG	O
_	_	_	O
국가	국가	NNG	O
(	(	SS	O
일본	일본	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
평화	평화	NNG	O
_	_	_	O
발전	발전	NNG	O
의	의	JKG	O
_	_	_	O
길	길	NNG	O
을	을	JKO	O
_	_	_	O
걸어갈	걸어가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
바란다	바라+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
일본	일본	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
당부	당부	NNG	O
에	에	JKB	O
_	_	_	O
방점	방점	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 두산그룹은 또 전통시장 살리기 등 내수경기 활성화에 동참하기 위해 30억 원 상당의 전통시장 상품권도 구입하기로 했다.
## <두산그룹:ORG>은 또 전통시장 살리기 등 내수경기 활성화에 동참하기 위해 <30억 원:MNY> 상당의 전통시장 상품권도 구입하기로 했다.
두산그룹	두산그룹	NNP	B-ORG
은	은	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
전통	전통	NNG	O
시장	시장	NNG	O
_	_	_	O
살리	살리	VV	O
기	기	ETN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
내수	내수	NNG	O
경기	경기	NNG	O
_	_	_	O
활성화	활성화	NNG	O
에	에	JKB	O
_	_	_	O
동참하	동참하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
30	30	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
상당	상당	NNG	O
의	의	JKG	O
_	_	_	O
전통	전통	NNG	O
시장	시장	NNG	O
_	_	_	O
상품권	상품권	NNG	O
도	도	JX	O
_	_	_	O
구입하	구입하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 지난 6월 25일 개봉한 이래 지난 25일까지 93만명의 관객을 동원했다고 영화사측은 밝혔다.
## 지난 <6월 25일:DAT> 개봉한 이래 지난 <25일:DAT>까지 <93만명:NOH>의 관객을 동원했다고 영화사측은 밝혔다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
25	25	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
개봉한	개봉하+ㄴ	VV+ETM	O
_	_	_	O
이래	이래	NNB	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
93	93	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
관객	관객	NNG	O
을	을	JKO	O
_	_	_	O
동원	동원하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
영화사	영화사	NNG	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 국산차의 문제점으로 지적돼 온 차체 강성을 강화하기 위해 샤시계를 튜닝하고 언더커버 적용부위를 확대하는 등 방청성능을 한 단계 더 개선했다.
## 국산차의 문제점으로 지적돼 온 차체 강성을 강화하기 위해 샤시계를 튜닝하고 언더커버 적용부위를 확대하는 등 방청성능을 <한 단계:NOH> 더 개선했다.
국산	국산	NNG	O
차	차	NNG	O
의	의	JKG	O
_	_	_	O
문제점	문제점	NNG	O
으로	으로	JKB	O
_	_	_	O
지적돼	지적되+어	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
차체	차체	NNG	O
_	_	_	O
강성	강성	NNG	O
을	을	JKO	O
_	_	_	O
강화하	강화하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
샤	샤	NNP	O
시계	시계	NNG	O
를	를	JKO	O
_	_	_	O
튜닝	튜닝	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
언더	언더	NNG	O
커버	커버	NNG	O
_	_	_	O
적용	적용	NNG	O
부위	부위	NNG	O
를	를	JKO	O
_	_	_	O
확대하	확대하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
방청	방청	NNG	O
성능	성능	NNG	O
을	을	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
단계	단계	NNG	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
개선	개선하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 같은 당 백재현 의원은 “지역별로 2, 3명씩 균등하게 의석을 배분한 뒤 나머지는 인구 비례로 하면 농어촌 지역 대표성 약화를 보완할 수 있다”고 제안했다.
## 같은 당 <백재현:PER> 의원은 “지역별로 <2:NOH>, <3명:NOH>씩 균등하게 의석을 배분한 뒤 나머지는 인구 비례로 하면 농어촌 지역 대표성 약화를 보완할 수 있다”고 제안했다.
같	같	VA	O
은	은	ETM	O
_	_	_	O
당	당	NNG	O
_	_	_	O
백재현	백재현	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
지역	지역	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
2	2	SN	B-NOH
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
균등하	균등하	VA	O
게	게	EC	O
_	_	_	O
의석	의석	NNG	O
을	을	JKO	O
_	_	_	O
배분한	배분하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
나머지	나머지	NNG	O
는	는	JX	O
_	_	_	O
인구	인구	NNG	O
_	_	_	O
비례	비례	NNG	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
농어촌	농어촌	NNG	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
대표성	대표성	NNG	O
_	_	_	O
약화	약화	NNG	O
를	를	JKO	O
_	_	_	O
보완할	보완하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
제안	제안하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

