## 1
## ◆3차원(3D) 프린터=디지털화된 파일 정보를 전송받아 잉크(원료)로 입체 형태의 물건을 만드는 기계다.
## ◆<3차원:NOH>(<3D:NOH>) 프린터=디지털화된 파일 정보를 전송받아 잉크(원료)로 입체 형태의 물건을 만드는 기계다.
◆	◆	SW	O
3	3	SN	B-NOH
차원	차원	NNG	I-NOH
(	(	SS	O
3	3	SN	B-NOH
D	D	SL	I-NOH
)	)	SS	O
_	_	_	O
프린터	프린터	NNG	O
=	=	SW	O
디지털	디지털	NNG	O
화	화	XSN	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
파일	파일	NNG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
전송	전송	NNG	O
받	받	VV	O
아	아	EC	O
_	_	_	O
잉크	잉크	NNG	O
(	(	SS	O
원료	원료	NNG	O
)	)	SS	O
로	로	JKB	O
_	_	_	O
입체	입체	NNG	O
_	_	_	O
형태	형태	NNG	O
의	의	JKG	O
_	_	_	O
물건	물건	NNG	O
을	을	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
기계	기계+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 크게 얇은 막을 한 층씩 쌓는 ‘적층형’과 큰 덩어리를 깎아서 형태를 만드는 ‘절삭형’으로 나눌 수 있다.
## 크게 얇은 막을 <한:NOH> 층씩 쌓는 ‘적층형’과 큰 덩어리를 깎아서 형태를 만드는 ‘절삭형’으로 나눌 수 있다.
크	크	VA	O
게	게	EC	O
_	_	_	O
얇	얇	VA	O
은	은	ETM	O
_	_	_	O
막	막	NNG	O
을	을	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
층	층	NNG	O
씩	씩	XSN	O
_	_	_	O
쌓	쌓	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
적층	적층	NNG	O
형	형	XSN	O
’	’	SS	O
과	과	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
덩어리	덩어리	NNG	O
를	를	JKO	O
_	_	_	O
깎	깎	VV	O
아서	아서	EC	O
_	_	_	O
형태	형태	NNG	O
를	를	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
절삭	절삭	NNG	O
형	형	XSN	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
나눌	나누+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 글=박성민 기자 sampark27@joongang.co.kr사진=임현동 기자
## 글=<박성민:PER> 기자 <sampark27@joongang.co.kr:POH>사진=<임현동:PER> 기자
글	글	NNG	O
=	=	SW	O
박성민	박성민	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
sampark	sampark	SL	B-POH
27	27	SN	I-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
사진	사진	NNG	O
=	=	SW	O
임현동	임현동	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 4
## “왜요? 테스트 제품 쓰는 거잖아요.” 1일 서울 마포구의 한 매장을 방문한 한 여성 고객이 한 시간 가까이 ‘풀메이크업’ 화장을 하며 테스트 제품을 독점 사용하자 종업원이 조심스레 만류했다.
## “왜요? 테스트 제품 쓰는 거잖아요.” <1일:DAT> <서울:LOC> <마포구:LOC>의 한 매장을 방문한 한 여성 고객이 한 시간 가까이 ‘풀메이크업’ 화장을 하며 테스트 제품을 독점 사용하자 종업원이 조심스레 만류했다.
“	“	SS	O
왜	왜	MAG	O
요	요	JX	O
?	?	SF	O
_	_	_	O
테스트	테스트	NNG	O
_	_	_	O
제품	제품	NNG	O
_	_	_	O
쓰	쓰	VV	O
는	는	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
잖아요	잖아요	EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
마포구	마포구	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
매장	매장	NNG	O
을	을	JKO	O
_	_	_	O
방문한	방문하+ㄴ	VV+ETM	O
_	_	_	O
한	한	MM	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
고객	고객	NNG	O
이	이	JKS	O
