## 1
## 한편 차승원과 유해진은 1999년 영화 ‘주유소 습격 사건’을 인연으로 2006년 영화 ‘국경의 남쪽’에서 주연과 조연으로, 2007년 영화 ‘이장과 군수’에선 두 주연으로 본격 콤비로 활약한바 있다.
## 한편 <차승원:PER>과 <유해진:PER>은 <1999년:DAT> 영화 ‘<주유소 습격 사건:POH>’을 인연으로 <2006년:DAT> 영화 ‘<국경의 남쪽:POH>’에서 주연과 조연으로, <2007년:DAT> 영화 ‘<이장과 군수:POH>’에선 두 주연으로 본격 콤비로 활약한바 있다.
한편	한편	MAG	O
_	_	_	O
차승원	차승원	NNP	B-PER
과	과	JC	O
_	_	_	O
유해진	유해진	NNP	B-PER
은	은	JX	O
_	_	_	O
1999	1999	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
주유소	주유소	NNG	B-POH
_	_	_	I-POH
습격	습격	NNG	I-POH
_	_	_	I-POH
사건	사건	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
인연	인연	NNG	O
으로	으로	JKB	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
국경	국경	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
남쪽	남쪽	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
주연	주연	NNG	O
과	과	JC	O
_	_	_	O
조연	조연	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
이장	이장	NNG	B-POH
과	과	JC	I-POH
_	_	_	I-POH
군수	군수	NNG	I-POH
’	’	SS	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
두	두	MM	O
_	_	_	O
주연	주연	NNG	O
으로	으로	JKB	O
_	_	_	O
본격	본격	NNG	O
_	_	_	O
콤비	콤비	NNG	O
로	로	JKB	O
_	_	_	O
활약한	활약하+ㄴ	VV+ETM	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 이 과정에서 전설로 내려오는 채연의 사칙연산을 다시 한 번 언급했다.
## 이 과정에서 전설로 내려오는 <채연:PER>의 사칙연산을 다시 <한 번:NOH> 언급했다.
이	이	MM	O
