## 1
## 용량은 18% 늘렸지만 가격은 기존 캔 제품과 같다.
## 용량은 <18%:PNT> 늘렸지만 가격은 기존 캔 제품과 같다.
용량	용량	NNG	O
은	은	JX	O
_	_	_	O
18	18	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
늘	늘리	VV	O
렸	었	EP	O
지만	지만	EC	O
_	_	_	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
캔	캔	NNG	O
_	_	_	O
제품	제품	NNG	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 2
## “급성 요통에 진통주사제보다 5배 빠른 효과“동작침법이현재(34·서울 송파구)씨는 2년 전 허리디스크 진단을 받았다.
## “급성 요통에 진통주사제보다 <5배:PNT> 빠른 효과“동작침법<이현재:PER>(<34:NOH>·<서울 송파구:LOC>)씨는 <2년:NOH> 전 허리디스크 진단을 받았다.
“	“	SS	O
급성	급성	NNG	O
_	_	_	O
요통	요통	NNG	O
에	에	JKB	O
_	_	_	O
진통	진통	NNG	O
주사	주사	NNG	O
제	제	XSN	O
보다	보다	JKB	O
_	_	_	O
5	5	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
효과	효과	NNG	O
“	“	SS	O
동작	동작	NNG	O
침법	침법	NNG	O
이현재	이현재	NNP	B-PER
(	(	SS	O
34	34	SN	B-NOH
·	·	SP	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
송파구	송파구	NNP	I-LOC
)	)	SS	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
허리	허리	NNG	O
디스크	디스크	NNG	O
_	_	_	O
진단	진단	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 완데라 목사는 “매년 전 세계에서 2만5000명의 어린이가 예방 가능한 원인들로 죽어가고 있다”며 “전쟁과 가난으로 고통 받는 어린이들을 대신해 한국 후원자들에게 감사의 인사를 드리고 싶다”고 말했다.
## <완데라:PER> 목사는 “매년 전 세계에서 <2만5000명:NOH>의 <어린이:POH>가 예방 가능한 원인들로 죽어가고 있다”며 “전쟁과 가난으로 고통 받는 어린이들을 대신해 한국 후원자들에게 감사의 인사를 드리고 싶다”고 말했다.
완	완	NNP	B-PER
데라	데라	NNP	I-PER
_	_	_	O
목사	목사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
매년	매년	MAG	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
5000	5000	SN	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
