## 1
## 벽초지 연못 위로 난 두 개의 다리를 걸어 들어가면 자연과 하나가 되는 느낌이다.
## <벽초지 연못:LOC> 위로 난 <두 개:NOH>의 다리를 걸어 들어가면 자연과 하나가 되는 느낌이다.
벽초	벽초	NNP	B-LOC
지	지	XSN	I-LOC
_	_	_	I-LOC
연못	연못	NNG	I-LOC
_	_	_	O
위	위	NNG	O
로	로	JKB	O
_	_	_	O
난	나+ㄴ	VV+ETM	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
다리	다리	NNG	O
를	를	JKO	O
_	_	_	O
걸	걷	VV	O
어	어	EC	O
_	_	_	O
들어가	들어가	VV	O
면	면	EC	O
_	_	_	O
자연	자연	NNG	O
과	과	JC	O
_	_	_	O
하나	하나	NR	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
느낌	느낌	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 최종 개표 결과는 다음 달 1, 2일 나온다.
## 최종 개표 결과는 다음 달 <1:DAT>, <2일:DAT> 나온다.
최종	최종	NNG	O
_	_	_	O
개표	개표	NNG	O
_	_	_	O
결과	결과	NNG	O
는	는	JX	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
1	1	SN	B-DAT
,	,	SP	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 이를 통해 출시 첫해 매출 150억원에서 올해는 3배 이상인 500억원대 브랜드로 육성시키겠다는 목표다.
## 이를 통해 출시 첫해 매출 <150억원:MNY>에서 올해는 <3배:PNT> 이상인 <500억원대:MNY> 브랜드로 육성시키겠다는 목표다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
출시	출시	NNG	O
_	_	_	O
첫해	첫해	NNG	O
_	_	_	O
매출	매출	NNG	O
_	_	_	O
150	150	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
에서	에서	JKB	O
_	_	_	O
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
3	3	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
이상	이상	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
500	500	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	I-MNY
_	_	_	O
브랜드	브랜드	NNG	O
로	로	JKB	O
_	_	_	O
육성	육성	NNG	O
시키	시키	XSV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
목표	목표+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘기록의 사나이’ 싸이는 2억 조회수 이상 기록한 뮤직비디오를 5편이나 보유한 국내 유일의 가수가 됐다.
## ‘기록의 사나이’ <싸이:PER>는 <2억:NOH> 조회수 이상 기록한 뮤직비디오를 <5편:NOH>이나 보유한 국내 유일의 가수가 됐다.
‘	‘	SS	O
기록	기록	NNG	O
의	의	JKG	O
_	_	_	O
사나이	사나이	NNG	O
’	’	SS	O
_	_	_	O
싸이	싸이	VV	B-PER
는	는	ETM	O
_	_	_	O
2	2	SN	B-NOH
억	억	NR	I-NOH
_	_	_	O
조회	조회	NNG	O
수	수	NNG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
를	를	JKO	O
_	_	_	O
5	5	SN	B-NOH
편	편	NNB	I-NOH
이나	이나	JX	O
_	_	_	O
보유한	보유하+ㄴ	VV+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
유일	유일	NNG	O
의	의	JKG	O
_	_	_	O
가수	가수	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 김정태 하나금융그룹 회장은 출범식 인사말에서 "통합은행 출범으로 하나금융그룹은 제2의 도약기를 맞았다"며 "리딩금융그룹 되도록 최선을 다하겠다"고 밝혔다.
## <김정태:PER> <하나금융그룹:ORG> 회장은 출범식 인사말에서 "통합은행 출범으로 <하나금융그룹:ORG>은 <제2:NOH>의 도약기를 맞았다"며 "리딩금융그룹 되도록 최선을 다하겠다"고 밝혔다.
김정태	김정태	NNP	B-PER
_	_	_	O
하나금융	하나금융	NNP	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
출범식	출범식	NNG	O
_	_	_	O
인사말	인사말	NNG	O
에서	에서	JKB	O
_	_	_	O
"	"	SS	O
통합	통합	NNG	O
은행	은행	NNG	O
_	_	_	O
출범	출범	NNG	O
으로	으로	JKB	O
_	_	_	O
하나금융	하나금융	NNP	B-ORG
그룹	그룹	NNG	I-ORG
은	은	JX	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
의	의	JKG	O
_	_	_	O
도약	도약	NNG	O
기	기	XSN	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
리딩	리딩	NNG	O
금융	금융	NNG	O
그룹	그룹	NNG	O
_	_	_	O
되	되	VV	O
도록	도록	EC	O
_	_	_	O
최선	최선	NNG	O
을	을	JKO	O
_	_	_	O
다하	다하	VV	O
겠	겠	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## [전영기의 시시각각] 전갈과 개구리
## [<전영기의 시시각각:POH>] 전갈과 개구리
[	[	SS	O
전영기	전영기	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
시시각각	시시각각	NNG	I-POH
]	]	SS	O
_	_	_	O
전갈과	전갈과	NNG	O
_	_	_	O
개구리	개구리	NNG	O

## 7
## 그건 러시아를 견제하는데 일본이 필요하다고 본 때문이다.
## 그건 <러시아:ORG>를 견제하는데 <일본:ORG>이 필요하다고 본 때문이다.
그건	그것+ㄴ	NP+JX	O
_	_	_	O
러시아	러시아	NNP	B-ORG
를	를	JKO	O
_	_	_	O
견제하	견제하	VV	O
는	는	ETM	O
데	데	NNB	O
_	_	_	O
일본	일본	NNP	B-ORG
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다고	다고	EC	O
_	_	_	O
본	보+ㄴ	VX+ETM	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 중국은 79위이다.
## <중국:ORG>은 <79위:NOH>이다.
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
79	79	SN	B-NOH
위	위	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 장씨는 “일각에선 이슬람국가(IS)가 연관됐다는데 테러범은 한 명이 아니라 더 있을 수 있다는 소문도 돈다”고 전했다.
## <장:PER>씨는 “일각에선 <이슬람국가:ORG>(<IS:ORG>)가 연관됐다는데 테러범은 <한 명:NOH>이 아니라 더 있을 수 있다는 소문도 돈다”고 전했다.
장	장	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
일각	일각	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
이슬람	이슬람	NNG	B-ORG
국가	국가	NNG	I-ORG
(	(	SS	O
IS	IS	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
연관	연관되	VV	O
됐	었	EP	O
다는데	다는데	EC	O
_	_	_	O
테러	테러	NNG	O
범	범	XSN	O
은	은	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
더	더	MAG	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
소문	소문	NNG	O
도	도	JX	O
_	_	_	O
돈다	돌+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이 책을 통해 중국이 얼마나 일상 속에 깊숙이 스며들어 있는지를 실감했다.
## 이 책을 통해 <중국:ORG>이 얼마나 일상 속에 깊숙이 스며들어 있는지를 실감했다.
이	이	MM	O
_	_	_	O
책	책	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
일상	일상	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
깊숙이	깊숙이	MAG	O
_	_	_	O
스며들	스며들	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
는지	는지	EC	O
를	를	JKO	O
_	_	_	O
실감	실감하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 대한상의는 또 정부에 임금체계 개편, 사업재편지원특별법 제정, 지방 투자규제 완화, 기업소득환류세제 기준 완화와 가업상속 지원제도 개선, 노동시장 구조개혁 추진 등 5대 정책과제를 건의했다.
## <대한상의:ORG>는 또 정부에 임금체계 개편, <사업재편지원특별법:POH> 제정, 지방 투자규제 완화, 기업소득환류세제 기준 완화와 가업상속 지원제도 개선, 노동시장 구조개혁 추진 등 <5대:NOH> 정책과제를 건의했다.
대한상의	대한상의	NNP	B-ORG
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
정부	정부	NNG	O
에	에	JKB	O
_	_	_	O
임금	임금	NNG	O
체계	체계	NNG	O
_	_	_	O
개편	개편	NNG	O
,	,	SP	O
_	_	_	O
사업	사업	NNG	B-POH
재편	재편	NNG	I-POH
지원	지원	NNG	I-POH
특별법	특별법	NNG	I-POH
_	_	_	O
제정	제정	NNG	O
,	,	SP	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
투자	투자	NNG	O
규제	규제	NNG	O
_	_	_	O
완화	완화	NNG	O
