## 1
## 작전실에는 각각 다른 빛깔과 모양을 가진 세 개의 마더박스 소품이 전시돼 있었다.
## 작전실에는 각각 다른 빛깔과 모양을 가진 <세 개:NOH>의 마더박스 소품이 전시돼 있었다.
작전	작전	NNG	O
실	실	XSN	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
빛깔	빛깔	NNG	O
과	과	JC	O
_	_	_	O
모양	모양	NNG	O
을	을	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
마더	마더	NNG	O
박스	박스	NNG	O
_	_	_	O
소품	소품	NNG	O
이	이	JKS	O
_	_	_	O
전시돼	전시되+어	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 윤 전 장관은 정책분야를 총괄하고 권 대사가 기획 등을 맡을 가능성이 높다.
## <윤:PER> 전 장관은 정책분야를 총괄하고 <권:PER> 대사가 기획 등을 맡을 가능성이 높다.
윤	윤	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
정책	정책	NNG	O
분야	분야	NNG	O
를	를	JKO	O
_	_	_	O
총괄하	총괄하	VV	O
고	고	EC	O
_	_	_	O
권	권	NNB	B-PER
_	_	_	O
대사	대사	NNG	O
가	가	JKS	O
_	_	_	O
기획	기획	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
을	을	ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이씨 등이 넘겨받은 환자는 모두 1200여명에 이른다.
## <이:PER>씨 등이 넘겨받은 환자는 모두 <1200여명:NOH>에 이른다.
이	이	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
넘겨받	넘겨받	VV	O
은	은	ETM	O
_	_	_	O
환자	환자	NNG	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
1200	1200	SN	B-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이른다	이르+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 미국의 공화당 대선 후보 트럼프도 페미니스트를 적대세력으로 삼아 백인 하층민의 울분을 돋운다.
## <미국:ORG>의 <공화당:ORG> 대선 후보 <트럼프:PER>도 페미니스트를 적대세력으로 삼아 백인 하층민의 울분을 돋운다.
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
공화당	공화당	NNP	B-ORG
_	_	_	O
대선	대선	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
