## 1
## 현대·기아차의 지난해 연간 판매 실적은 788만266대로 연초 목표량 813만 대에 24만9734대(3.1%) 못 미쳤다.
## <현대:ORG>·<기아차:ORG>의 지난해 연간 판매 실적은 <788만266대:NOH>로 연초 목표량 <813만 대:NOH>에 <24만9734대:NOH>(<3.1%:PNT>) 못 미쳤다.
현대	현대	NNP	B-ORG
·	·	SP	O
기아차	기아차	NNP	B-ORG
의	의	JKG	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
연간	연간	NNG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
실적	실적	NNG	O
은	은	JX	O
_	_	_	O
788	788	SN	B-NOH
만	만	NR	I-NOH
266	266	SN	I-NOH
대	대	NNB	I-NOH
로	로	JKB	O
_	_	_	O
연초	연초	NNG	O
_	_	_	O
목표	목표	NNG	O
량	량	NNG	O
_	_	_	O
813	813	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
대	대	NNB	I-NOH
에	에	JKB	O
_	_	_	O
24	24	SN	B-NOH
만	만	NR	I-NOH
9734	9734	SN	I-NOH
대	대	NNB	I-NOH
(	(	SS	O
3.1	3.1	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
못	못	MAG	O
_	_	_	O
미	미치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이어 “지난 14일쯤에 소라넷에서 서울 소재의 한 모텔에서 술에 취해 잠든 여자친구를 윤간할 사람을 찾는다는 글이 올라왔다.
## 이어 “지난 <14일:DAT>쯤에 <소라넷:POH>에서 <서울:LOC> 소재의 한 모텔에서 술에 취해 잠든 여자친구를 윤간할 사람을 찾는다는 글이 올라왔다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
쯤	쯤	XSN	O
에	에	JKB	O
_	_	_	O
소라	소라	NNG	B-POH
넷	넷	NR	I-POH
에서	에서	JKB	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
소재	소재	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
모텔	모텔	NNG	O
에서	에서	JKB	O
_	_	_	O
술	술	NNG	O
에	에	JKB	O
_	_	_	O
취해	취하+여	VV+EC	O
_	_	_	O
잠든	잠들+ㄴ	VV+ETM	O
_	_	_	O
여자	여자	NNG	O
친구	친구	NNG	O
를	를	JKO	O
_	_	_	O
윤간할	윤간하+ㄹ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
는다는	는다는	ETM	O
_	_	_	O
글	글	NNG	O
이	이	JKS	O
_	_	_	O
올라	올라오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 지난 14일 작고한 이만섭 전 국회의장은 생전에 박근혜 대통령에 대해 “영국 마거릿 대처 총리를 많이 닮았다”며 “앞으로 메르켈 총리처럼 좀 더 대화하고 항상 어머니와 같은 마음의 리더십을 발휘할 필요가 있다”고 조언한 적이 있다.
## 지난 <14일:DAT> 작고한 <이만섭:PER> 전 국회의장은 생전에 <박근혜:PER> 대통령에 대해 “<영국:ORG> <마거릿:PER> 대처 총리를 많이 닮았다”며 “앞으로 <메르켈:PER> 총리처럼 좀 더 대화하고 항상 어머니와 같은 마음의 리더십을 발휘할 필요가 있다”고 조언한 적이 있다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
작고한	작고하+ㄴ	VV+ETM	O
_	_	_	O
이만섭	이만섭	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국회	국회	NNG	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
생전	생전	NNG	O
에	에	JKB	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
영국	영국	NNP	B-ORG
_	_	_	O
마거릿	마거릿	NNP	B-PER
_	_	_	O
대처	대처	NNP	O
_	_	_	O
총리	총리	NNG	O
를	를	JKO	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
닮	닮	VV	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
앞으로	앞으로	NNG	O
_	_	_	O
메르켈	메르켈	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
처럼	처럼	JKB	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
대화하	대화하	VV	O
고	고	EC	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
어머니	어머니	NNG	O
와	와	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
마음	마음	NNG	O
의	의	JKG	O
_	_	_	O
리더십	리더십	NNG	O
을	을	JKO	O
_	_	_	O
발휘할	발휘하+ㄹ	VV+ETM	O
_	_	_	O
필요	필요	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
조언한	조언하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 이어 언론들이 복합문화공간의 주요 부분이 어린이들이 뛰어노는 ‘키즈카페’라고 알리면서 주민들의 반감은 커졌고 결국 용산구청은 같은 해 7월 불허 처분을 내렸습니다.
## 이어 언론들이 복합문화공간의 주요 부분이 어린이들이 뛰어노는 ‘키즈카페’라고 알리면서 주민들의 반감은 커졌고 결국 <용산구청:ORG>은 같은 해 <7월:DAT> 불허 처분을 내렸습니다.
이어	이어	MAG	O
_	_	_	O
언론	언론	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
복합	복합	NNG	O
문화	문화	NNG	O
공간	공간	NNG	O
의	의	JKG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
부분	부분	NNG	O
이	이	JKS	O
_	_	_	O
어린이	어린이	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
뛰어노	뛰어놀	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
키즈	키즈	NNG	O
카페	카페	NNG	O
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
알리	알리	VV	O
면서	면서	EC	O
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반감	반감	NNG	O
은	은	JX	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
고	고	EC	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
용산	용산	NNP	B-ORG
구청	구청	NNG	I-ORG
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
해	해	NNG	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
불허	불허	NNG	O
_	_	_	O
처분	처분	NNG	O
을	을	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 5
## ”그러자 한국마사회는 다시 법원으로 달려갔습니다.
## ”그러자 <한국마사회:ORG>는 다시 법원으로 달려갔습니다.
”	”	SS	O
그러	그러	VV	O
자	자	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
마사회	마사회	NNG	I-ORG
는	는	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
법원	법원	NNG	O
으로	으로	JKB	O
_	_	_	O
달려갔	달려가+았	VV+EP	O
습니다	습니다	EF	O
.	.	SF	O

## 6
## “전체적으로 자원봉사자는 2만2400명이 필요하다.
## “전체적으로 자원봉사자는 <2만2400명:NOH>이 필요하다.
“	“	SS	O
전체적	전체적	NNG	O
으로	으로	JKB	O
_	_	_	O
자원	자원	NNG	O
봉사자	봉사자	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
2400	2400	SN	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 실리콘밸리에서 옮겨온 HAX의 파트너 벤저민 조프는 “기술 및 제품 개발은 선전에서, 마케팅은 미국에서 주로 한다”고 말했다.
## <실리콘밸리:LOC>에서 옮겨온 <HAX:PER>의 파트너 <벤저민 조프:PER>는 “기술 및 제품 개발은 선전에서, 마케팅은 <미국:ORG>에서 주로 한다”고 말했다.
실리콘밸리	실리콘밸리	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
옮겨	옮기+어	VV+EC	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
HAX	HAX	SL	B-PER
의	의	JKG	O
_	_	_	O
파트너	파트너	NNG	O
_	_	_	O
벤저민	벤저민	NNP	B-PER
_	_	_	I-PER
조프	조프	NNG	I-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
기술	기술	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
제품	제품	NNG	O
_	_	_	O
개발	개발	NNG	O
은	은	JX	O
_	_	_	O
선전	선전	NNG	O
에서	에서	JKB	O
,	,	SP	O
_	_	_	O
마케팅	마케팅	NNG	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 삼성 미전실 해체, 남는 것과 사라지는 것
## <삼성:ORG> 미전실 해체, 남는 것과 사라지는 것
삼성	삼성	NNP	B-ORG
_	_	_	O
미	미	NNP	O
전실	전실	NNG	O
_	_	_	O
해체	해체	NNG	O
,	,	SP	O
_	_	_	O
남	남	VV	O
는	는	ETM	O
_	_	_	O
