## 1
## 먼저 전속계약 기간이 5년이지만 계약체결 시점을 데뷔일로 정한 점 연예활동이 불가능한 기간이 30일을 초과할 때 그 기간만큼 연장할 수 있도록 한 점 등에 주목했다.
## 먼저 전속계약 기간이 <5년:DUR>이지만 계약체결 시점을 데뷔일로 정한 점 연예활동이 불가능한 기간이 <30일:DUR>을 초과할 때 그 기간만큼 연장할 수 있도록 한 점 등에 주목했다.
먼저	먼저	MAG	O
_	_	_	O
전속	전속	NNG	O
계약	계약	NNG	O
_	_	_	O
기간	기간	NNG	O
이	이	JKS	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
계약	계약	NNG	O
체결	체결	NNG	O
_	_	_	O
시점	시점	NNG	O
을	을	JKO	O
_	_	_	O
데뷔	데뷔	NNG	O
일	일	NNG	O
로	로	JKB	O
_	_	_	O
정한	정하+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNB	O
_	_	_	O
연예	연예	NNG	O
활동	활동	NNG	O
이	이	JKS	O
_	_	_	O
불가능한	불가능하+ㄴ	VA+ETM	O
_	_	_	O
기간	기간	NNG	O
이	이	JKS	O
_	_	_	O
30	30	SN	B-DUR
일	일	NNB	I-DUR
을	을	JKO	O
_	_	_	O
초과할	초과하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
그	그	MM	O
_	_	_	O
기간	기간	NNG	O
만큼	만큼	JX	O
_	_	_	O
연장할	연장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
한	한	MM	O
_	_	_	O
점	점	NNB	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
주목	주목하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우연이 반복되면 필연이라 했던가. 기내 상영 영화 <트럼보>가 그랬다.
## 우연이 반복되면 필연이라 했던가. 기내 상영 영화 <<트럼보:POH>>가 그랬다.
우연	우연	NNG	O
이	이	JKC	O
_	_	_	O
반복되	반복되	VV	O
면	면	EC	O
_	_	_	O
필연	필연	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
했	+였	+EP	O
던가	던가	EF	O
.	.	SF	O
_	_	_	O
기내	기내	NNG	O
_	_	_	O
상영	상영	NNG	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
<	<	SS	O
트럼보	트럼보	NNP	B-POH
>	>	SS	O
가	가	JKS	O
_	_	_	O
그	그렇	VA	O
랬	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
