## 1
## 스포츠동아 김민정 기자 ricky337@donga.com
## <스포츠동아:ORG> <김민정:PER> 기자 <ricky337@donga.com:POH>
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
_	_	_	O
김민정	김민정	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
ricky	ricky	SL	B-POH
337	337	SN	I-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH

## 2
## 홍성흔은 경기 후 “꼭 홈경기 때 2000번째 안타를 치고 싶었는데, 이렇게 홈에서 안타가 나오고 동료들 덕분에 팀이 승리까지 하게 돼서 난 정말 운이 좋은 선수라는 걸 다시 한 번 느꼈다”며 “김인식 감독님부터 김태형 감독님까지, 좋은 감독님들이 많이 기용해주셔서 여기까지 온 것 같다.
## <홍성흔:PER>은 경기 후 “꼭 홈경기 때 <2000번째 안타:NOH>를 치고 싶었는데, 이렇게 홈에서 안타가 나오고 동료들 덕분에 팀이 승리까지 하게 돼서 난 정말 운이 좋은 선수라는 걸 다시 한 번 느꼈다”며 “<김인식:PER> 감독님부터 <김태형:PER> 감독님까지, 좋은 감독님들이 많이 기용해주셔서 여기까지 온 것 같다.
홍성흔	홍성흔	NNP	B-PER
은	은	JX	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
“	“	SS	O
꼭	꼭	MAG	O
_	_	_	O
홈경기	홈경기	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
2000	2000	SN	B-NOH
번째	번째	NNB	I-NOH
_	_	_	I-NOH
안타	안타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
치	치	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
었	었	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
홈	홈	NNG	O
에서	에서	JKB	O
_	_	_	O
안타	안타	NNG	O
가	가	JKS	O
_	_	_	O
나오	나오	VV	O
고	고	EC	O
_	_	_	O
동료	동료	NNG	O
들	들	XSN	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
