## 1
## 인디 밴드인 ‘10cm’의 멤버 권정열 씨도 예비군 훈련에 불참해 경찰에 고발 조치됐다.
## 인디 밴드인 ‘<10cm:ORG>’의 멤버 <권정열:PER> 씨도 예비군 훈련에 불참해 경찰에 고발 조치됐다.
인디	인디	NNG	O
_	_	_	O
밴드	밴드	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
10	10	SN	B-ORG
cm	cm	SL	I-ORG
’	’	SS	O
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
권정열	권정열	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
도	도	JX	O
_	_	_	O
예비군	예비군	NNG	O
_	_	_	O
훈련	훈련	NNG	O
에	에	JKB	O
_	_	_	O
불참해	불참하+여	VV+EC	O
_	_	_	O
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
고발	고발	NNG	O
_	_	_	O
조치	조치+되	NNG+XSV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 일반적으로 예비군 훈련에 불참할 경우 받는 처벌은 시간당 1만 2500 원의 벌금형이다.
## 일반적으로 예비군 훈련에 불참할 경우 받는 처벌은 시간당 <1만 2500 원:MNY>의 벌금형이다.
일반적	일반적	NNG	O
으로	으로	JKB	O
_	_	_	O
예비군	예비군	NNG	O
_	_	_	O
훈련	훈련	NNG	O
에	에	JKB	O
_	_	_	O
불참할	불참하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
처벌	처벌	NNG	O
은	은	JX	O
_	_	_	O
시간	시간	NNG	O
당	당	XSN	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
2500	2500	SN	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
벌금형	벌금형	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## [단독]미르재단 이사 지낸 송혜진 후임교수에 김상률 부인 추천
## [단독]<미르재단:ORG> 이사 지낸 <송혜진:PER> 후임교수에 <김상률:PER> 부인 추천
[	[	SS	O
단독	단독	NNG	O
]	]	SS	O
미르	미르	NNP	B-ORG
재단	재단	NNG	I-ORG
_	_	_	O
이사	이사	NNG	O
_	_	_	O
지낸	지내+ㄴ	VV+ETM	O
_	_	_	O
송혜진	송혜진	NNP	B-PER
_	_	_	O
후임	후임	NNG	O
교수	교수	NNG	O
에	에	JKB	O
_	_	_	O
김상률	김상률	NNP	B-PER
_	_	_	O
부인	부인	NNG	O
_	_	_	O
추천	추천	NNG	O

## 4
## 주변에 고마운 사람들에게 또 폐만 끼치는 건 아닐까… 노래도 못하고 뭐 하나 내세울게 없는 사람인데 정말 전생에 무슨 좋은 일을 한건지 이렇게 멋지고 좋은 사람들이 돌아보면 항상 옆에서 힘이 되 주네요. 매번 감사하고 미안하고 그래요”라는 말로 사과문을 마쳤다.
## 주변에 고마운 사람들에게 또 폐만 끼치는 건 아닐까… 노래도 못하고 뭐 <하나:NOH> 내세울게 없는 사람인데 정말 전생에 무슨 좋은 일을 한건지 이렇게 멋지고 좋은 사람들이 돌아보면 항상 옆에서 힘이 되 주네요. 매번 감사하고 미안하고 그래요”라는 말로 사과문을 마쳤다.
주변	주변	NNG	O
에	에	JKB	O
_	_	_	O
고마	고맙	VA	O
운	ㄴ	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
폐	폐	NNG	O
만	만	JX	O
_	_	_	O
끼치	끼치	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
아닐까	아니+ㄹ까	VCN+EC	O
…	…	SE	O
_	_	_	O
노래	노래	NNG	O
도	도	JX	O
_	_	_	O
못하	못하	VV	O
고	고	EC	O
_	_	_	O
뭐	뭐	IC	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
내세울	내세우+ㄹ	VV+ETM	O
게	것+이	NNB+JKC	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
전생	전생	NNG	O
에	에	JKB	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
건	것+이	NNB+VCP	O
지	지	EC	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
멋지	멋지	VA	O
고	고	EC	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
돌아보	돌아보	VV	O
면	면	EC	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
옆	옆	NNG	O
에서	에서	JKB	O
_	_	_	O
힘	힘	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
_	_	_	O
주	주	VX	O
네요	네요	EF	O
.	.	SF	O
_	_	_	O
매번	매번	MAG	O
_	_	_	O
감사하	감사하	VV	O
고	고	EC	O
_	_	_	O
미안하	미안하	VA	O
고	고	EC	O
_	_	_	O
그래요	그렇+어요	VA+EF	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
말	말	NNG	O
로	로	JKB	O
_	_	_	O
사과문	사과문	NNG	O
을	을	JKO	O
_	_	_	O
마	마치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## ‘유희열 사과’ 소식을 접한 네티즌들은 “유희열 사과, 현장에 있던 팬들은 분위기 좋았다
## ‘<유희열:PER> 사과’ 소식을 접한 네티즌들은 “<유희열:PER> 사과, 현장에 있던 팬들은 분위기 좋았다
‘	‘	SS	O
유희열	유희열	NNP	B-PER
_	_	_	O
사과	사과	NNG	O
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
유희열	유희열	NNP	B-PER
_	_	_	O
사과	사과	NNG	O
,	,	SP	O
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
분위기	분위기	NNG	O
_	_	_	O
좋	좋	VA	O
았	았	EP	O
다	다	EF	O

## 6
## LA 다저스 타선은 이번에도 류현진(30)을 도와주지 않았다.
## <LA 다저스:ORG> 타선은 이번에도 <류현진:PER>(<30:NOH>)을 도와주지 않았다.
LA	LA	SL	B-ORG
_	_	_	I-ORG
다저스	다저스	NNP	I-ORG
_	_	_	O
타선	타선	NNG	O
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
류현진	류현진	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
)	)	SS	O
을	을	JKO	O
_	_	_	O
도와주	도와주	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 조선업계 관계자는 “이 시기에 15억 달러 이상을 들여 중국에 조선소를 지었는데 생산성은 떨어지고 인건비가 더 들어갔다”고 지적했다.
## 조선업계 관계자는 “이 시기에 <15억 달러:MNY> 이상을 들여 <중국:LOC>에 조선소를 지었는데 생산성은 떨어지고 인건비가 더 들어갔다”고 지적했다.
조선업	조선업	NNG	O
계	계	XSN	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
이	이	MM	O
_	_	_	O
시기	시기	NNG	O
에	에	JKB	O
_	_	_	O
15	15	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
들	들이	VV	O
여	어	EC	O
_	_	_	O
중국	중국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
조선소	조선소	NNG	O
를	를	JKO	O
_	_	_	O
지	짓	VV	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
생산성	생산성	NNG	O
은	은	JX	O
_	_	_	O
떨어지	떨어지	VV	O
고	고	EC	O
_	_	_	O
인건비	인건비	NNG	O
가	가	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘에어로모빌 3.0’ 최초의 상용 모델은 2인승이며 이륙 비행거리는 435마일(약 700km), 속도는 81마일(130km/h)까지 가능한 것으로 알려졌다.
## ‘<에어로모빌 3.0:POH>’ 최초의 상용 모델은 <2인승:NOH>이며 이륙 비행거리는 <435마일:NOH>(약 <700km:NOH>), 속도는 <81마일:NOH>(<130km/h:NOH>)까지 가능한 것으로 알려졌다.
‘	‘	SS	O
에어로	에어로	NNP	B-POH
