## 1
## 매일 바이오는 지난달 백도 과육과 블루베리를 담은 프리미엄 드링킹 요거트 도마슈노 ‘백도 요거트’와 ‘블루베리 요거트’도 새로 출시했다.
## <매일 바이오:ORG>는 지난달 백도 과육과 블루베리를 담은 프리미엄 드링킹 요거트 <도마슈노:POH> ‘백도 요거트’와 ‘블루베리 요거트’도 새로 출시했다.
매일	매일	MAG	B-ORG
_	_	_	I-ORG
바이오	바이오	NNG	I-ORG
는	는	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
백도	백도	NNG	O
_	_	_	O
과육	과육	NNG	O
과	과	JC	O
_	_	_	O
블루베리	블루베리	NNG	O
를	를	JKO	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
프리미엄	프리미엄	NNG	O
_	_	_	O
드링킹	드링킹	NNG	O
_	_	_	O
요거트	요거트	NNG	O
_	_	_	O
도마	도마	NNG	B-POH
슈	슈	NNP	I-POH
노	노	XPN	I-POH
_	_	_	O
‘	‘	SS	O
백도	백도	NNG	O
_	_	_	O
요거트	요거트	NNG	O
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
블루베리	블루베리	NNG	O
_	_	_	O
요거트	요거트	NNG	O
’	’	SS	O
도	도	JX	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
출시	출시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 23분이 되자 네티즌들은 “사격 중지”를 외치며 채팅창에 2를 쓰기를 멈췄다.
## <23분:TIM>이 되자 네티즌들은 “사격 중지”를 외치며 채팅창에 <2:NOH>를 쓰기를 멈췄다.
23	23	SN	B-TIM
분	분	NNB	I-TIM
이	이	JKC	O
_	_	_	O
되	되	VV	O
자	자	EC	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
사격	사격	NNG	O
_	_	_	O
중지	중지	NNG	O
”	”	SS	O
를	를	JKO	O
_	_	_	O
외치	외치	VV	O
며	며	EC	O
_	_	_	O
채팅	채팅	NNG	O
창	창	NNG	O
에	에	JKB	O
_	_	_	O
2	2	SN	B-NOH
를	를	JKO	O
_	_	_	O
쓰	쓰	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
멈	멈추	VV	O
췄	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 미국 부통령 움직인 성폭행 피해 여성의 용기
## <미국:ORG> 부통령 움직인 성폭행 피해 여성의 용기
미국	미국	NNP	B-ORG
_	_	_	O
부통령	부통령	NNG	O
_	_	_	O
움직인	움직이+ㄴ	VV+ETM	O
_	_	_	O
성폭행	성폭행	NNG	O
_	_	_	O
피해	피해	NNG	O
_	_	_	O
여성	여성	NNG	O
의	의	JKG	O
_	_	_	O
용기	용기	NNG	O

## 4
## 미국이 거세게 반발했지만 이미 두 나라사이를 갈라놓기에는 늦은 상황이었다.
## <미국:ORG>이 거세게 반발했지만 이미 <두 나라:NOH>사이를 갈라놓기에는 늦은 상황이었다.
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
거세	거세	VA	O
게	게	EC	O
_	_	_	O
반발	반발하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
나라	나라	NNG	I-NOH
사이	사이	NNG	O
를	를	JKO	O
_	_	_	O
갈라놓	갈라놓	VV	O
기	기	ETN	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
늦	늦	VA	O
은	은	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 전체 아파트 소유자 516명 중 4분의 3 이상의 동의를 받았지만 5개 동 중 1개 동이 문제였다.
## 전체 아파트 소유자 <516명:NOH> 중 <4분의 3:PNT> 이상의 동의를 받았지만 <5개 동:NOH> 중 <1개 동:NOH>이 문제였다.
전체	전체	NNG	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
소유	소유	NNG	O
자	자	XSN	O
_	_	_	O
516	516	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
4	4	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
3	3	SN	I-PNT
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
동의	동의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
지만	지만	EC	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	I-NOH
동	동	NNG	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
1	1	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	I-NOH
동	동	NNG	I-NOH
이	이	JKS	O
_	_	_	O
문제	문제+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 워치페어 기간 매장을 방문해 상담하는 고객에게는 론진 펜을, 골드 워치를 사거나 웨딩 커플워치를 700만 원 이상 산 고객에게는 인천 쉐라톤호텔 숙박권이나 고급 엘리게이터(악어) 시곗줄을 준다.
## 워치페어 기간 매장을 방문해 상담하는 고객에게는 <론진:ORG> 펜을, 골드 워치를 사거나 웨딩 커플워치를 <700만 원:MNY> 이상 산 고객에게는 <인천 쉐라톤호텔:LOC> 숙박권이나 고급 엘리게이터(악어) 시곗줄을 준다.
워치	워치	NNG	O
페어	페어	NNG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
매장	매장	NNG	O
을	을	JKO	O
_	_	_	O
방문해	방문하+여	VV+EC	O
_	_	_	O
상담하	상담하	VV	O
는	는	ETM	O
_	_	_	O
고객	고객	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
론진	론진	NNG	B-ORG
_	_	_	O
펜	펜	NNG	O
을	을	JKO	O
,	,	SP	O
_	_	_	O
골드	골드	NNG	O
_	_	_	O
워치	워치	NNG	O
를	를	JKO	O
_	_	_	O
사	사	VV	O
거나	거나	EC	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
커플	커플	NNG	O
워치	워치	NNG	O
를	를	JKO	O
_	_	_	O
700	700	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
