## 1
## 아름다움의 양면성을 연구하는 지성인 ‘헨리 워튼’ 역의 박은태가 부르는 ‘후 이즈 도리안(Who is Dorian)?’의 뮤직비디오를 공개한 것.12일 낮 12시에 씨제스컬쳐 유튜브와 티비캐스트 채널을 통해 공개된 ‘후 이즈 도리안?’ 뮤직비디오는 체코 로케이션으로 촬영한 이국적인 분위기의 영상과 미스터리한 음악이 어우러져 신비감을 자아낸다.
## 아름다움의 양면성을 연구하는 지성인 ‘<헨리 워튼:PER>’ 역의 <박은태:PER>가 부르는 ‘<후 이즈 도리안:POH>(<Who is Dorian:POH>)?’의 뮤직비디오를 공개한 것.<12일:DAT> <낮 12시:TIM>에 <씨제스컬쳐 유튜브:POH>와 <티비캐스트 채널:ORG>을 통해 공개된 ‘<후 이즈 도리안:POH>?’ 뮤직비디오는 <체코:LOC> 로케이션으로 촬영한 이국적인 분위기의 영상과 미스터리한 음악이 어우러져 신비감을 자아낸다.
아름다움	아름답+ㅁ	VA+ETN	O
의	의	JKG	O
_	_	_	O
양면성	양면성	NNG	O
을	을	JKO	O
_	_	_	O
연구하	연구하	VV	O
는	는	ETM	O
_	_	_	O
지성인	지성인	NNG	O
_	_	_	O
‘	‘	SS	O
헨리	헨리	NNP	B-PER
_	_	_	I-PER
워튼	워튼	NNP	I-PER
’	’	SS	O
_	_	_	O
역	역	NNG	O
의	의	JKG	O
_	_	_	O
박은태	박은태	NNP	B-PER
가	가	JKS	O
_	_	_	O
부르	부르	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
후	후	MAG	B-POH
_	_	_	I-POH
이즈	이즈	NNG	I-POH
_	_	_	I-POH
도리	도리	NNG	I-POH
안	안	NNG	I-POH
(	(	SS	O
Who	Who	SL	B-POH
_	_	_	I-POH
is	is	SL	I-POH
_	_	_	I-POH
Dorian	Dorian	SL	I-POH
)	)	SS	O
?	?	SF	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
를	를	JKO	O
_	_	_	O
공개한	공개하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
낮	낮	NNG	B-TIM
_	_	_	I-TIM
12	12	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
씨	씨	NNB	B-POH
제스	제스	NNP	I-POH
컬쳐	컬쳐	NNG	I-POH
_	_	_	I-POH
유튜브	유튜브	NNP	I-POH
와	와	JC	O
_	_	_	O
티비	티비	NNG	B-ORG
캐스트	캐스트	NNG	I-ORG
_	_	_	I-ORG
채널	채널	NNG	I-ORG
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
후	후	MAG	B-POH
_	_	_	I-POH
이즈	이즈	NNG	I-POH
_	_	_	I-POH
도리	도리	NNG	I-POH
안	안	NNG	I-POH
?	?	SF	O
’	’	SS	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
는	는	JX	O
_	_	_	O
체코	체코	NNP	B-LOC
_	_	_	O
로케이션	로케이션	NNG	O
으로	으로	JKB	O
_	_	_	O
촬영한	촬영하+ㄴ	VV+ETM	O
_	_	_	O
이국적	이국적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
분위기	분위기	NNG	O
의	의	JKG	O
_	_	_	O
영상	영상	NNG	O
과	과	JC	O
_	_	_	O
미스터리	미스터리	NNG	O
한	한	NNP	O
_	_	_	O
음악	음악	NNG	O
이	이	JKS	O
_	_	_	O
어우러져	어우러지+어	VV+EC	O
_	_	_	O
신비감	신비감	NNG	O
을	을	JKO	O
_	_	_	O
자아낸다	자아내+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 롯데건설은 오는 10월 서울시 금천구 독산동 ‘롯데캐슬 골드파크 3차’의 상업시설인 ‘마르쉐 도르 애비뉴'를 분양할 예정이다.
## <롯데건설:ORG>은 오는 <10월:DAT> <서울시:LOC> <금천구:LOC> <독산동:LOC> ‘<롯데캐슬 골드파크 3차:LOC>’의 상업시설인 ‘<마르쉐 도르 애비뉴:LOC>'를 분양할 예정이다.
롯데건설	롯데건설	NNP	B-ORG
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
시	시	NNG	I-LOC
_	_	_	O
금천구	금천구	NNP	B-LOC
_	_	_	O
