## 1
## 美 에너지벤처기업 새만금에 ‘SNG공장’
## <美:LOC> 에너지벤처기업 <새만금:LOC>에 ‘<SNG공장:LOC>’
美	美	SH	B-LOC
_	_	_	O
에너지	에너지	NNG	O
벤처기업	벤처기업	NNG	O
_	_	_	O
새만금	새만금	NNP	B-LOC
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
SNG	SNG	SL	B-LOC
공장	공장	NNG	I-LOC
’	’	SS	O

## 2
## 러시아내 극우 민족주의자들의 목소리가 커지고 있는 것도 옐친의 강경노선 선회를 부채질하고 있는 것처럼 보인다.
## <러시아:ORG>내 극우 민족주의자들의 목소리가 커지고 있는 것도 <옐친:PER>의 강경노선 선회를 부채질하고 있는 것처럼 보인다.
러시아	러시아	NNP	B-ORG
내	내	NNB	O
_	_	_	O
극우	극우	NNG	O
_	_	_	O
민족주의자	민족주의자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
가	가	JKS	O
_	_	_	O
커지	커지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
옐친	옐친	NNP	B-PER
의	의	JKG	O
_	_	_	O
강경	강경	NNG	O
노선	노선	NNG	O
_	_	_	O
선회	선회	NNG	O
를	를	JKO	O
_	_	_	O
부채질하	부채질하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 아들 연산군은, 어머니를 박대하고 죽음으로 내몬 신하들을 처절하게 숙청한다.
## 아들 <연산군:PER>은, 어머니를 박대하고 죽음으로 내몬 신하들을 처절하게 숙청한다.
아들	아들	NNG	O
_	_	_	O
연산군	연산군	NNP	B-PER
은	은	JX	O
,	,	SP	O
_	_	_	O
어머니	어머니	NNG	O
를	를	JKO	O
_	_	_	O
박대	박대	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
죽음	죽음	NNG	O
으로	으로	JKB	O
_	_	_	O
내몬	내몰+ㄴ	VV+ETM	O
_	_	_	O
신하	신하	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
처절하	처절하	VA	O
게	게	EC	O
_	_	_	O
숙청한다	숙청하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 가토 고이치 니혼게이자이 서울 특파원도 “일본의 젊은 세대는 경제침체로 취업·연애를 포기하는 달관 세대가 됐다”고 분석했다.
## <가토 고이치:PER> <니혼게이자이:ORG> <서울:LOC> 특파원도 “<일본:ORG>의 젊은 세대는 경제침체로 취업·연애를 포기하는 달관 세대가 됐다”고 분석했다.
가토	가토	NNP	B-PER
_	_	_	I-PER
고이치	고이치	NNP	I-PER
_	_	_	O
니혼게이자이	니혼게이자이	NNP	B-ORG
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
특파원	특파원	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
세대	세대	NNG	O
는	는	JX	O
_	_	_	O
경제	경제	NNG	O
침체	침체	NNG	O
로	로	JKB	O
_	_	_	O
취업	취업	NNG	O
·	·	SP	O
연애	연애	NNG	O
를	를	JKO	O
_	_	_	O
포기하	포기하	VV	O
는	는	ETM	O
_	_	_	O
달관	달관	NNG	O
_	_	_	O
세대	세대	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## SK텔레콤오픈은 올해 21회째를 맞아 대회를 앞두고 프로와 아마추어가 펼치는 일반적인 프로암(Pro-Am) 대신 프로와 주니어 골프유망주가 함께하는 재능기부 프로암 ‘행복나눔라운드’를 개최한다.
## <SK텔레콤오픈:ORG>은 올해 <21회:NOH>째를 맞아 대회를 앞두고 프로와 아마추어가 펼치는 일반적인 프로암(Pro-Am) 대신 프로와 주니어 골프유망주가 함께하는 재능기부 프로암 ‘행복나눔라운드’를 개최한다.
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
오픈	오픈	NNG	I-ORG
은	은	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
21	21	SN	B-NOH
회	회	NNB	I-NOH
째	째	XSN	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
대회	대회	NNG	O
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
프로	프로	NNG	O
와	와	JC	O
_	_	_	O
아마추어	아마추어	NNG	O
가	가	JKS	O
_	_	_	O
펼치	펼치	VV	O
는	는	ETM	O
_	_	_	O
일반적	일반적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
프로암	프로암	NNP	O
(	(	SS	O
Pro	Pro	SL	O
-	-	SO	O
Am	Am	SL	O
)	)	SS	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
프로	프로	NNG	O
와	와	JC	O
_	_	_	O
주니어	주니어	NNG	O
_	_	_	O
골프	골프	NNG	O
유망주	유망주	NNG	O
가	가	JKS	O
_	_	_	O
함께하	함께하	VV	O
는	는	ETM	O
_	_	_	O
재능	재능	NNG	O
기부	기부	NNG	O
_	_	_	O
프로암	프로암	NNP	O
_	_	_	O
‘	‘	SS	O
행복	행복	NNG	O
나눔	나눔	NNP	O
라운드	라운드	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
개최한다	개최하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 37개 국립대 중 충북대를 비롯해 16곳이 선정됐다.
## <37개:NOH> 국립대 중 <충북대:ORG>를 비롯해 <16곳:NOH>이 선정됐다.
37	37	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
국립대	국립대	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
충북대	충북대	NNP	B-ORG
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
16	16	SN	B-NOH
곳	곳	NNG	I-NOH
이	이	JKS	O
_	_	_	O
선정	선정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 다만 폴크스바겐그룹의 3.0리터 디젤엔진 차량은 다른 16개 제작사의 경유차와 함께 오는 12월 추가 검사를 시작해 내년 4월 발표하기로 했다.
