## 1
## 중앙에서 지역 갈등만 부추길 게 아니라 이제 부산과 대구가 상생할 방안을 마련해야 합니다.
## 중앙에서 지역 갈등만 부추길 게 아니라 이제 <부산:LOC>과 <대구:LOC>가 상생할 방안을 마련해야 합니다.
중앙	중앙	NNG	O
에서	에서	JKB	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
갈등	갈등	NNG	O
만	만	JX	O
_	_	_	O
부추길	부추기+ㄹ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
부산	부산	NNP	B-LOC
과	과	JC	O
_	_	_	O
대구	대구	NNP	B-LOC
가	가	JKS	O
_	_	_	O
상생할	상생하+ㄹ	VV+ETM	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
마련해야	마련하+여야	VV+EC	O
_	_	_	O
합니다	하+ㅂ니다	VX+EF	O
.	.	SF	O

## 2
## 식당 입구에서 멀지 않은 곳에는 작은 한국 상점이 있다.
## 식당 입구에서 멀지 않은 곳에는 작은 <한국:ORG> 상점이 있다.
식당	식당	NNG	O
_	_	_	O
입구	입구	NNG	O
에서	에서	JKB	O
_	_	_	O
멀	멀	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
상점	상점	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이 때문에 프리우스는 패밀리카라기보다는 운행이 많은 소수가 타는 차로 많이 쓰였다.
## 이 때문에 <프리우스:POH>는 패밀리카라기보다는 운행이 많은 소수가 타는 차로 많이 쓰였다.
이	이	MM	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
프리	프리	NNG	B-POH
우스	우스	NNP	I-POH
는	는	JX	O
_	_	_	O
패밀리	패밀리	NNG	O
카	카+이	NNG+VCP	O
라기	라기	ETN	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
운행	운행	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
소수	소수	NNG	O
가	가	JKS	O
_	_	_	O
타	타	VV	O
는	는	ETM	O
_	_	_	O
차	차	NNG	O
로	로	JKB	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
쓰	쓰이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘무한도전’ 광희 막내 고충 토로…윤태호 “자기 고민에 대한 디테일 없다”
## ‘<무한도전:POH>’ <광희:PER> 막내 고충 토로…<윤태호:PER> “자기 고민에 대한 디테일 없다”
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
_	_	_	O
광희	광희	NNP	B-PER
_	_	_	O
막내	막내	NNG	O
_	_	_	O
고충	고충	NNG	O
_	_	_	O
토로	토로	NNG	O
…	…	SE	O
윤태호	윤태호	NNP	B-PER
_	_	_	O
“	“	SS	O
자기	자기	NP	O
_	_	_	O
고민	고민	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
디테일	디테일	NNG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O

## 5
## 최 씨는 주인공과 비슷한 고민을 하는 청소년들을 향해 “그래도 집에 틀어박혀 있으면 안 된다.
## <최:PER> 씨는 주인공과 비슷한 고민을 하는 청소년들을 향해 “그래도 집에 틀어박혀 있으면 안 된다.
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
주인공	주인공	NNG	O
과	과	JKB	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
고민	고민	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
청소년	청소년	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
“	“	SS	O
그래도	그리하+여도	VV+EC	O
_	_	_	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
틀어박혀	틀어박히+어	VV+EC	O
_	_	_	O
있	있	VX	O
으면	으면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 정부는 곧 ‘이란 교역 및 투자지원센터’(가칭)를 설치해 이란과 교역을 원하는 국내 기업을 지원할 예정이다.
## 정부는 곧 ‘<이란 교역 및 투자지원센터:ORG>’(가칭)를 설치해 <이란:ORG>과 교역을 원하는 국내 기업을 지원할 예정이다.
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
곧	곧	MAG	O
_	_	_	O
‘	‘	SS	O
이	이	VCP	B-ORG
란	란	ETM	I-ORG
_	_	_	I-ORG
교역	교역	NNG	I-ORG
_	_	_	I-ORG
및	및	MAG	I-ORG
_	_	_	I-ORG
투자	투자	NNG	I-ORG
