## 1
## 보훈처는 대전현충원 내에 조성된 장군 묘역이 모두 찰 것으로 예상되는 2020년부터는 장군 묘역 규모를 기당 8평(약 26.4m²)에서 장교 및 사병과 같은 규모인 기당 1평(약 3.3m²)으로 줄일 방침이다.
## <보훈처:ORG>는 <대전현충원:LOC> 내에 조성된 장군 묘역이 모두 찰 것으로 예상되는 <2020년:DAT>부터는 장군 묘역 규모를 기당 <8평:NOH>(약 <26.4m²:NOH>)에서 장교 및 사병과 같은 규모인 기당 <1평:NOH>(약 <3.3m²:NOH>)으로 줄일 방침이다.
보훈	보훈	NNG	B-ORG
처	처	XSN	I-ORG
는	는	JX	O
_	_	_	O
대	대	NNG	B-LOC
전현	전현	NNG	I-LOC
충원	충원	NNG	I-LOC
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
조성된	조성되+ㄴ	VV+ETM	O
_	_	_	O
장군	장군	NNG	O
_	_	_	O
묘역	묘역	NNG	O
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
찰	차+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상되	예상되	VV	O
는	는	ETM	O
_	_	_	O
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
는	는	JX	O
_	_	_	O
장군	장군	NNG	O
_	_	_	O
묘역	묘역	NNG	O
_	_	_	O
규모	규모	NNG	O
를	를	JKO	O
_	_	_	O
기	기	NNB	O
당	당	XSN	O
_	_	_	O
8	8	SN	B-NOH
평	평	NNB	I-NOH
(	(	SS	O
약	약	MM	O
_	_	_	O
26.4	26.4	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
장교	장교	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
사병	사병	NNG	O
과	과	JC	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
규모	규모	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
기	기	NNB	O
당	당	XSN	O
_	_	_	O
1	1	SN	B-NOH
평	평	NNB	I-NOH
(	(	SS	O
약	약	MM	O
_	_	_	O
3.3	3.3	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
줄일	줄이+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## (서울=뉴스1)
## (<서울:LOC>=뉴스1)
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	O
1	1	SN	O
)	)	SS	O

## 3
## 다음은 일문일답. - 문희상 의원 등 당내 중진 의원도 포함됐다.
## 다음은 일문일답. - <문희상:PER> 의원 등 당내 중진 의원도 포함됐다.
다음	다음	NNG	O
은	은	JX	O
_	_	_	O
일문일답	일문일답	NNG	O
.	.	SF	O
_	_	_	O
-	-	SO	O
_	_	_	O
문희상	문희상	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
당내	당내	NNG	O
_	_	_	O
중진	중진	NNG	O
_	_	_	O
의원	의원	NNG	O
도	도	JX	O
_	_	_	O
포함	포함되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김수현 이복동생 김주나 측 "홍보 목적 전혀 없었다"
## <김수현:PER> 이복동생 <김주나:PER> 측 "홍보 목적 전혀 없었다"
김수현	김수현	NNP	B-PER
_	_	_	O
이복동생	이복동생	NNG	O
_	_	_	O
김주나	김주나	NNP	B-PER
_	_	_	O
측	측	NNB	O
_	_	_	O
"	"	SS	O
홍보	홍보	NNG	O
_	_	_	O
목적	목적	NNG	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
"	"	SS	O

## 5
## 1979년 총선에 전남 고흥-보성에서 무소속으로 당선한 고(故) 김수 전 공화당 의원의 아들이다.
## <1979년:DAT> 총선에 <전남:LOC> <고흥:LOC>-<보성:LOC>에서 무소속으로 당선한 고(故) <김수:PER> 전 <공화당:ORG> 의원의 아들이다.
1979	1979	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
총선	총선	NNG	O
에	에	JKB	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
고흥	고흥	NNP	B-LOC
-	-	SO	O
보성	보성	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
무소속	무소속	NNG	O
으로	으로	JKB	O
_	_	_	O
당선한	당선하+ㄴ	VV+ETM	O
_	_	_	O
고	고	MM	O
(	(	SS	O
故	故	SH	O
)	)	SS	O
_	_	_	O
김수	김수	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
공화당	공화당	NNP	B-ORG
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
아들	아들	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 중저가 대형주 중에서는 아시아자동차, 쌍용자동차등이 강세를 유지했다.
## 중저가 대형주 중에서는 <아시아자동차:ORG>, <쌍용자동차:ORG>등이 강세를 유지했다.
중저가	중저가	NNG	O
_	_	_	O
대형주	대형주	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
아시아	아시아	NNP	B-ORG
자동차	자동차	NNG	I-ORG
,	,	SP	O
_	_	_	O
쌍용자동차	쌍용자동차	NNP	B-ORG
등	등	NNB	O
이	이	JKS	O
_	_	_	O
강세	강세	NNG	O
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 검찰이 금융 기록 등을 통해 파악한 삼성의 지원 금액은 지난해 10월까지 280만 유로(약 35억원) 가량이다.
## 검찰이 금융 기록 등을 통해 파악한 <삼성:ORG>의 지원 금액은 지난해 <10월:DAT>까지 <280만 유로:MNY>(약 <35억원:MNY>) 가량이다.
검찰	검찰	NNG	O
이	이	JKS	O
_	_	_	O
금융	금융	NNG	O
_	_	_	O
기록	기록	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
파악한	파악하+ㄴ	VV+ETM	O
_	_	_	O
삼성	삼성	NNP	B-ORG
의	의	JKG	O
_	_	_	O
지원	지원	NNG	O
_	_	_	O
금액	금액	NNG	O
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
280	280	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
유로	유로	NNG	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
35	35	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
_	_	_	O
가량	가량	XSN	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 당초 삼성은 승마협회로부터 선수 6명을 대상으로 전지훈련비를 지원할 방침이었으나 이 돈은 사실상 정씨에게만 지원됐다.
## 당초 <삼성:ORG>은 <승마협회:ORG>로부터 선수 <6명:NOH>을 대상으로 전지훈련비를 지원할 방침이었으나 이 돈은 사실상 <정:PER>씨에게만 지원됐다.
당초	당초	NNG	O
_	_	_	O
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
승마	승마	NNG	B-ORG
협회	협회	NNG	I-ORG
로부터	로부터	JKB	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
6	6	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
전지훈련	전지훈련	NNG	O
비	비	XSN	O
를	를	JKO	O
_	_	_	O
지원할	지원하+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
었	었	EP	O
으나	으나	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
돈	돈	NNG	O
은	은	JX	O
_	_	_	O
사실상	사실상	NNG	O
_	_	_	O
정	정	NNP	B-PER
씨	씨	NNB	O
에게	에게	JKB	O
만	만	JX	O
_	_	_	O
지원	지원+되	NNG+XSV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 앞서 삼성 측은 협회 차원의 유망주 육성 프로그램의 일환으로 자금을 지원한 것일뿐이지 최씨 모녀가 수혜 대상이 몰랐다는 취지로 해명한 바 있다.
## 앞서 <삼성:ORG> 측은 협회 차원의 유망주 육성 프로그램의 일환으로 자금을 지원한 것일뿐이지 <최:PER>씨 모녀가 수혜 대상이 몰랐다는 취지로 해명한 바 있다.
앞서	앞서+어	VV+EC	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
협회	협회	NNG	O
_	_	_	O
차원	차원	NNG	O
의	의	JKG	O
_	_	_	O
유망주	유망주	NNG	O
_	_	_	O
육성	육성	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
의	의	JKG	O
_	_	_	O
일환	일환	NNG	O
으로	으로	JKB	O
_	_	_	O
자금	자금	NNG	O
을	을	JKO	O
_	_	_	O
지원한	지원하+ㄴ	VV+ETM	O
