## 1
## 조 민 근경제부문 차장
## <조 민:PER> 근경제부문 차장
조	조	NNG	B-PER
_	_	_	I-PER
민	민	NNP	I-PER
_	_	_	O
근	근	MM	O
경제	경제	NNG	O
부문	부문	NNG	O
_	_	_	O
차장	차장	NNG	O

## 2
## 이렇게 명문 구단들은 6월이 시작한 뒤 다음 시즌에 대비하기 위해 활발하게 움직이고 있다.
## 이렇게 명문 구단들은 <6월:DAT>이 시작한 뒤 다음 시즌에 대비하기 위해 활발하게 움직이고 있다.
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
명문	명문	NNG	O
_	_	_	O
구단	구단	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
이	이	JKS	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
시즌	시즌	NNG	O
에	에	JKB	O
_	_	_	O
대비하	대비하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
활발하	활발하	VA	O
게	게	EC	O
_	_	_	O
움직이	움직이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 최고의 시즌을 보내고 있는 손흥민(25·토트넘)이 잉글랜드 프리미어리그(EPL) 우승 트로피까지 들어올릴 수 있을까. 맨체스터 유나이티드(맨유)가 17일 32라운드에서 선두 첼시를 2-0으로 완파하면서 쉽지 않아 보였던 토트넘의 우승 가능성이 열리고 있다.
## 최고의 시즌을 보내고 있는 <손흥민:PER>(<25:NOH>·<토트넘:ORG>)이 <잉글랜드 프리미어리그:ORG>(<EPL:ORG>) 우승 트로피까지 들어올릴 수 있을까. <맨체스터 유나이티드:ORG>(<맨유:ORG>)가 <17일:DAT> <32라운드:NOH>에서 선두 <첼시:ORG>를 <2-0:NOH>으로 완파하면서 쉽지 않아 보였던 <토트넘:ORG>의 우승 가능성이 열리고 있다.
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
(	(	SS	O
25	25	SN	B-NOH
·	·	SP	O
토트넘	토트넘	NNP	B-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
잉글랜드	잉글랜드	NNP	B-ORG
_	_	_	I-ORG
프리미어	프리미어	NNG	I-ORG
리그	리그	NNG	I-ORG
(	(	SS	O
EPL	EPL	SL	B-ORG
)	)	SS	O
_	_	_	O
우승	우승	NNG	O
_	_	_	O
트로피	트로피	NNG	O
까지	까지	JX	O
_	_	_	O
들	들	VV	O
어	어	EC	O
올릴	올리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을까	을까	EF	O
.	.	SF	O
_	_	_	O
맨체스터	맨체스터	NNP	B-ORG
_	_	_	I-ORG
유나이티드	유나이티드	NNP	I-ORG
(	(	SS	O
맨유	맨유	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
32	32	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
선두	선두	NNG	O
_	_	_	O
첼시	첼시	NNP	B-ORG
를	를	JKO	O
_	_	_	O
2	2	SN	B-NOH
-	-	SO	I-NOH
0	0	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
완파하	완파하	VV	O
면서	면서	EC	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
토트넘	토트넘	NNP	B-ORG
의	의	JKG	O
_	_	_	O
우승	우승	NNG	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
열리	열리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 숫기없는 노총각·젊은 과부의 설화영험한 바위로 일대에 소문이 자자30년 전만해도 무속인들로 장사진마르지 않는 샘 덕분에 농사도 짓고일부는 잘려 나가 학교건물 자재로 전남 고흥은 바다의 고장이자 산과 바위의 마을이기도 하다.
## 숫기없는 노총각·젊은 과부의 설화영험한 바위로 일대에 소문이 자자<30년:NOH> 전만해도 무속인들로 장사진마르지 않는 샘 덕분에 농사도 짓고일부는 잘려 나가 학교건물 자재로 <전남:LOC> <고흥:LOC>은 바다의 고장이자 산과 바위의 마을이기도 하다.
숫기	숫기	NNG	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
노총각	노총각	NNG	O
·	·	SP	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
과부	과부	NNG	O
의	의	JKG	O
_	_	_	O
설화	설화	NNG	O
영험한	영험하+ㄴ	VA+ETM	O
_	_	_	O
바위	바위	NNG	O
로	로	JKB	O
_	_	_	O
일대	일대	NNG	O
에	에	JKB	O
_	_	_	O
소문	소문	NNG	O
이	이	JKS	O
_	_	_	O
자	자	VV	O
자	자	EC	O
30	30	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
만	만	JX	O
해도	하+여도	VV+EC	O
_	_	_	O
무속	무속	NNG	O
인	인	XSN	O
들	들	XSN	O
로	로	JKB	O
_	_	_	O
장사진	장사진	NNG	O
마르	마르	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
샘	샘	NNG	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
농사	농사	NNG	O
도	도	JX	O
_	_	_	O
짓	짓	VV	O
고	고	EC	O
일부	일부	NNG	O
는	는	JX	O
_	_	_	O
잘려	잘리+어	VV+EC	O
_	_	_	O
나가	나가+아	VV+EC	O
_	_	_	O
학교	학교	NNG	O
건물	건물	NNG	O
_	_	_	O
자재	자재	NNG	O
로	로	JKB	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
고흥	고흥	NNP	B-LOC
은	은	JX	O
_	_	_	O
바다	바다	NNG	O
의	의	JKG	O
_	_	_	O
고장	고장	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
산	산	NNG	O
과	과	JC	O
_	_	_	O
바위	바위	NNG	O
의	의	JKG	O
_	_	_	O
마을	마을	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 롯데그룹에 인수된 렌터카업체 kt렌탈이 회사명과 렌터카 브랜드명을 ‘롯데렌탈’ 및 ‘롯데렌터카’로 바꾼다고 22일 밝혔다.
## <롯데그룹:ORG>에 인수된 렌터카업체 <kt렌탈:ORG>이 회사명과 렌터카 브랜드명을 ‘<롯데렌탈:ORG>’ 및 ‘<롯데렌터카:ORG>’로 바꾼다고 <22일:DAT> 밝혔다.
롯데	롯데	NNP	B-ORG
그룹	그룹	NNG	I-ORG
에	에	JKB	O
_	_	_	O
인수된	인수되+ㄴ	VV+ETM	O
_	_	_	O
렌터카	렌터카	NNG	O
업체	업체	NNG	O
_	_	_	O
kt	kt	SL	B-ORG
렌탈	렌탈	NNG	I-ORG
이	이	JKS	O
_	_	_	O
회사	회사	NNG	O
명	명	NNG	O
과	과	JC	O
_	_	_	O
렌터카	렌터카	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
명	명	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
롯데	롯데	NNP	B-ORG
렌탈	렌탈	NNG	I-ORG
’	’	SS	O
_	_	_	O
및	및	MAG	O
_	_	_	O
‘	‘	SS	O
롯데	롯데	NNP	B-ORG
렌터카	렌터카	NNG	I-ORG
’	’	SS	O
로	로	JKB	O
_	_	_	O
바꾼다고	바꾸+ㄴ다고	VV+EC	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## A매치 106경기에서 75골을 넣은 크리스티안(센트로 올림피코)과 A매치 111경기에 서 21골을 기록한 로자나(휴스턴)도 경계 대상이다.
## A매치 <106경기:NOH>에서 <75골:NOH>을 넣은 <크리스티안:PER>(<센트로 올림피코:ORG>)과 A매치 <111경기:NOH>에 서 <21골:NOH>을 기록한 <로자나:PER>(<휴스턴:ORG>)도 경계 대상이다.
A	A	SL	O
매치	매치	NNG	O
_	_	_	O
106	106	SN	B-NOH
경기	경기	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
75	75	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
은	은	ETM	O
_	_	_	O
크리스티안	크리스티안	NNP	B-PER
(	(	SS	O
센트	센트	NNB	B-ORG
로	로	JKB	I-ORG
_	_	_	I-ORG
올림피코	올림피코	NNP	I-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
A	A	SL	O
매치	매치	NNG	O
_	_	_	O
111	111	SN	B-NOH
경기	경기	NNG	I-NOH
에	에	JKB	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
