## 1
## 영국 패션 브랜드 올세인츠는 6년 전 심각한 위기에 빠졌다.
## <영국:ORG> 패션 브랜드 <올세인츠:ORG>는 <6년:NOH> 전 심각한 위기에 빠졌다.
영국	영국	NNP	B-ORG
_	_	_	O
패션	패션	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
올	올	NNG	B-ORG
세인츠	세인츠	NNP	I-ORG
는	는	JX	O
_	_	_	O
6	6	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
심각한	심각하+ㄴ	VA+ETM	O
_	_	_	O
위기	위기	NNG	O
에	에	JKB	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 모든 상품의 수익률을 가중평균해 산출한 올 상반기 주요 은행의 퇴직연금 수익률에선 NH농협은행이 1.68%로 1위를 차지했다.
## 모든 상품의 수익률을 가중평균해 산출한 올 상반기 주요 은행의 퇴직연금 수익률에선 <NH농협은행:ORG>이 <1.68%:PNT>로 <1위:NOH>를 차지했다.
모든	모든	MM	O
_	_	_	O
상품	상품	NNG	O
의	의	JKG	O
_	_	_	O
수익률	수익률	NNG	O
을	을	JKO	O
_	_	_	O
가중평균	가중평균	NNG	O
해	해	NNG	O
_	_	_	O
산출한	산출하+ㄴ	VV+ETM	O
_	_	_	O
올	올	NNG	O
_	_	_	O
상반기	상반기	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
은행	은행	NNG	O
의	의	JKG	O
_	_	_	O
퇴직	퇴직	NNG	O
연금	연금	NNG	O
_	_	_	O
수익률	수익률	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
NH	NH	SL	B-ORG
농협은행	농협은행	NNP	I-ORG
이	이	JKS	O
_	_	_	O
1.68	1.68	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 창작 모던발레 ‘레이지’(RAGE·6월 5∼6일·서울 LG아트센터), 야외공연 ‘한여름 밤의 꿈’(8월 6일·대전예술의전당), 서울발레시어터의 대표 레퍼토리를 모은 ‘모던 갈라 & 비잉’(BEING·10월 22∼23일·서울 예술의전당), 스위스 바젤 발레단과 합작한 ‘무브스’(MOVES·10월 1∼2일·서울 국립극장) 등이다.
## 창작 모던발레 ‘<레이지:POH>’(<RAGE:POH>·<6월 5∼6일:DUR>·<서울:LOC> <LG아트센터:LOC>), 야외공연 ‘<한여름 밤의 꿈:POH>’(<8월 6일:DAT>·<대전예술의전당:ORG>), <서울발레시어터:ORG>의 대표 레퍼토리를 모은 ‘<모던 갈라 & 비잉:POH>’(<BEING:POH>·<10월 22∼23일:DUR>·<서울 예술의전당:LOC>), <스위스 바젤 발레단:ORG>과 합작한 ‘<무브스:POH>’(<MOVES:POH>·<10월 1∼2일:DUR>·<서울 국립극장:LOC>) 등이다.
창작	창작	NNG	O
_	_	_	O
모던	모던	NNG	O
발레	발레	NNG	O
_	_	_	O
‘	‘	SS	O
레이지	레이지	NNP	B-POH
’	’	SS	O
(	(	SS	O
RAGE	RAGE	SL	B-POH
·	·	SP	O
6	6	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
5	5	SN	I-DUR
∼	∼	SO	I-DUR
6	6	SN	I-DUR
일	일	NNB	I-DUR
·	·	SP	O
서울	서울	NNP	B-LOC
_	_	_	O
LG	LG	SL	B-LOC
아트	아트	NNG	I-LOC
센터	센터	NNG	I-LOC
)	)	SS	O
,	,	SP	O
_	_	_	O
야외	야외	NNG	O
공연	공연	NNG	O
_	_	_	O
‘	‘	SS	O
한여름	한여름	NNG	B-POH
_	_	_	I-POH
밤	밤	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
꿈	꿈	NNG	I-POH
’	’	SS	O
(	(	SS	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
일	일	NNB	I-DAT
·	·	SP	O
대전	대전	NNP	B-ORG
예술의전당	예술의전당	NNP	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
서울발레시어터	서울발레시어터	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
레퍼토리	레퍼토리	NNG	O
를	를	JKO	O
_	_	_	O
모은	모으+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
모던	모던	NNG	B-POH
_	_	_	I-POH
갈	가르	VV	I-POH
라	아	EC	I-POH
_	_	_	I-POH
&	&	SW	I-POH
_	_	_	I-POH
비잉	비잉	MAG	I-POH
’	’	SS	O
(	(	SS	O
BEING	BEING	SL	B-POH
·	·	SP	O
10	10	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
22	22	SN	I-DUR
∼	∼	SO	I-DUR
23	23	SN	I-DUR
일	일	NNB	I-DUR
·	·	SP	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
예술의전당	예술의전당	NNP	I-LOC
)	)	SS	O
,	,	SP	O
_	_	_	O
스위스	스위스	NNP	B-ORG
_	_	_	I-ORG
바젤	바젤	NNP	I-ORG
_	_	_	I-ORG
발레	발레	NNG	I-ORG
단	단	XSN	I-ORG
과	과	JC	O
_	_	_	O
합작한	합작하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
무브스	무브스	NNG	B-POH
’	’	SS	O
(	(	SS	O
MOVES	MOVES	SL	B-POH
·	·	SP	O
10	10	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
1	1	SN	I-DUR
∼	∼	SO	I-DUR
2	2	SN	I-DUR
일	일	NNB	I-DUR
·	·	SP	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
국립	국립	NNG	I-LOC
극장	극장	NNG	I-LOC
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 2층에서는 반도체의 미래 기술이 개인과 사회, 지구에 미치는 영향을 애니메이션으로 구성한 영상을 볼 수 있으며, 건강·쇼핑· 교육 등의 분야별 솔루션도 직접 체험해 볼 수 있다.
## <2층:NOH>에서는 반도체의 미래 기술이 개인과 사회, 지구에 미치는 영향을 애니메이션으로 구성한 영상을 볼 수 있으며, 건강·쇼핑· 교육 등의 분야별 솔루션도 직접 체험해 볼 수 있다.
2	2	SN	B-NOH
층	층	NNG	I-NOH
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
반도체	반도체	NNG	O
의	의	JKG	O
_	_	_	O
미래	미래	NNG	O
_	_	_	O
기술	기술	NNG	O
이	이	JKS	O
_	_	_	O
개인	개인	NNG	O
과	과	JC	O
_	_	_	O
사회	사회	NNG	O
,	,	SP	O
_	_	_	O
지구	지구	NNG	O
에	에	JKB	O
_	_	_	O
미치	미치	VV	O
는	는	ETM	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
애니메이션	애니메이션	NNG	O
으로	으로	JKB	O
_	_	_	O
구성한	구성하+ㄴ	VV+ETM	O
_	_	_	O
영상	영상	NNG	O
을	을	JKO	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
건강	건강	NNG	O
·	·	SP	O
쇼핑	쇼핑	NNG	O
·	·	SP	O
_	_	_	O
교육	교육	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
분야	분야	NNG	O
별	별	XSN	O
_	_	_	O
솔루션	솔루션	NNG	O
도	도	JX	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
체험해	체험하+여	VV+EC	O
_	_	_	O
볼	보+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 한편 ‘걸스피릿’은 인지도가 낮은 아이돌 그룹의 ‘노바디 보컬’로 불리는 멤버들이 출연해 경연을 펼치는 프로그램으로, 매주 화요일 오후 10시50분 JTBC에서 방송된다.
## 한편 ‘<걸스피릿:POH>’은 인지도가 낮은 아이돌 그룹의 ‘노바디 보컬’로 불리는 멤버들이 출연해 경연을 펼치는 프로그램으로, 매주 <화요일:DAT> <오후 10시50분:TIM> <JTBC:POH>에서 방송된다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
걸스피릿	걸스피릿	NNG	B-POH
’	’	SS	O
은	은	JX	O
