## 1
## 김 실장과 한 장관은 따로 얘기를 나누기도 했다.
## <김:PER> 실장과 <한:PER> 장관은 따로 얘기를 나누기도 했다.
김	김	NNP	B-PER
_	_	_	O
실장	실장	NNG	O
과	과	JC	O
_	_	_	O
한	하+ㄴ	VV+ETM	B-PER
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
따로	따로	MAG	O
_	_	_	O
얘기	얘기	NNG	O
를	를	JKO	O
_	_	_	O
나누	나누	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 부시는 1983년 헬무트 콜 독일 총리를 만난 뒤 “독일은 자신의 죄에 대해 속죄했고 굳건한 민주주의 체제를 유지했다”고 말했다.
## <부시:PER>는 <1983년:DAT> <헬무트 콜:PER> <독일:ORG> 총리를 만난 뒤 “<독일:ORG>은 자신의 죄에 대해 속죄했고 굳건한 민주주의 체제를 유지했다”고 말했다.
부시	부시	NNP	B-PER
는	는	JX	O
_	_	_	O
1983	1983	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
헬무트	헬무트	NNP	B-PER
_	_	_	I-PER
콜	콜	NNP	I-PER
_	_	_	O
독일	독일	NNP	B-ORG
_	_	_	O
총리	총리	NNG	O
를	를	JKO	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
“	“	SS	O
독일	독일	NNP	B-ORG
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
죄	죄	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
속죄	속죄하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
굳건한	굳건하+ㄴ	VA+ETM	O
_	_	_	O
민주주의	민주주의	NNG	O
_	_	_	O
체제	체제	NNG	O
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이와 함께 공기의 흐름을 고려한 설계로 엔진 냉각과 민첩한 핸들링을 돕는 프런트, 리어 및 레이어 카울과 경량화한 12인치 스포크 알루미늄 주조 휠은 안정적인 주행과 더불어 레이싱 모터사이클 특유의 날카롭고 대담한 이미지를 선사한다.
## 이와 함께 공기의 흐름을 고려한 설계로 엔진 냉각과 민첩한 핸들링을 돕는 프런트, 리어 및 레이어 카울과 경량화한 <12인치:NOH> 스포크 알루미늄 주조 휠은 안정적인 주행과 더불어 레이싱 모터사이클 특유의 날카롭고 대담한 이미지를 선사한다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
공기	공기	NNG	O
의	의	JKG	O
_	_	_	O
흐름	흐름	NNG	O
을	을	JKO	O
_	_	_	O
고려한	고려하+ㄴ	VV+ETM	O
_	_	_	O
설계	설계	NNG	O
로	로	JKB	O
_	_	_	O
엔진	엔진	NNG	O
_	_	_	O
냉각	냉각	NNG	O
과	과	JC	O
_	_	_	O
민첩한	민첩하+ㄴ	VA+ETM	O
_	_	_	O
핸들링	핸들링	NNG	O
을	을	JKO	O
_	_	_	O
돕	돕	VV	O
는	는	ETM	O
_	_	_	O
프런트	프런트	NNG	O
,	,	SP	O
_	_	_	O
리어	리어	NNP	O
_	_	_	O
및	및	MAG	O
_	_	_	O
레이어	레이어	NNG	O
_	_	_	O
카울	카울	NNP	O
과	과	JC	O
_	_	_	O
경량	경량	NNG	O
화	화	XSN	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
12	12	SN	B-NOH
인치	인치	NNB	I-NOH
_	_	_	O
스포크	스포크	NNP	O
_	_	_	O
알루미늄	알루미늄	NNG	O
_	_	_	O
주조	주조	NNG	O
_	_	_	O
휠	휠	NNG	O
은	은	JX	O
_	_	_	O
안정적	안정적	NNG	O
인	이+ㄴ	VCP+ETM	O
