## 1
## 그러나 IM(IT&모바일) 사업의 경우 갤럭시 S6를 본격 출시했지만, 중저가 스마트폰 판매량 감소와 신제품 출시에 따른 마케팅 비용 증가로 실적 개선이 제한됐다.
## 그러나 <IM(IT&모바일) 사업:POH>의 경우 <갤럭시 S6:POH>를 본격 출시했지만, 중저가 스마트폰 판매량 감소와 신제품 출시에 따른 마케팅 비용 증가로 실적 개선이 제한됐다.
그러나	그러나	MAJ	O
_	_	_	O
IM	IM	SL	B-POH
(	(	SS	I-POH
IT	IT	SL	I-POH
&	&	SW	I-POH
모바일	모바일	NNG	I-POH
)	)	SS	I-POH
_	_	_	I-POH
사업	사업	NNG	I-POH
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
S	S	SL	I-POH
6	6	SN	I-POH
를	를	JKO	O
_	_	_	O
본격	본격	NNG	O
_	_	_	O
출시	출시하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
중저가	중저가	NNG	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
판매량	판매량	NNG	O
_	_	_	O
감소	감소	NNG	O
와	와	JC	O
_	_	_	O
신제품	신제품	NNG	O
_	_	_	O
출시	출시	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
비용	비용	NNG	O
_	_	_	O
증가	증가	NNG	O
로	로	JKB	O
_	_	_	O
실적	실적	NNG	O
_	_	_	O
개선	개선	NNG	O
이	이	JKS	O
_	_	_	O
제한	제한되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## “중국 경제가 관 주도이고, 국내 기업이 가진 중국의 인적 네트워크가 충분치 않다.
## “<중국:LOC> 경제가 관 주도이고, 국내 기업이 가진 <중국:LOC>의 인적 네트워크가 충분치 않다.
“	“	SS	O
중국	중국	NNP	B-LOC
_	_	_	O
경제	경제	NNG	O
가	가	JKS	O
_	_	_	O
관	관	NNG	O
_	_	_	O
주도	주도	NNG	O
이	이	VCP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
