## 1
## 조승국 대한전공의협의회(이하 대전협) 정책이사의 반박이다.
## <조승국:PER> <대한전공의협의회:ORG>(이하 <대전협:ORG>) 정책이사의 반박이다.
조승국	조승국	NNP	B-PER
_	_	_	O
대한	대한	NNP	B-ORG
전공의	전공의	NNG	I-ORG
협의회	협의회	NNG	I-ORG
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
대전	대전	NNP	B-ORG
협	협	NNG	I-ORG
)	)	SS	O
_	_	_	O
정책	정책	NNG	O
이사	이사	NNG	O
의	의	JKG	O
_	_	_	O
반박	반박	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 장기수 출신 국내 미전향자와 북한가족 사이에 현재 2건의 서신교환이 이루어지고 있는 것으로 밝혀졌다.
## <장기수:ORG> 출신 국내 미전향자와 <북한:ORG>가족 사이에 현재 <2건:NOH>의 서신교환이 이루어지고 있는 것으로 밝혀졌다.
장기수	장기수	NNG	B-ORG
_	_	_	O
출신	출신	NNG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
미	미	XPN	O
전향	전향	NNG	O
자	자	XSN	O
와	와	JC	O
_	_	_	O
북한	북한	NNP	B-ORG
가족	가족	NNG	O
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
2	2	SN	B-NOH
건	건	NNB	I-NOH
의	의	JKG	O
_	_	_	O
서신	서신	NNG	O
교환	교환	NNG	O
이	이	JKS	O
_	_	_	O
이루어지	이루어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
밝혀	밝혀지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 경우, 당내 개혁파들은 민주화 세력들과 제휴, 보수파를 타도할 가능성이 있으며, 이에따라 중국이 민주화의 길로 나아갈 가능성이 높다.
## 이 경우, 당내 개혁파들은 민주화 세력들과 제휴, 보수파를 타도할 가능성이 있으며, 이에따라 <중국:ORG>이 민주화의 길로 나아갈 가능성이 높다.
이	이	MM	O
_	_	_	O
경우	경우	NNG	O
,	,	SP	O
_	_	_	O
당내	당내	NNG	O
_	_	_	O
개혁파	개혁파	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
민주화	민주화	NNG	O
_	_	_	O
세력	세력	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
제휴	제휴	NNG	O
,	,	SP	O
_	_	_	O
보수파	보수파	NNG	O
를	를	JKO	O
_	_	_	O
타도할	타도하+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
민주화	민주화	NNG	O
의	의	JKG	O
_	_	_	O
길	길	NNG	O
로	로	JKB	O
_	_	_	O
나아갈	나아가+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 나영석 PD는 “눈빛만 봐도 서로의 생각을 알아채는 출연자들의 4박5일간 즐거운 여행이 생생하게 담길 예정이다”라며 “시청자들이 함께 편하게 즐길 수 있는 콘텐츠를 선보이기 위해 노력하고 있다”라고 설명했다.
## <나영석:PER> PD는 “눈빛만 봐도 서로의 생각을 알아채는 출연자들의 <4박:NOH><5일:NOH>간 즐거운 여행이 생생하게 담길 예정이다”라며 “시청자들이 함께 편하게 즐길 수 있는 콘텐츠를 선보이기 위해 노력하고 있다”라고 설명했다.
나영석	나영석	NNP	B-PER
_	_	_	O
PD	PD	SL	O
는	는	JX	O
_	_	_	O
“	“	SS	O
눈빛	눈빛	NNG	O
만	만	JX	O
_	_	_	O
봐도	보+아도	VV+EC	O
_	_	_	O
서로	서로	NNG	O
의	의	JKG	O
_	_	_	O
생각	생각	NNG	O
을	을	JKO	O
_	_	_	O
알아채	알아채	VV	O
는	는	ETM	O
_	_	_	O
출연자	출연자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
4	4	SN	B-NOH
박	박	NNB	I-NOH
5	5	SN	B-NOH
일	일	NNB	I-NOH
간	간	XSN	O
_	_	_	O
즐거	즐겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
여행	여행	NNG	O
이	이	JKS	O
_	_	_	O
생생하	생생하	VA	O
게	게	EC	O
_	_	_	O
담길	담기+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
시청자	시청자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
편하	편하	VA	O
게	게	EC	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
선보이	선보이	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
노력하	노력하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 3회말과 5회말 각각 2루수 땅볼과 삼진으로 물러나며 숨을 골랐지만, 4-5로 뒤진 7회말에는 상대 우완투수 루크 호체바의 3구째 몸쪽 낮은 너클커브를 퍼 올려 우익수 앞에 떨어지는 안타를 뽑았다.
## <3회:NOH>말과 <5회:NOH>말 각각 <2루수:NOH> 땅볼과 삼진으로 물러나며 숨을 골랐지만, <4-5:NOH>로 뒤진 <7회:NOH>말에는 상대 우완투수 <루크 호체바:PER>의 <3구:NOH>째 몸쪽 낮은 너클커브를 퍼 올려 우익수 앞에 떨어지는 안타를 뽑았다.
3	3	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
과	과	JC	O
_	_	_	O
5	5	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
2	2	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
_	_	_	O
땅볼	땅볼	NNG	O
과	과	JC	O
_	_	_	O
삼진	삼진	NNG	O
으로	으로	JKB	O
_	_	_	O
물러나	물러나	VV	O
며	며	EC	O
_	_	_	O
숨	숨	NNG	O
을	을	JKO	O
_	_	_	O
골	고르	VV	O
랐	았	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
-	-	SO	I-NOH
5	5	SN	I-NOH
로	로	JKB	O
_	_	_	O
뒤진	뒤지+ㄴ	VV+ETM	O
_	_	_	O
7	7	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
우완	우완	NNG	O
투수	투수	NNG	O
_	_	_	O
루크	루크	NNP	B-PER
_	_	_	I-PER
호체바	호체바	NNP	I-PER
의	의	JKG	O
_	_	_	O
3	3	SN	B-NOH
구	구	NNG	I-NOH
째	째	XSN	O
_	_	_	O
몸	몸	NNG	O
쪽	쪽	NNB	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
너클	너클	NNG	O
커브	커브	NNG	O
를	를	JKO	O
_	_	_	O
퍼	+어	+EC	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
우익수	우익수	NNG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
떨어지	떨어지	VV	O
는	는	ETM	O
_	_	_	O
안타	안타	NNG	O
를	를	JKO	O
_	_	_	O
뽑	뽑	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘최순실 세리머니’ 김희진 선수에 비난 확산…“한심하다”vs“비방말라”
## ‘<최순실 세리머니:POH>’ <김희진:PER> 선수에 비난 확산…“한심하다”vs“비방말라”
‘	‘	SS	O
최순실	최순실	NNP	B-POH
_	_	_	I-POH
세리머니	세리머니	NNG	I-POH
’	’	SS	O
_	_	_	O
김희진	김희진	NNP	B-PER
_	_	_	O
선수	선수	NNG	O
에	에	JKB	O
_	_	_	O
비난	비난	NNG	O
_	_	_	O
확산	확산	NNG	O
…	…	SE	O
“	“	SS	O
한심하	한심하	VA	O
다	다	EF	O
”	”	SS	O
vs	vs	SL	O
“	“	SS	O
비방	비방	NNG	O
말	말+이	NNG+VCP	O
라	라	EF	O
”	”	SS	O

## 7
## 한국의 학생운동이 이처럼 하나의 사상에 사로잡혀 인간을 도구화시킨 것은 처음있는 일이었습니다.
## <한국:ORG>의 학생운동이 이처럼 <하나:NOH>의 사상에 사로잡혀 인간을 도구화시킨 것은 처음있는 일이었습니다.
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
학생	학생	NNG	O
운동	운동	NNG	O
이	이	JKS	O
_	_	_	O
이	이	NP	O
처럼	처럼	JKB	O
_	_	_	O
하나	하나	NNG	B-NOH
의	의	JKG	O
_	_	_	O
사상	사상	NNG	O
에	에	JKB	O
_	_	_	O
사로잡혀	사로잡히+어	VV+EC	O
_	_	_	O
인간	인간	NNG	O
을	을	JKO	O
_	_	_	O
도구	도구	NNG	O
화	화	XSN	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
처음	처음	NNG	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
이	이	VCP	O
었	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 8
## [Money&Life]교보생명, 노후자금 부족할 땐? 사망보험금 미리 받아 쓰자!
## [Money&Life]<교보생명:ORG>, 노후자금 부족할 땐? 사망보험금 미리 받아 쓰자!
[	[	SS	O
Money	Money	SL	O
&	&	SW	O
Life	Life	SL	O
]	]	SS	O
교보생명	교보생명	NNP	B-ORG
,	,	SP	O
_	_	_	O
노후	노후	NNG	O
자금	자금	NNG	O
_	_	_	O
부족할	부족하+ㄹ	VA+ETM	O
_	_	_	O
땐	때+ㄴ	NNG+JX	O
?	?	SF	O
_	_	_	O
사망	사망	NNG	O
보험금	보험금	NNG	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
쓰	쓰	VV	O
자	자	EF	O
!	!	SF	O

## 9
## 성소수자는 물론 그들과 연대하고 지지하는 이들은 트위터와 페이스북에 끝도 없는 검증의 글을 써낼 것이고, 언론들은 ‘트렌스젠더란 무엇인가’,
