## 1
## OK저축은행은 송명근(24득점) 한 명의 활약으로는 팀 현대캐피탈을 이길 수 없었다.
## <OK저축은행:ORG>은 <송명근:PER>(<24득점:NOH>) <한 명:NOH>의 활약으로는 팀 <현대캐피탈:ORG>을 이길 수 없었다.
OK	OK	SL	B-ORG
저축은행	저축은행	NNG	I-ORG
은	은	JX	O
_	_	_	O
송명근	송명근	NNP	B-PER
(	(	SS	O
24	24	SN	B-NOH
득점	득점	NNG	I-NOH
)	)	SS	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
활약	활약	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
현대캐피탈	현대캐피탈	NNP	B-ORG
을	을	JKO	O
_	_	_	O
이길	이기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 화성실내체육관에서 열린 여자부에서는 최하위 도로공사가 IBK기업은행을 세트스코어 3-2(25-15 26-28 25-17 28-30 15-10)로 잡는 파란을 연출하며 9연패 악몽에서 벗어났다.
## 한편 <화성실내체육관:LOC>에서 열린 여자부에서는 최하위 <도로공사:ORG>가 <IBK기업은행:ORG>을 세트스코어 <3-2:NOH>(<25-15:NOH> <26-28:NOH> <25-17:NOH> <28-30:NOH> <15-10:NOH>)로 잡는 파란을 연출하며 <9연패:NOH> 악몽에서 벗어났다.
한편	한편	MAG	O
_	_	_	O
화성실내체육관	화성실내체육관	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
여자	여자	NNG	O
부	부	XSN	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
최	최	XPN	O
하위	하위	NNG	O
_	_	_	O
도로	도로	NNG	B-ORG
공사	공사	NNG	I-ORG
가	가	JKS	O
_	_	_	O
IBK	IBK	SL	B-ORG
기업은행	기업은행	NNP	I-ORG
을	을	JKO	O
_	_	_	O
세트스코어	세트스코어	NNG	O
_	_	_	O
3	3	SN	B-NOH
-	-	SO	I-NOH
2	2	SN	I-NOH
(	(	SS	O
25	25	SN	B-NOH
-	-	SO	I-NOH
15	15	SN	I-NOH
_	_	_	O
26	26	SN	B-NOH
-	-	SO	I-NOH
28	28	SN	I-NOH
_	_	_	O
25	25	SN	B-NOH
-	-	SO	I-NOH
17	17	SN	I-NOH
_	_	_	O
28	28	SN	B-NOH
-	-	SO	I-NOH
30	30	SN	I-NOH
_	_	_	O
15	15	SN	B-NOH
-	-	SO	I-NOH
10	10	SN	I-NOH
)	)	SS	O
로	로	JKB	O
_	_	_	O
잡	잡	VV	O
는	는	ETM	O
_	_	_	O
파란	파란	NNG	O
을	을	JKO	O
_	_	_	O
연출하	연출하	VV	O
며	며	EC	O
_	_	_	O
9	9	SN	B-NOH
연패	연패	NNG	I-NOH
_	_	_	O
악몽	악몽	NNG	O
에서	에서	JKB	O
_	_	_	O
벗어났	벗어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 1936년 베를린 올림픽 마라톤에서 금메달을 목에 걸었지만 가슴에 붙은 일장기 탓에 고개 숙여야 했던 고 손기정 선생. 친선특급에 참가하는 손 선생의 외손자 이준승 손기정기념재단 사무총장(48)은 “손 선생은 베를린 올림픽에 참가하기 위해 시베리아횡단열차를 탔다.
## <1936년:DAT> <베를린 올림픽:POH> 마라톤에서 금메달을 목에 걸었지만 가슴에 붙은 일장기 탓에 고개 숙여야 했던 고 <손기정:PER> 선생. 친선특급에 참가하는 <손:PER> 선생의 외손자 <이준승:PER> <손기정기념재단:ORG> 사무총장(<48:NOH>)은 “<손:PER> 선생은 <베를린 올림픽:POH>에 참가하기 위해 <시베리아횡단열차:POH>를 탔다.
1936	1936	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
베를린	베를린	NNP	B-POH
_	_	_	I-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
마라톤	마라톤	NNG	O
에서	에서	JKB	O
_	_	_	O
금메달	금메달	NNG	O
을	을	JKO	O
_	_	_	O
목	목	NNG	O
에	에	JKB	O
_	_	_	O
걸	걸	VV	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
