## 1
## 고대 그리스 연극에서 절체절명의 위기에 몰린 주인공을 (사실은 벌여 놓은 이야기를 수습하는 데 어려움을 겪는 극작가를) 뜬금없이 나타나 구해 주는 ‘기계장치의 신’ 말이다.
## 고대 <그리스:LOC> 연극에서 절체절명의 위기에 몰린 주인공을 (사실은 벌여 놓은 이야기를 수습하는 데 어려움을 겪는 극작가를) 뜬금없이 나타나 구해 주는 ‘<기계장치의 신:POH>’ 말이다.
고대	고대	NNG	O
_	_	_	O
그리스	그리스	NNP	B-LOC
_	_	_	O
연극	연극	NNG	O
에서	에서	JKB	O
_	_	_	O
절체절명	절체절명	NNG	O
의	의	JKG	O
_	_	_	O
위기	위기	NNG	O
에	에	JKB	O
_	_	_	O
몰린	몰리+ㄴ	VV+ETM	O
_	_	_	O
주인공	주인공	NNG	O
을	을	JKO	O
_	_	_	O
(	(	SS	O
사실	사실	NNG	O
은	은	JX	O
_	_	_	O
벌	벌이	VV	O
여	어	EC	O
_	_	_	O
놓	놓	VX	O
은	은	ETM	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
수습하	수습하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
어려움	어려움	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
는	는	ETM	O
_	_	_	O
극작가	극작가	NNG	O
를	를	JKO	O
)	)	SS	O
_	_	_	O
뜬금없이	뜬금없이	MAG	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
구해	구하+여	VV+EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
기계	기계	NNG	B-POH
장치	장치	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
신	신	NNG	I-POH
’	’	SS	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 김 전 의장은 “대통령은 ‘국가 안정을 위한 최소한의 시간만 달라’며 당장 하야 선언을 하고, 국회는 (탄핵) 표결을 며칠 미루더라도 바로 거국내각부터 구성해야 한다”고 말했다.
## <김:PER> 전 의장은 “대통령은 ‘국가 안정을 위한 최소한의 시간만 달라’며 당장 하야 선언을 하고, 국회는 (탄핵) 표결을 며칠 미루더라도 바로 거국내각부터 구성해야 한다”고 말했다.
김	김	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
국가	국가	NNG	O
_	_	_	O
안정	안정	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
최소한	최소한	NNG	O
의	의	JKG	O
_	_	_	O
시간	시간	NNG	O
만	만	JX	O
_	_	_	O
달	다르	VA	O
라	아	EF	O
’	’	SS	O
며	며	EC	O
_	_	_	O
당장	당장	NNG	O
_	_	_	O
하야	하야	NNG	O
_	_	_	O
선언	선언	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
국회	국회	NNG	O
는	는	JX	O
_	_	_	O
(	(	SS	O
탄핵	탄핵	NNG	O
)	)	SS	O
_	_	_	O
표결	표결	NNG	O
을	을	JKO	O
_	_	_	O
며칠	며칠	NNG	O
_	_	_	O
미루	미루	VV	O
더라도	더라도	EC	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
거국	거국	NNG	O
내각	내각	NNG	O
부터	부터	JX	O
_	_	_	O
구성해야	구성하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
