## 1
## 전체 증가율을 11.6%포인트 앞질렀다.
## 전체 증가율을 <11.6%:PNT>포인트 앞질렀다.
전체	전체	NNG	O
_	_	_	O
증가율	증가율	NNG	O
을	을	JKO	O
_	_	_	O
11.6	11.6	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	O
_	_	_	O
앞질	앞지르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우리 군 당국 등을 따르면 경기도 파주시 등 북한과 가까운 전방지역 일대에서 북한의 대남 심리전 방송을 FM 라디오 주파수로 송출하고 있는 것으로 확인됐다.
## 우리 군 당국 등을 따르면 <경기도:LOC> <파주시:LOC> 등 <북한:LOC>과 가까운 전방지역 일대에서 <북한:ORG>의 대남 심리전 방송을 FM 라디오 주파수로 송출하고 있는 것으로 확인됐다.
우리	우리	NP	O
_	_	_	O
군	군	NNG	O
_	_	_	O
당국	당국	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
파주시	파주시	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
북한	북한	NNP	B-LOC
과	과	JKB	O
_	_	_	O
가까	가깝	VA	O
운	ㄴ	ETM	O
_	_	_	O
전방	전방	NNG	O
지역	지역	NNG	O
_	_	_	O
일대	일대	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대남	대남	NNG	O
_	_	_	O
심리전	심리전	NNG	O
_	_	_	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
FM	FM	SL	O
_	_	_	O
라디오	라디오	NNG	O
_	_	_	O
주파수	주파수	NNG	O
로	로	JKB	O
_	_	_	O
송출하	송출하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
확인	확인되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## “메르스 확산사태, 성장률 0.1%포인트 낮춰”
## “<메르스:POH> 확산사태, 성장률 <0.1%:PNT>포인트 낮춰”
“	“	SS	O
메르스	메르스	NNG	B-POH
_	_	_	O
확산	확산	NNG	O
사태	사태	NNG	O
,	,	SP	O
_	_	_	O
성장률	성장률	NNG	O
_	_	_	O
0.1	0.1	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	O
_	_	_	O
낮춰	낮추+어	VV+EF	O
”	”	SS	O

## 4
