## 1
## 자연스럽게 이듬해 출전경기수가 90경기로 늘어났다.
## 자연스럽게 이듬해 출전경기수가 <90경기:NOH>로 늘어났다.
자연스럽	자연스럽	VA	O
게	게	EC	O
_	_	_	O
이듬해	이듬해	NNG	O
_	_	_	O
출전	출전	NNG	O
경기	경기	NNG	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
90	90	SN	B-NOH
경기	경기	NNG	I-NOH
로	로	JKB	O
_	_	_	O
늘어났	늘어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 4월 초까지 도쿄돔, 오사카 교세라돔, 도쿄돔 앙코르까지 바쁜 일정이다.
## <4월:DAT> 초까지 <도쿄돔:LOC>, <오사카:LOC> <교세라돔:LOC>, <도쿄돔:LOC> 앙코르까지 바쁜 일정이다.
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
초	초	NNB	O
까지	까지	JX	O
_	_	_	O
도쿄	도쿄	NNP	B-LOC
돔	돔	NNG	I-LOC
,	,	SP	O
_	_	_	O
오사카	오사카	NNP	B-LOC
_	_	_	O
교세라	교세라	NNP	B-LOC
돔	돔	NNG	I-LOC
,	,	SP	O
_	_	_	O
도쿄	도쿄	NNP	B-LOC
돔	돔	NNG	I-LOC
_	_	_	O
앙코르	앙코르	NNP	O
까지	까지	JX	O
_	_	_	O
바쁜	바쁘+ㄴ	VA+ETM	O
_	_	_	O
일정	일정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 당일에만 댓글과 좋아요의 총합수가 1만 건 이상을 기록했다.
## 당일에만 댓글과 좋아요의 총합수가 <1만 건:NOH> 이상을 기록했다.
당일	당일	NNG	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
댓글	댓글	NNG	O
과	과	JC	O
_	_	_	O
좋아요	좋아요	IC	O
의	의	JKG	O
_	_	_	O
총합	총합	NNG	O
수	수	NNB	O
가	가	JKS	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
건	건	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ―일본인들의 반한 감정이 일본 자체 내 문제가 반영된 측면이 있다는 뜻인가요. ▽강=한국의 경제력은 상승해왔는데 일본은 오랜 침체를 거치며 위축이 많이 되었지요.
## ―일본인들의 반한 감정이 <일본:ORG> 자체 내 문제가 반영된 측면이 있다는 뜻인가요. ▽<강:PER>=<한국:ORG>의 경제력은 상승해왔는데 <일본:ORG>은 오랜 침체를 거치며 위축이 많이 되었지요.
―	―	SS	O
일본인	일본인	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반	반	XPN	O
한	한	NNP	O
_	_	_	O
감정	감정	NNG	O
이	이	JKS	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
자체	자체	NNG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
반영된	반영되+ㄴ	VV+ETM	O
_	_	_	O
측면	측면	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
인가	이+ㄴ가	VCP+EC	O
요	요	JX	O
.	.	SF	O
_	_	_	O
▽	▽	SW	O
강	강	NNG	B-PER
=	=	SW	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제력	경제력	NNG	O
은	은	JX	O
_	_	_	O
상승해	상승하+어+오	VV+EC+VX	O
왔	았	EP	O
