## 1
## 중소기업 청년취업인턴제에 참여하고자 하는 기업이나 청년구직자는 경기경영자총협회 홈페이지(www.gyef.or.kr)에서 별도의 회원가입이나 회비납부 등의 절차 없이 신청할 수 있다.
## 중소기업 청년취업인턴제에 참여하고자 하는 기업이나 청년구직자는 <경기경영자총협회:ORG> 홈페이지(<www.gyef.or.kr:POH>)에서 별도의 회원가입이나 회비납부 등의 절차 없이 신청할 수 있다.
중소기업	중소기업	NNG	O
_	_	_	O
청년	청년	NNG	O
취업	취업	NNG	O
인턴	인턴	NNG	O
제	제	XSN	O
에	에	JKB	O
_	_	_	O
참여하	참여하	VV	O
고자	고자	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
기업	기업	NNG	O
이나	이나	JC	O
_	_	_	O
청년	청년	NNG	O
구직자	구직자	NNG	O
는	는	JX	O
_	_	_	O
경기	경기	NNG	B-ORG
경영자	경영자	NNG	I-ORG
총	총	XPN	I-ORG
협회	협회	NNG	I-ORG
_	_	_	O
홈페이지	홈페이지	NNG	O
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
gyef	gyef	SL	I-POH
.	.	SF	I-POH
or	or	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
별도	별도	NNG	O
의	의	JKG	O
_	_	_	O
회원	회원	NNG	O
가입	가입	NNG	O
이나	이나	JC	O
_	_	_	O
회비	회비	NNG	O
납부	납부	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
절차	절차	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
신청할	신청하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 연수 후 올해 의원연수를 주관한 한 교육업체가 참가자들에게 2만원 상당의 멸치를 기념품으로 건넸고, 이를 김영란법 고민 없이 그대로 받은 것이다.
## 연수 후 올해 의원연수를 주관한 한 교육업체가 참가자들에게 <2만원:MNY> 상당의 멸치를 기념품으로 건넸고, 이를 김영란법 고민 없이 그대로 받은 것이다.
연수	연수	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
의원	의원	NNG	O
연수	연수	NNG	O
를	를	JKO	O
_	_	_	O
주관한	주관하+ㄴ	VV+ETM	O
_	_	_	O
한	한	NNG	O
_	_	_	O
교육	교육	NNG	O
업체	업체	NNG	O
가	가	JKS	O
_	_	_	O
참가자	참가자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
2	2	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
상당	상당	NNG	O
의	의	JKG	O
_	_	_	O
멸치	멸치	NNG	O
를	를	JKO	O
_	_	_	O
기념품	기념품	NNG	O
으로	으로	JKB	O
_	_	_	O
건넸	건네+었	VV+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
김영란	김영란	NNP	O
법	법	NNG	O
_	_	_	O
고민	고민	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 이경근 고령군의회 의사과장은 "연수 프로그램 중 염전 체험 같은 별도의 체험 프로그램이 있는데, 이게 올해는 열리지 않았다.
