## 1
## 당시 일본의 치열한 입시 경쟁과 집단 따돌림 등으로 도시 학교의 삭막한 환경에 지쳤던 학생들이 대거 몰려들며 산촌유학이 붐을 이뤘다.
## 당시 <일본:ORG>의 치열한 입시 경쟁과 집단 따돌림 등으로 도시 학교의 삭막한 환경에 지쳤던 학생들이 대거 몰려들며 산촌유학이 붐을 이뤘다.
당시	당시	NNG	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
입시	입시	NNG	O
_	_	_	O
경쟁	경쟁	NNG	O
과	과	JC	O
_	_	_	O
집단	집단	NNG	O
_	_	_	O
따돌림	따돌림	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
학교	학교	NNG	O
의	의	JKG	O
_	_	_	O
삭막한	삭막하+ㄴ	VA+ETM	O
_	_	_	O
환경	환경	NNG	O
에	에	JKB	O
_	_	_	O
지	지치	VV	O
쳤	었	EP	O
던	던	ETM	O
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
대거	대거	MAG	O
_	_	_	O
몰려들	몰려들	VV	O
며	며	EC	O
_	_	_	O
산촌	산촌	NNG	O
유학	유학	NNG	O
이	이	JKS	O
_	_	_	O
붐	붐	NNG	O
을	을	JKO	O
_	_	_	O
이	이루	VV	O
뤘	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 60일간 총성 없는 전쟁에 나선 여야 키플레이어 10인의 고민과 향후 전망을 살펴봤다.
## <60일간:DUR> 총성 없는 전쟁에 나선 여야 키플레이어 <10인:NOH>의 고민과 향후 전망을 살펴봤다.
60	60	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
총성	총성	NNG	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
전쟁	전쟁	NNG	O
에	에	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
여야	여야	NNG	O
_	_	_	O
키	키	NNG	O
플레이어	플레이어	NNG	O
_	_	_	O
10	10	SN	B-NOH
인	인	NNG	I-NOH
의	의	JKG	O
_	_	_	O
고민	고민	NNG	O
과	과	JC	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
전망	전망	NNG	O
을	을	JKO	O
_	_	_	O
살펴	살펴보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 여야는 영남에서 지역구 1석을 더 줄일지를 놓고 수개월간 논쟁을 벌였다.
## 여야는 <영남:LOC>에서 지역구 <1석:NOH>을 더 줄일지를 놓고 수개월간 논쟁을 벌였다.
여야	여야	NNG	O
는	는	JX	O
_	_	_	O
영남	영남	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
지역구	지역구	NNG	O
_	_	_	O
1	1	SN	B-NOH
석	석	NNB	I-NOH
을	을	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
줄일지	줄이+ㄹ지	VV+EC	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
수개월	수개월	NNG	O
간	간	XSN	O
_	_	_	O
논쟁	논쟁	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
