## 1
## 이날 ‘학교’에서 심형탁은 첫 일본행을 앞두고 휴대전화를 이용해 애니메이션 상품 구입처를 미리 확인하는 등 들뜬 모습을 지었다.
## 이날 ‘<학교:POH>’에서 <심형탁:PER>은 첫 일본행을 앞두고 휴대전화를 이용해 애니메이션 상품 구입처를 미리 확인하는 등 들뜬 모습을 지었다.
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
학교	학교	NNG	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
심형탁	심형탁	NNG	B-PER
은	은	JX	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
일본	일본	NNP	O
행	행	XSN	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
애니메이션	애니메이션	NNG	O
_	_	_	O
상품	상품	NNG	O
_	_	_	O
구입	구입	NNG	O
처	처	XSN	O
를	를	JKO	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
확인하	확인하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
들뜬	들뜨+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
지	짓	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 정준하는 “드디어 네가 ‘도라에몽’의 고향으로 가는구나”고 말했다.
## 이에 정준하는 “드디어 네가 ‘<도라에몽:POH>’의 고향으로 가는구나”고 말했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
정준하	정준하	NNP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
드디어	드디어	MAG	O
_	_	_	O
네	네	NP	O
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
도라에몽	도라에몽	NNP	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
고향	고향	NNG	O
으로	으로	JKB	O
_	_	_	O
가	가	VV	O
는구나	는구나	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이중 머리카락 굵기 30분의 1 크기인 초미세먼지는 모공 속에 그대로 쌓여 피부질환은 물론 노화의 원인이 된다.
## 이중 머리카락 굵기 <30분의 1:PNT> 크기인 초미세먼지는 모공 속에 그대로 쌓여 피부질환은 물론 노화의 원인이 된다.
이	이	MM	O
중	중	NNB	O
_	_	_	O
머리카락	머리카락	NNG	O
_	_	_	O
굵기	굵기	NNG	O
_	_	_	O
30	30	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
_	_	_	O
크기	크기	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
초	초	XPN	O
미세	미세	NNG	O
먼지	먼지	NNG	O
는	는	JX	O
_	_	_	O
모공	모공	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
쌓	쌓이	VV	O
여	어	EC	O
_	_	_	O
피부	피부	NNG	O
질환	질환	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
노화	노화	NNG	O
의	의	JKG	O
_	_	_	O
원인	원인	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 뉴욕타임스는 정부 관계자의 말을 인용해 “미국 정부가 추가 테러에 대비해 IS 연루 의심자 40여 명을 전자장비 등을 이용해 정밀 감시하고 있다”고 보도했다.
## <뉴욕타임스:ORG>는 정부 관계자의 말을 인용해 “<미국 정부:ORG>가 추가 테러에 대비해 <IS:ORG> 연루 의심자 <40여 명:NOH>을 전자장비 등을 이용해 정밀 감시하고 있다”고 보도했다.
뉴욕타임스	뉴욕타임스	NNP	B-ORG
는	는	JX	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
관계자	관계자	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
“	“	SS	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
테러	테러	NNG	O
에	에	JKB	O
_	_	_	O
대비해	대비하+여	VV+EC	O
_	_	_	O
IS	IS	SL	B-ORG
_	_	_	O
연루	연루	NNG	O
_	_	_	O
의심	의심	NNG	O
자	자	XSN	O
_	_	_	O
40	40	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
전자	전자	NNG	O
장비	장비	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
정밀	정밀	NNG	O
_	_	_	O
감시하	감시하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 여성가족부는 26일 ‘2016년 가정폭력 실태조사’를 통해 만 18세 미만의 미성년 자녀를 둔 응답자 가운데 27.6%가 ‘지난 1년간 자녀를 학대한 경험이 있다’고 답했다고 밝혔다.
## <여성가족부:ORG>는 <26일:DAT> ‘<2016년:DAT> 가정폭력 실태조사’를 통해 <만 18세:NOH> 미만의 미성년 자녀를 둔 응답자 가운데 <27.6%:PNT>가 ‘지난 <1년간:DUR> 자녀를 학대한 경험이 있다’고 답했다고 밝혔다.
여성	여성	NNG	B-ORG
가족	가족	NNG	I-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
가정	가정	NNG	O
폭력	폭력	NNG	O
_	_	_	O
실태	실태	NNG	O
조사	조사	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
만	만	MM	B-NOH
_	_	_	I-NOH
18	18	SN	I-NOH
세	세	NNB	I-NOH
_	_	_	O
미만	미만	NNG	O
의	의	JKG	O
_	_	_	O
미성년	미성년	NNG	O
_	_	_	O
자녀	자녀	NNG	O
를	를	JKO	O
_	_	_	O
둔	두+ㄴ	VV+ETM	O
_	_	_	O
응답자	응답자	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
27.6	27.6	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
자녀	자녀	NNG	O
를	를	JKO	O
_	_	_	O
학대한	학대하+ㄴ	VV+ETM	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 북한은 킬체인의 공격을 피하기 위해 갱도 등에 미사일을 숨겨 놓았다가 25분 안에 발사가 가능하도록 만들고 있는 것으로 알려졌다.
## <북한:ORG>은 <킬체인:POH>의 공격을 피하기 위해 갱도 등에 미사일을 숨겨 놓았다가 <25분:NOH> 안에 발사가 가능하도록 만들고 있는 것으로 알려졌다.
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
킬	킬	NNG	B-POH
체인	체인	NNG	I-POH
의	의	JKG	O
_	_	_	O
공격	공격	NNG	O
을	을	JKO	O
_	_	_	O
피하	피하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
갱도	갱도	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
숨겨	숨기+어	VV+EC	O
_	_	_	O
놓	놓	VX	O
았	았	EP	O
다가	다가	EC	O
_	_	_	O
25	25	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
발사	발사	NNG	O
가	가	JKS	O
_	_	_	O
가능하	가능하	VA	O
도록	도록	EC	O
_	_	_	O
만들	만들	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 시즌 개막 3연전에서 두산에 1승2패로 밀린 한화는 2승2패로 5할 승률을 맞췄다.
## 시즌 개막 <3연전:NOH>에서 <두산:ORG>에 <1승:NOH><2패:NOH>로 밀린 <한화:ORG>는 <2승:NOH><2패:NOH>로 <5할:PNT> 승률을 맞췄다.
시즌	시즌	NNG	O
_	_	_	O
개막	개막	NNG	O
_	_	_	O
3	3	SN	B-NOH
연전	연전	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
두산	두산	NNP	B-ORG
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
승	승	NNB	I-NOH
2	2	SN	B-NOH
패	패	NNG	I-NOH
로	로	JKB	O
_	_	_	O
밀린	밀리+ㄴ	VV+ETM	O
_	_	_	O
한화	한화	NNP	B-ORG
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
승	승	NNB	I-NOH
2	2	SN	B-NOH
패	패	NNB	I-NOH
로	로	JKB	O
_	_	_	O
5	5	SN	B-PNT
할	할	NNB	I-PNT
_	_	_	O
승률	승률	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞추	VV	O
췄	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ―‘꽃잎이 떨어져도 꽃은 지지 않네’(법정, 최인호·여백·2015년) 》며칠 전 한 주말 예능 프로그램은 ‘바보’라는 주제로 프로그램을 꾸몄다.
## ―‘<꽃잎이 떨어져도 꽃은 지지 않네:POH>’(<법정:PER>, <최인호:PER>·<여백:POH>·<2015년:DAT>) 》며칠 전 한 주말 예능 프로그램은 ‘바보’라는 주제로 프로그램을 꾸몄다.
―	―	SS	O
‘	‘	SS	O
꽃잎	꽃잎	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
떨어져도	떨어지+어도	VV+EC	I-POH
_	_	_	I-POH
꽃	꽃	NNG	I-POH
은	은	JX	I-POH
_	_	_	I-POH
지	지	VV	I-POH
지	지	EC	I-POH
_	_	_	I-POH
않	않	VX	I-POH
네	네	EF	I-POH
’	’	SS	O
(	(	SS	O
법정	법정	NNG	B-PER
,	,	SP	O
_	_	_	O
최인호	최인호	NNP	B-PER
·	·	SP	O
여백	여백	NNG	B-POH
·	·	SP	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
_	_	_	O
》	》	SS	O
며칠	며칠	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
주말	주말	NNG	O
_	_	_	O
예능	예능	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
바보	바보	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
주제	주제	NNG	O
로	로	JKB	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
꾸	꾸미	VV	O
몄	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 컴퓨터는 그 점들을 연결해 팔을 위에서 아래로 내리는 동작을 만들어내죠. 추 팀장은 “애니메이팅은 배우의 행동과 표정을 일일이 지정해 주는 것과 같다”며 “사람·동물이 어떻게 움직이는지 관찰한 뒤 컴퓨터 프로그램을 이용해 재현하는 실력이 중요하다”고 설명했습니다.
## 컴퓨터는 그 점들을 연결해 팔을 위에서 아래로 내리는 동작을 만들어내죠. <추:PER> 팀장은 “애니메이팅은 배우의 행동과 표정을 일일이 지정해 주는 것과 같다”며 “사람·동물이 어떻게 움직이는지 관찰한 뒤 컴퓨터 프로그램을 이용해 재현하는 실력이 중요하다”고 설명했습니다.
컴퓨터	컴퓨터	NNG	O
는	는	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
점	점	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
연결해	연결하+여	VV+EC	O
_	_	_	O
팔	팔	NNG	O
을	을	JKO	O
_	_	_	O
위	위	NNG	O
에서	에서	JKB	O
_	_	_	O
아래	아래	NNG	O
로	로	JKB	O
_	_	_	O
내리	내리	VV	O
는	는	ETM	O
_	_	_	O
동작	동작	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
내	내	VX	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
추	추	NNP	B-PER
_	_	_	O
팀장	팀장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
애니	애니	NNP	O
메이	메이	NNP	O
팅	팅	NNG	O
은	은	JX	O
_	_	_	O
배우	배우	NNG	O
의	의	JKG	O
_	_	_	O
행동	행동	NNG	O
과	과	JC	O
_	_	_	O
표정	표정	NNG	O
을	을	JKO	O
_	_	_	O
일일이	일일이	MAG	O
_	_	_	O
지정해	지정하+여	VV+EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
사람	사람	NNG	O
·	·	SP	O
동물	동물	NNG	O
이	이	JKS	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
움직이	움직이	VV	O
는지	는지	EC	O
_	_	_	O
관찰한	관찰하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
컴퓨터	컴퓨터	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
재현하	재현하	VV	O
는	는	ETM	O
_	_	_	O
실력	실력	NNG	O
이	이	JKS	O
_	_	_	O
중요하	중요하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 10
## 미메시스 외에 최근 아이와 함께 갈 수 있는 북카페를 여는 출판사가 늘고 있다.
## <미메시스:POH> 외에 최근 아이와 함께 갈 수 있는 북카페를 여는 출판사가 늘고 있다.
미메시스	미메시스	NNP	B-POH
_	_	_	O
외	외	NNB	O
에	에	JKB	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
아이	아이	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
북	북	NNG	O
카페	카페	NNG	O
를	를	JKO	O
_	_	_	O
여	열	VV	O
는	는	ETM	O
_	_	_	O
출판사	출판사	NNG	O
가	가	JKS	O
_	_	_	O
늘	늘	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 남편 이재룡(51)도 출연해 행복한 일상에 얽힌 이야기를 전한다.
## 남편 <이재룡:PER>(<51:NOH>)도 출연해 행복한 일상에 얽힌 이야기를 전한다.
남편	남편	NNG	O
_	_	_	O
이재룡	이재룡	NNP	B-PER
(	(	SS	O
51	51	SN	B-NOH
)	)	SS	O
도	도	JX	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
행복한	행복하+ㄴ	VA+ETM	O
_	_	_	O
일상	일상	NNG	O
에	에	JKB	O
_	_	_	O
얽힌	얽히+ㄴ	VV+ETM	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
전한다	전하+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## “이야기 하나 해줄까? 누군가 큰 소리로 웃거든 유심히 봐야 한다.
## “이야기 <하나:NOH> 해줄까? 누군가 큰 소리로 웃거든 유심히 봐야 한다.
“	“	SS	O
이야기	이야기	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
해	하+여	VV+EC	O
줄까	주+ㄹ까	VX+EF	O
?	?	SF	O
_	_	_	O
누군가	누구+이+ㄴ가	NP+VCP+EC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
소리	소리	NNG	O
로	로	JKB	O
_	_	_	O
웃	웃	VV	O
거든	거든	EC	O
_	_	_	O
유심히	유심히	MAG	O
_	_	_	O
봐야	보+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 13
## 이 전 총리를 비롯해 김현종(현 한국외국어대 교수) 전 유엔대사 등 정·관계, 안대희 전 대법관·이공현 전 헌법재판관 등 법조계, 정창영(전 연세대 총장) 삼성언론재단 이사장 등 학계 인사가 참여했다.
## <이:PER> 전 총리를 비롯해 <김현종:PER>(현 <한국외국어대:ORG> 교수) 전 유엔대사 등 정·관계, <안대희:PER> 전 대법관·<이공현:PER> 전 헌법재판관 등 법조계, <정창영:PER>(전 <연세대:ORG> 총장) <삼성언론재단:ORG> 이사장 등 학계 인사가 참여했다.
이	이	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
총리	총리	NNG	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
김현종	김현종	NNP	B-PER
(	(	SS	O
현	현	MM	O
_	_	_	O
