## 1
## C교사가 여학생을 성추행한 것으로 알려진 과학실은 그 안에 별도의 방이 있다.
## <C:PER>교사가 여학생을 성추행한 것으로 알려진 과학실은 그 안에 별도의 방이 있다.
C	C	SL	B-PER
교사	교사	NNG	O
가	가	JKS	O
_	_	_	O
여학생	여학생	NNG	O
을	을	JKO	O
_	_	_	O
성추행한	성추행하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
과학	과학	NNG	O
실	실	XSN	O
은	은	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
별도	별도	NNG	O
의	의	JKG	O
_	_	_	O
방	방	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 또 소방관 11년 차라는 한 청중의 사연을 듣고, 그의 아버지까지 두 사람을 무대로 초대해 즉흥곡을 함께 연주한다.
## 또 소방관 <11년 차:NOH>라는 <한:NOH> 청중의 사연을 듣고, 그의 아버지까지 <두 사람:NOH>을 무대로 초대해 즉흥곡을 함께 연주한다.
또	또	MAG	O
_	_	_	O
소방관	소방관	NNG	O
_	_	_	O
11	11	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
차	차+이	NNG+VCP	I-NOH
라는	라는	ETM	O
_	_	_	O
한	한	NNP	B-NOH
_	_	_	O
청중	청중	NNG	O
의	의	JKG	O
_	_	_	O
사연	사연	NNG	O
을	을	JKO	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
아버지	아버지	NNG	O
까지	까지	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
을	을	JKO	O
_	_	_	O
무대	무대	NNG	O
로	로	JKB	O
_	_	_	O
초대해	초대하+여	VV+EC	O
_	_	_	O
즉흥곡	즉흥곡	NNG	O
을	을	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
연주한다	연주하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 그러나 학생 수가 급감하면서 폐교됐고, 2005년 완도군이 1억여 원에 매입해 고금요양원으로 변모시켰다.
