## 1
## 노래는 목포를 넘어 전국을 강타했다.
## 노래는 <목포:LOC>를 넘어 전국을 강타했다.
노래	노래	NNG	O
는	는	JX	O
_	_	_	O
목포	목포	NNP	B-LOC
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
전국	전국	NNG	O
을	을	JKO	O
_	_	_	O
강타	강타하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 식목일 전날인 4일 서울의 낮 기온은 초여름 수준인 20도까지 올랐다.
## <식목일:DAT> 전날인 <4일:DAT> <서울:LOC>의 낮 기온은 초여름 수준인 <20도:NOH>까지 올랐다.
식목일	식목일	NNP	B-DAT
_	_	_	O
전날	전날	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
낮	낮	NNG	O
_	_	_	O
기온	기온	NNG	O
은	은	JX	O
_	_	_	O
초여름	초여름	NNG	O
_	_	_	O
수준	수준	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
20	20	SN	B-NOH
도	도	NNB	I-NOH
까지	까지	JX	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 주부 야마시타 교코(山下享子·59)는 “두 손자를 전쟁에 휘말리게 할 수 없다”며 법안 폐기를 촉구했다.
## 주부 <야마시타 교코:PER>(<山下享子:PER>·<59:NOH>)는 “두 손자를 전쟁에 휘말리게 할 수 없다”며 법안 폐기를 촉구했다.
주부	주부	NNG	O
_	_	_	O
야마시타	야마시타	NNP	B-PER
_	_	_	I-PER
교코	교코	NNP	I-PER
(	(	SS	O
山下享子	山下享子	SH	B-PER
·	·	SP	O
59	59	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
“	“	SS	O
두	두	MM	O
_	_	_	O
손자	손자	NNG	O
를	를	JKO	O
_	_	_	O
전쟁	전쟁	NNG	O
에	에	JKB	O
_	_	_	O
휘말리	휘말리	VV	O
게	게	EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
법안	법안	NNG	O
_	_	_	O
폐기	폐기	NNG	O
를	를	JKO	O
_	_	_	O
촉구	촉구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 안원경 스타일러스 한국지사 대표는 웨어러블 기기와 패션의 결합에 대해 발표할 계획이다.
## <안원경:PER> <스타일러스 한국지사:ORG> 대표는 웨어러블 기기와 패션의 결합에 대해 발표할 계획이다.
안원경	안원경	NNP	B-PER
_	_	_	O
스타일러스	스타일러스	NNP	B-ORG
_	_	_	I-ORG
한국	한국	NNP	I-ORG
지사	지사	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
웨어러블	웨어러블	NNG	O
_	_	_	O
기기	기기	NNG	O
와	와	JC	O
_	_	_	O
패션	패션	NNG	O
의	의	JKG	O
_	_	_	O
결합	결합	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
발표할	발표하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
