## 1
## 실제 5일 청문회에 참석한 이선우 청와대 의무실장은 국조위원들의 질의에 “의료법상 환자 정보는 공개할 수 없다”고 반박한 바 있다.
## 실제 <5일:DAT> 청문회에 참석한 <이선우:PER> <청와대:ORG> 의무실장은 국조위원들의 질의에 “의료법상 환자 정보는 공개할 수 없다”고 반박한 바 있다.
실제	실제	NNG	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
청문회	청문회	NNG	O
에	에	JKB	O
_	_	_	O
참석한	참석하+ㄴ	VV+ETM	O
_	_	_	O
이선우	이선우	NNP	B-PER
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
의무	의무	NNG	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
국조	국조	NNG	O
위원	위원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
질의	질의	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
의료	의료	NNG	O
법	법	NNG	O
상	상	XSN	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
정보	정보	NNG	O
는	는	JX	O
_	_	_	O
공개할	공개하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
반박한	반박하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 환경부 관계자는 “연말 프랑스 파리에서 열리는 기후변화협약 총회를 앞두고 미국과 EU, 스위스가 탄소 배출 감축 계획을 제출했다.
## <환경부:ORG> 관계자는 “연말 <프랑스 파리:LOC>에서 열리는 <기후변화협약 총회:POH>를 앞두고 <미국:ORG>과 <EU:ORG>, <스위스:ORG>가 탄소 배출 감축 계획을 제출했다.
환경부	환경부	NNG	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
연말	연말	NNG	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	I-LOC
파리	파리	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
기후변화	기후변화	NNG	B-POH
협약	협약	NNG	I-POH
_	_	_	I-POH
총회	총회	NNG	I-POH
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
EU	EU	SL	B-ORG
,	,	SP	O
_	_	_	O
스위스	스위스	NNP	B-ORG
가	가	JKS	O
_	_	_	O
탄소	탄소	NNG	O
_	_	_	O
배출	배출	NNG	O
_	_	_	O
감축	감축	NNG	O
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
제출	제출하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또 20여 년 방송활동을 하며 범죄 심리를 비롯해 일상생활 심리까지 꿰뚫어온 사회심리학 전문가 최창호 박사는 결심과 포기를 반복하는 인간의 ‘결심 중독’을 지적하며 힐링의 시대를 넘어 리빙(ReBeing)의 시대를 열어갈 수 있는 마음가짐을 소개했다.
## 또 <20여 년:DUR> 방송활동을 하며 범죄 심리를 비롯해 일상생활 심리까지 꿰뚫어온 사회심리학 전문가 <최창호:PER> 박사는 결심과 포기를 반복하는 인간의 ‘결심 중독’을 지적하며 힐링의 시대를 넘어 리빙(ReBeing)의 시대를 열어갈 수 있는 마음가짐을 소개했다.
또	또	MAG	O
_	_	_	O
20	20	SN	B-DUR
여	여	XSN	I-DUR
_	_	_	I-DUR
년	년	NNB	I-DUR
_	_	_	O
방송	방송	NNG	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
며	며	EC	O
_	_	_	O
범죄	범죄	NNG	O
_	_	_	O
심리	심리	NNG	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
일상생활	일상생활	NNG	O
_	_	_	O
심리	심리	NNG	O
까지	까지	JX	O
_	_	_	O
꿰뚫	꿰뚫	VV	O
어	어	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
사회	사회	NNG	O
심리학	심리학	NNG	O
_	_	_	O
전문가	전문가	NNG	O
_	_	_	O
최창호	최창호	NNP	B-PER
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
결심	결심	NNG	O
과	과	JC	O
_	_	_	O
포기	포기	NNG	O
를	를	JKO	O
_	_	_	O
반복하	반복하	VV	O
는	는	ETM	O
_	_	_	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
결심	결심	NNG	O
_	_	_	O
중독	중독	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
지적하	지적하	VV	O
며	며	EC	O
_	_	_	O
힐링	힐링	NNG	O
의	의	JKG	O
_	_	_	O
시대	시대	NNG	O
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
리빙	리빙	NNG	O
(	(	SS	O
ReBeing	ReBeing	SL	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
시대	시대	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
갈	가+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
마음가짐	마음가짐	NNG	O
을	을	JKO	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이듬해 베르디 국제음악콩쿠르에서 1위에 오르며 국제적인 명성을 얻었다.
## 이듬해 베<르디 국제음악콩쿠르:POH>에서 <1위:NOH>에 오르며 국제적인 명성을 얻었다.
이듬해	이듬해	NNG	O
_	_	_	O
베르디	베르디	NNP	B-POH
_	_	_	I-POH
국제	국제	NNG	I-POH
음악	음악	NNG	I-POH
콩쿠르	콩쿠르	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
오르	오르	VV	O
며	며	EC	O
_	_	_	O
국제적	국제적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
명성	명성	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 홍콩의 한 IB관계자는 “오너리스크가 더욱 부각돼 사업에까지 영향을 미친다면 한국의 재벌 구조를 안 좋게 바라보는 해외 투자자들 입장에선 (상장에 대한) 부정적인 시각이 커질 수 밖에 없다”고 말했다.
## <홍콩:ORG>의 한 <IB:ORG>관계자는 “오너리스크가 더욱 부각돼 사업에까지 영향을 미친다면 <한국:LOC>의 재벌 구조를 안 좋게 바라보는 해외 투자자들 입장에선 (상장에 대한) 부정적인 시각이 커질 수 밖에 없다”고 말했다.
홍콩	홍콩	NNP	B-ORG
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
IB	IB	SL	B-ORG
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
오너	오너	NNG	O
리스크	리스크	NNG	O
가	가	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
부각돼	부각되+어	VV+EC	O
_	_	_	O
사업	사업	NNG	O
에	에	JKB	O
까지	까지	JX	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
미친다면	미치+ㄴ다면	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
재벌	재벌	NNG	O
_	_	_	O
구조	구조	NNG	O
를	를	JKO	O
_	_	_	O
안	안	MAG	O
_	_	_	O
좋	좋	VA	O
게	게	EC	O
_	_	_	O
바라보	바라보	VV	O
는	는	ETM	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
투자자	투자자	NNG	O
들	들	XSN	O
_	_	_	O
입장	입장	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
(	(	SS	O
상장	상장	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
)	)	SS	O
_	_	_	O
부정적	부정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
시각	시각	NNG	O
이	이	JKS	O
_	_	_	O
커질	커지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이에 대해 롯데 관계자는 “호텔롯데 상장은 그룹 차원의 핵심 과제이자 성장 전략으로, 일정이 늦춰지긴 했으나 계획대로 진행될 것”이라고 밝혔다.
## 이에 대해 <롯데:ORG> 관계자는 “<호텔롯데:ORG> 상장은 그룹 차원의 핵심 과제이자 성장 전략으로, 일정이 늦춰지긴 했으나 계획대로 진행될 것”이라고 밝혔다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
롯데	롯데	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
호텔롯데	호텔롯데	NNP	B-ORG
_	_	_	O
상장	상장	NNG	O
은	은	JX	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
차원	차원	NNG	O
의	의	JKG	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
과제	과제	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
성장	성장	NNG	O
_	_	_	O
전략	전략	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
일정	일정	NNG	O
이	이	JKS	O
_	_	_	O
늦춰지	늦춰지	VV	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
했	+였	+EP	O
으나	으나	EC	O
_	_	_	O
계획	계획	NNG	O
대로	대로	JX	O
_	_	_	O
진행될	진행되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 화선지에 조선 풍속화도 그렸고 ‘지장보살도’ 같은 불교 그림에도 손을 댔다.
## 화선지에 <조선:ORG> 풍속화도 그렸고 ‘<지장보살도:POH>’ 같은 <불교:ORG> 그림에도 손을 댔다.
화선지	화선지	NNG	O
에	에	JKB	O
_	_	_	O
조선	조선	NNP	B-ORG
_	_	_	O
풍속화	풍속화	NNG	O
도	도	JX	O
_	_	_	O
그	그리	VV	O
렸	었	EP	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
지장보살	지장보살	NNG	B-POH
도	도	XSN	I-POH
’	’	SS	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
불교	불교	NNG	B-ORG
_	_	_	O
그림	그림	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
댔	대+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 유네스코 세계기록유산 ‘동의보감’, 보물에서 국보로 승격 지정문화재청은 국가지정문화재 보물이자 유네스코 세계기록유산인 ‘동의보감’ 3건을 국가지정문화재 국보 제 319-1호, 제319-2호, 제319-3호로 승격 지정했다.
## <유네스코:ORG> 세계기록유산 ‘<동의보감:POH>’, 보물에서 국보로 승격 <지정문화재청:ORG>은 국가지정문화재 보물이자 <유네스코:ORG> 세계기록유산인 ‘<동의보감:POH>’ <3건:NOH>을 국가지정문화재 국보 <제 319-1호:NOH>, <제319-2호:NOH>, <제319-3호:NOH>로 승격 지정했다.
유네스코	유네스코	NNG	B-ORG
_	_	_	O
세계	세계	NNG	O
기록	기록	NNG	O
유산	유산	NNG	O
_	_	_	O
‘	‘	SS	O
동의보감	동의보감	NNP	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
보물	보물	NNG	O
에서	에서	JKB	O
_	_	_	O
국보	국보	NNG	O
로	로	JKB	O
_	_	_	O
승격	승격	NNG	O
_	_	_	O
지정	지정	NNG	B-ORG
문화재	문화재	NNG	I-ORG
청	청	XSN	I-ORG
은	은	JX	O
_	_	_	O
국가	국가	NNG	O
지정	지정	NNG	O
문화재	문화재	NNG	O
_	_	_	O
보물	보물	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
유네스코	유네스코	NNG	B-ORG
_	_	_	O
세계	세계	NNG	O
기록	기록	NNG	O
유산	유산	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
동의보감	동의보감	NNP	B-POH
’	’	SS	O
_	_	_	O
3	3	SN	B-NOH
건	건	NNB	I-NOH
을	을	JKO	O
_	_	_	O
국가	국가	NNG	O
지정	지정	NNG	O
문화재	문화재	NNG	O
_	_	_	O
국보	국보	NNG	O
_	_	_	O
제	제	XPN	B-NOH
_	_	_	I-NOH
319	319	SN	I-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
호	호	NNB	I-NOH
,	,	SP	O
_	_	_	O
제	제	XPN	B-NOH
319	319	SN	I-NOH
-	-	SO	I-NOH
2	2	SN	I-NOH
호	호	NNB	I-NOH
,	,	SP	O
_	_	_	O
제	제	XPN	B-NOH
319	319	SN	I-NOH
-	-	SO	I-NOH
3	3	SN	I-NOH
호	호	NNB	I-NOH
로	로	JKB	O
_	_	_	O
승격	승격	NNG	O
_	_	_	O
지정	지정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 문화재청(청장 나선화)은 “이번에 보물에서 국보로 승격 지정된 동의보감 3건은 1613년 최초로 간행된 내의원 목판본으로, 전해지는 사례가 드물어 우리나라 의학사와 서지학적으로 매우 중요한 자료”라고 밝혔다.
