## 1
## 레이스 운영 경험이 쌓이면 조만간 2시간 10분대 진입을 노려볼 수 있다”고 전망했다.
## 레이스 운영 경험이 쌓이면 조만간 <2시간 10분대:NOH> 진입을 노려볼 수 있다”고 전망했다.
레이스	레이스	NNG	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
쌓이	쌓이	VV	O
면	면	EC	O
_	_	_	O
조만간	조만간	MAG	O
_	_	_	O
2	2	SN	B-NOH
시간	시간	NNB	I-NOH
_	_	_	I-NOH
10	10	SN	I-NOH
분	분	NNB	I-NOH
대	대	XSN	I-NOH
_	_	_	O
진입	진입	NNG	O
을	을	JKO	O
_	_	_	O
노려볼	노려보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전망	전망하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 정부의 이번 조치로 북한이 IAEA의 추가 핵사찰 요구를 수용할 경우 3단계 북­미회담이 개최될 가능성은 높아졌으며, 이에따라 향후 남북대화와 북­미 회담간의 수위조정 여부가 주목된다.
## 정부의 이번 조치로 <북한:ORG>이 <IAEA:ORG>의 추가 핵사찰 요구를 수용할 경우 <3단계:NOH> <북­미:ORG>회담이 개최될 가능성은 높아졌으며, 이에따라 향후 <남북:ORG>대화와 <북­미:ORG> 회담간의 수위조정 여부가 주목된다.
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
조치	조치	NNG	O
로	로	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
IAEA	IAEA	SL	B-ORG
의	의	JKG	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
핵	핵	NNG	O
사찰	사찰	NNG	O
_	_	_	O
요구	요구	NNG	O
를	를	JKO	O
_	_	_	O
수용할	수용하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
3	3	SN	B-NOH
단계	단계	NNG	I-NOH
_	_	_	O
북	북	NNP	B-ORG
­	­	SS	I-ORG
미	미	NNP	I-ORG
회담	회담	NNG	O
이	이	JKS	O
_	_	_	O
개최될	개최되+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
은	은	JX	O
_	_	_	O
높아	높아지	VV	O
졌	었	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
남북	남북	NNP	B-ORG
대화	대화	NNG	O
와	와	JC	O
_	_	_	O
북	북	NNP	B-ORG
­	­	SS	I-ORG
미	미	NNP	I-ORG
_	_	_	O
회담	회담	NNG	O
간	간	NNB	O
의	의	JKG	O
_	_	_	O
수위	수위	NNG	O
조정	조정	NNG	O
_	_	_	O
여부	여부	NNG	O
가	가	JKS	O
_	_	_	O
주목된다	주목되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 제 술 한잔 받으십시오.” 이 말에 가믄장아기의 부모는 깜짝 놀라 눈을 떴다.
## 제 술 <한잔:PNT> 받으십시오.” 이 말에 <가믄장아기:PER>의 부모는 깜짝 놀라 눈을 떴다.
제	제	XPN	O
_	_	_	O
술	술	NNG	O
_	_	_	O
한잔	한잔	NNG	B-PNT
_	_	_	O
받	받	VV	O
으십시오	으시+ㅂ시오	EP+EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
이	이	MM	O
_	_	_	O
말	말	NNG	O
에	에	JKB	O
_	_	_	O
가믄장아기	가믄장아기	NNP	B-PER
의	의	JKG	O
_	_	_	O
부모	부모	NNG	O
는	는	JX	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀라	놀라+아	VV+EC	O
_	_	_	O
눈	눈	NNG	O
을	을	JKO	O
_	_	_	O
떴	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 친 전교조 성향 교육감이 있는 광주 전북 세종 강원교육청 등 4곳이 공동으로 대안교과서를 개발 중인 가운데 서울은 여기서 빠진 만큼 정부와 대립각을 세우는 게 아니라고 강조한 것. 그러나 시교육청 해명과 달리 이번 발표는 국정 역사교과서에 대한 대응책으로 해석된다는 게 교육계의 중론이다.
## 친 <전교조:ORG> 성향 교육감이 있는 <광주 전북 세종 강원교육청:ORG> 등 <4곳:NOH>이 공동으로 대안교과서를 개발 중인 가운데 <서울:ORG>은 여기서 빠진 만큼 정부와 대립각을 세우는 게 아니라고 강조한 것. 그러나 <시교육청:ORG> 해명과 달리 이번 발표는 국정 역사교과서에 대한 대응책으로 해석된다는 게 교육계의 중론이다.
친	친	XPN	O
_	_	_	O
전교조	전교조	NNP	B-ORG
_	_	_	O
성향	성향	NNG	O
_	_	_	O
교육감	교육감	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
광주	광주	NNP	B-ORG
_	_	_	I-ORG
전북	전북	NNP	I-ORG
_	_	_	I-ORG
세종	세종	NNP	I-ORG
_	_	_	I-ORG
강원	강원	NNP	I-ORG
교육	교육	NNG	I-ORG
청	청	NNG	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
곳	곳	NNG	I-NOH
이	이	JKS	O
_	_	_	O
공동	공동	NNG	O
으로	으로	JKB	O
_	_	_	O
대안	대안	NNG	O
교과서	교과서	NNG	O
를	를	JKO	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
중	중	NNB	O
