## 1
## 괴한 중 1명이 주로 외국인 사업가와 리비아 고위 관리들이 머무는 24층에 올라가 자폭한 것으로 알려졌다”며 “총격전이 약 4시간 동안 진행됐다”고 말했다.
## 괴한 중 <1명:NOH>이 주로 외국인 사업가와 <리비아:ORG> 고위 관리들이 머무는 <24층:NOH>에 올라가 자폭한 것으로 알려졌다”며 “총격전이 약 <4시간:DUR> 동안 진행됐다”고 말했다.
괴한	괴한	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
1	1	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
사업가	사업가	NNG	O
와	와	JC	O
_	_	_	O
리비아	리비아	NNP	B-ORG
_	_	_	O
고위	고위	NNG	O
_	_	_	O
관리	관리	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
머무	머물	VV	O
는	는	ETM	O
_	_	_	O
24	24	SN	B-NOH
층	층	NNG	I-NOH
에	에	JKB	O
_	_	_	O
올라가	올라가+아	VV+EC	O
_	_	_	O
자폭한	자폭하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
총격전	총격전	NNG	O
이	이	JKS	O
_	_	_	O
약	약	MM	O
_	_	_	O
4	4	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
진행	진행되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서 교수는 사건 현장에 대해 “리비아에서 가장 고급 호텔”이라며 “현재 리비아가 혼란 상태라 리비아 정부에서 외국인과 (외국인)사업가, 외교관들을 의도적으로 제일 좋은 호텔에 모아놓고 경비를 했음에도 이곳을 노린 테러가 발생 한 것”이라고 설명했다.
## <서:PER> 교수는 사건 현장에 대해 “<리비아:ORG>에서 가장 고급 호텔”이라며 “현재 <리비아:ORG>가 혼란 상태라 <리비아:ORG> 정부에서 외국인과 (외국인)사업가, 외교관들을 의도적으로 제일 좋은 호텔에 모아놓고 경비를 했음에도 이곳을 노린 테러가 발생 한 것”이라고 설명했다.
서	서	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
