## 1
## 시진핑의 친민 형상 다지기는 시각적으로도 계속된다.
## <시진핑:PER>의 친민 형상 다지기는 시각적으로도 계속된다.
시진핑	시진핑	NNP	B-PER
의	의	JKG	O
_	_	_	O
친	친	XPN	O
민	민	NNG	O
_	_	_	O
형상	형상	NNG	O
_	_	_	O
다지기	다지기	NNG	O
는	는	JX	O
_	_	_	O
시각적	시각적	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
계속된다	계속되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 경찰은 종합교통정보센터 폐쇄회로(CC)TV를 통한 24시간 모니터링과 신속대응팀 활동을 강화할 계획이다.
## 경찰은 종합교통정보센터 폐쇄회로(CC)TV를 통한 <24시간:NOH> 모니터링과 신속대응팀 활동을 강화할 계획이다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
종합	종합	NNG	O
교통정보	교통정보	NNG	O
센터	센터	NNG	O
_	_	_	O
폐쇄	폐쇄	NNG	O
회로	회로	NNG	O
(	(	SS	O
CC	CC	SL	O
)	)	SS	O
TV	TV	SL	O
를	를	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
24	24	SN	B-NOH
시간	시간	NNB	I-NOH
_	_	_	O
모니터링	모니터링	NNG	O
과	과	JC	O
_	_	_	O
신속	신속	NNG	O
대응	대응	NNG	O
팀	팀	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
강화할	강화하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 현재 말라카 해협을 통해 세계 해상 무역의 40%가 이뤄지고 있다.
## 현재 <말라카 해협:LOC>을 통해 세계 해상 무역의 <40%:PNT>가 이뤄지고 있다.
현재	현재	MAG	O
_	_	_	O
말라카	말라카	NNP	B-LOC
_	_	_	I-LOC
해협	해협	NNG	I-LOC
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
해상	해상	NNG	O
_	_	_	O
무역	무역	NNG	O
의	의	JKG	O
_	_	_	O
40	40	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
이뤄지	이루어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 이는 전문가들이 핵심 안건들에 대해 심층적으로 의견을 교환하고 해결방안을 제시하기 위한 행사인데, 이번 GEC+ DAEGU가 명실상부하게 처음으로 개최되는 행사이다.
## 이는 전문가들이 핵심 안건들에 대해 심층적으로 의견을 교환하고 해결방안을 제시하기 위한 행사인데, 이번 <GEC+ DAEGU:POH>가 명실상부하게 처음으로 개최되는 행사이다.
이	이	NP	O
는	는	JX	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
안건	안건	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
심층	심층	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
교환하	교환하	VV	O
고	고	EC	O
_	_	_	O
해결	해결	NNG	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
제시하	제시하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
행사	행사	NNG	O
인데	이+ㄴ데	VCP+EC	O
,	,	SP	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
GEC	GEC	SL	B-POH
+	+	SW	I-POH
_	_	_	I-POH
DAEGU	DAEGU	SL	I-POH
가	가	JKS	O
_	_	_	O
명실상부하	명실상부하	VA	O
게	게	EC	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
개최되	개최되	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 문제는 일자리의 질 한국은 중장년 고용률이 높은 국가로 꼽힌다.
## 문제는 일자리의 질 <한국:ORG>은 중장년 고용률이 높은 국가로 꼽힌다.
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
일자리	일자리	NNG	O
의	의	JKG	O
_	_	_	O
질	질	XSN	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
중	중	NNG	O
장년	장년	NNG	O
_	_	_	O
고용	고용	NNG	O
률	률	XSN	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
