## 1
## 탄자니아·카메룬 등 인근 국가들도 놀리우드의 영향을 받아 영화 산업 진흥에 나섰다.
## <탄자니아:LOC>·<카메룬:LOC> 등 인근 국가들도 <놀리우드:POH>의 영향을 받아 영화 산업 진흥에 나섰다.
탄자니아	탄자니아	NNP	B-LOC
·	·	SP	O
카메룬	카메룬	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
인근	인근	NNG	O
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
놀	놀	NNG	B-POH
리우드	리우드	NNP	I-POH
의	의	JKG	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
산업	산업	NNG	O
_	_	_	O
진흥	진흥	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 부사장은 “평범한 사람들도 일상에서 쉽게 쓸 수 있도록 하는 ‘대중성’이 우리 마케팅의 핵심”이라며 “뉴스, 헬스, 대중교통, 뱅킹 등 생활에 없어선 안 되는 다양한 애플리케이션을 늘려 스마트폰을 가진 사람들이라면 모두 하나씩 손목에 차고 다니는 제품으로 만들겠다”고 말했다.
## <이:PER> 부사장은 “평범한 사람들도 일상에서 쉽게 쓸 수 있도록 하는 ‘대중성’이 우리 마케팅의 핵심”이라며 “뉴스, 헬스, 대중교통, 뱅킹 등 생활에 없어선 안 되는 다양한 애플리케이션을 늘려 스마트폰을 가진 사람들이라면 모두 <하나:NOH>씩 손목에 차고 다니는 제품으로 만들겠다”고 말했다.
이	이	MM	B-PER
_	_	_	O
부사장	부사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
평범한	평범하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
일상	일상	NNG	O
에서	에서	JKB	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
쓸	쓰+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
대중성	대중성	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
마케팅	마케팅	NNG	O
의	의	JKG	O
_	_	_	O
핵심	핵심	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
뉴스	뉴스	NNG	O
,	,	SP	O
_	_	_	O
헬스	헬스	NNG	O
,	,	SP	O
_	_	_	O
대중교통	대중교통	NNG	O
,	,	SP	O
_	_	_	O
뱅킹	뱅킹	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
생활	생활	NNG	O
에	에	JKB	O
_	_	_	O
없	없	VA	O
어선	어서+ㄴ	EC+JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
애플리케이션	애플리케이션	NNG	O
을	을	JKO	O
_	_	_	O
늘려	늘리+어	VV+EC	O
_	_	_	O
스마트폰	스마트폰	NNG	O
을	을	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	VCP	O
라면	라면	EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
하나	하나	NNG	B-NOH
씩	씩	XSN	O
_	_	_	O
손목	손목	NNG	O
에	에	JKB	O
_	_	_	O
차	차	VV	O
고	고	EC	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
제품	제품	NNG	O
으로	으로	JKB	O
_	_	_	O
만들	만들	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 올해 1차 지명으로 입단한 박세진은 이날 선발 데뷔전을 치렀다.
## 올해 <1차:NOH> 지명으로 입단한 <박세진:PER>은 이날 선발 데뷔전을 치렀다.
올해	올해	NNG	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
지명	지명	NNG	O
으로	으로	JKB	O
_	_	_	O
입단한	입단하+ㄴ	VV+ETM	O
_	_	_	O
박세진	박세진	NNP	B-PER
은	은	JX	O
