## 1
## 《 딱 10년 전이다,
## 《 딱 <10년:NOH> 전이다,
《	《	SS	O
_	_	_	O
딱	딱	MAG	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
이	이	VCP	O
다	다	EC	O
,	,	SP	O

## 2
## 박 전 감독은 “장애물용 말을 구두 계약했지만 코레스포츠가 돈을 주지 않았다”고 말했다.
## <박:PER> 전 감독은 “장애물용 말을 구두 계약했지만 <코레스포츠:ORG>가 돈을 주지 않았다”고 말했다.
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
장애물	장애물	NNG	O
용	용	XSN	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
구두	구두	NNG	O
_	_	_	O
계약	계약하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
코레	코레	NNP	B-ORG
스포츠	스포츠	NNG	I-ORG
가	가	JKS	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그는 박근혜 정권의 탈선을 걱정했다.
## 그는 <박근혜:PER> 정권의 탈선을 걱정했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
정권	정권	NNG	O
의	의	JKG	O
_	_	_	O
탈선	탈선	NNG	O
을	을	JKO	O
_	_	_	O
걱정	걱정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 현대차는 7월 한 달간 쏘나타 구매 고객을 대상(법인 고객 제외)으로 ▲쏘나타 패밀리 가격 할인 ▲쏘나타 케이크 증정 이벤트 및 ▲블루링크 서비스 평생 무료 제공(8인치 스마트 내비게이션 선택 고객 限) 이벤트를 실시하는 한편 전시장을 방문하는 고객들을 대상(법인 고객 제외)으로 ▲전시장 방문 100% 당첨 이벤트를 운영하는 등 고객들에게 다양한 혜택을 제공한다.
## <현대차:ORG>는 <7월:DAT> <한 달:DUR>간 <쏘나타:POH> 구매 고객을 대상(법인 고객 제외)으로 ▲<쏘나타:POH> 패밀리 가격 할인 ▲<쏘나타:POH> 케이크 증정 이벤트 및 ▲<블루링크:POH> 서비스 평생 무료 제공(<8인치:NOH> 스마트 내비게이션 선택 고객 限) 이벤트를 실시하는 한편 전시장을 방문하는 고객들을 대상(법인 고객 제외)으로 ▲전시장 방문 <100%:PNT> 당첨 이벤트를 운영하는 등 고객들에게 다양한 혜택을 제공한다.
현대차	현대차	NNP	B-ORG
는	는	JX	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
달	달	NNB	I-DUR
간	간	XSN	O
_	_	_	O
쏘나타	쏘나타	NNP	B-POH
_	_	_	O
구매	구매	NNG	O
_	_	_	O
고객	고객	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
(	(	SS	O
법인	법인	NNG	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
제외	제외	NNG	O
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
▲	▲	SW	O
쏘나타	쏘나타	NNP	B-POH
_	_	_	O
패밀리	패밀리	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
할인	할인	NNG	O
_	_	_	O
▲	▲	SW	O
쏘나타	쏘나타	NNP	B-POH
_	_	_	O
케이크	케이크	NNG	O
_	_	_	O
증정	증정	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
▲	▲	SW	O
블루	블루	NNG	B-POH
링크	링크	NNG	I-POH
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
평생	평생	NNG	O
_	_	_	O
무료	무료	NNG	O
_	_	_	O
제공	제공	NNG	O
(	(	SS	O
8	8	SN	B-NOH
인치	인치	NNB	I-NOH
_	_	_	O
스마트	스마트	NNG	O
_	_	_	O
내비게이션	내비게이션	NNG	O
_	_	_	O
선택	선택	NNG	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
限	限	SH	O
)	)	SS	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
실시하	실시하	VV	O
는	는	ETM	O
_	_	_	O
한편	한편	MAG	O
_	_	_	O
전시장	전시장	NNG	O
을	을	JKO	O
_	_	_	O
방문하	방문하	VV	O
는	는	ETM	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
(	(	SS	O
법인	법인	NNG	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
제외	제외	NNG	O
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
▲	▲	SW	O
전시장	전시장	NNG	O
_	_	_	O
방문	방문	NNG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
당첨	당첨	NNG	O
_	_	_	O
