## 1
## 무상 교환은 쿠폰 발급 후 6개월 이내에 가능하다.
## 무상 교환은 쿠폰 발급 후 <6개월:DUR> 이내에 가능하다.
무상	무상	NNG	O
_	_	_	O
교환	교환	NNG	O
은	은	JX	O
_	_	_	O
쿠폰	쿠폰	NNG	O
_	_	_	O
발급	발급	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
6	6	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
이내	이내	NNG	O
에	에	JKB	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 해당 제품은 드릴 작업, 볼트 작업, 스크루 드라이빙 작업 등에 사용하는 18V 임팩 5종으로, 세계 최초로 드라이버와 렌치를 하나로 결합해 작업 효율성을 높인 충전 임팩 드라이버/ 렌치 2종(모델명: GDX 18V-EC/ GDX 18V-LI)과 충전 임팩 드라이버 2종(모델명: GDR 18V-EC/ GDR 18V-LI), 충전 임팩 렌치 1종(모델명: GDS 18V-EC 250)이다.
## 해당 제품은 드릴 작업, 볼트 작업, 스크루 드라이빙 작업 등에 사용하는 <18V:NOH> 임팩 <5종:NOH>으로, 세계 최초로 드라이버와 렌치를 <하나:NOH>로 결합해 작업 효율성을 높인 충전 임팩 드라이버/ 렌치 <2종:NOH>(모델명: <GDX 18V-EC:POH>/ <GDX 18V-LI:POH>)과 충전 임팩 드라이버 <2종:NOH>(모델명: <GDR 18V-EC:POH>/ <GDR 18V-LI:POH>), 충전 임팩 렌치 <1종:NOH>(모델명: <GDS 18V-EC 250:POH>)이다.
해당	해당	NNG	O
_	_	_	O
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
드릴	드리+ㄹ	VV+ETM	O
_	_	_	O
작업	작업	NNG	O
,	,	SP	O
_	_	_	O
볼트	볼트	NNB	O
_	_	_	O
작업	작업	NNG	O
,	,	SP	O
_	_	_	O
스크루	스크루	NNG	O
_	_	_	O
드라이빙	드라이빙	NNG	O
_	_	_	O
작업	작업	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
사용하	사용하	VV	O
는	는	ETM	O
_	_	_	O
18	18	SN	B-NOH
V	V	SL	I-NOH
_	_	_	O
임	임	NNP	O
팩	팩	NNG	O
_	_	_	O
5	5	SN	B-NOH
종	종	NNG	I-NOH
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
드라이버	드라이버	NNG	O
와	와	JC	O
_	_	_	O
렌치	렌치	NNP	O
를	를	JKO	O
_	_	_	O
하나	하나	NR	B-NOH
로	로	JKB	O
_	_	_	O
결합해	결합하+여	VV+EC	O
_	_	_	O
작업	작업	NNG	O
_	_	_	O
효율	효율	NNG	O
성	성	XSN	O
을	을	JKO	O
_	_	_	O
높인	높이+ㄴ	VV+ETM	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
임	임	NNP	O
팩	팩	NNG	O
_	_	_	O
