## 1
## 한국당은 먼저 눈앞의 현실을 냉정히 봐야 한다.
## <한국당:ORG>은 먼저 눈앞의 현실을 냉정히 봐야 한다.
한국당	한국당	NNP	B-ORG
은	은	JX	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
눈앞	눈앞	NNG	O
의	의	JKG	O
_	_	_	O
현실	현실	NNG	O
을	을	JKO	O
_	_	_	O
냉정히	냉정히	MAG	O
_	_	_	O
봐야	보+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 한일 일본군 위안부 합의에 대한 일본의 과도한 언론 플레이에 정부가 경고 메시지를 밝혔다.
## <한:ORG><일:ORG> 일본군 위안부 합의에 대한 <일본:ORG>의 과도한 언론 플레이에 정부가 경고 메시지를 밝혔다.
한일	한일	NNP	B-ORG
_	_	_	O
일본	일본	NNP	O
군	군	NNG	O
_	_	_	O
위안부	위안부	NNG	O
_	_	_	O
합의	합의	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
과도한	과도하+ㄴ	VA+ETM	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
플레이	플레이	NNG	O
에	에	JKB	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
경고	경고	NNG	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2011년 총 영업수익에서 브로커리지 수익이 차지하는 비중은 66%에 달했다.
## <2011년:DAT> 총 영업수익에서 브로커리지 수익이 차지하는 비중은 <66%:PNT>에 달했다.
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
총	총	MM	O
_	_	_	O
영업	영업	NNG	O
수익	수익	NNG	O
에서	에서	JKB	O
_	_	_	O
브로커리지	브로커리지	NNG	O
_	_	_	O
수익	수익	NNG	O
이	이	JKS	O
_	_	_	O
차지하	차지하	VV	O
는	는	ETM	O
_	_	_	O
비중	비중	NNG	O
은	은	JX	O
_	_	_	O
66	66	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
달	달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 하 할머니는 17살(1944년) 때 “돈을 많이 벌 수 있다”는 위안부 모집책의 꾀임에 속아 중국으로 건너갔다.
## <하:PER> 할머니는 <17살:NOH>(<1944년:DAT>) 때 “돈을 많이 벌 수 있다”는 위안부 모집책의 꾀임에 속아 <중국:ORG>으로 건너갔다.
하	하	NNP	B-PER
_	_	_	O
할머니	할머니	NNG	O
는	는	JX	O
_	_	_	O
17	17	SN	B-NOH
살	살	NNB	I-NOH
(	(	SS	O
1944	1944	SN	B-DAT
년	년	NNB	I-DAT
