## 1
## 김택수 작곡가는 원래 ‘과학영재’ 출신으로 화학자를 꿈꾸다
## <김택수:PER> 작곡가는 원래 ‘과학영재’ 출신으로 화학자를 꿈꾸다
김택수	김택수	NNP	B-PER
_	_	_	O
작곡가	작곡가	NNG	O
는	는	JX	O
_	_	_	O
원래	원래	NNG	O
_	_	_	O
‘	‘	SS	O
과학	과학	NNG	O
영재	영재	NNG	O
’	’	SS	O
_	_	_	O
출신	출신	NNG	O
으로	으로	JKB	O
_	_	_	O
화학자	화학자	NNG	O
를	를	JKO	O
_	_	_	O
꿈꾸	꿈꾸	VV	O
다	다	EF	O

## 2
## 사드 [사진 중앙포토] 그는 “특히 한국당 경선에는 중국 대신 대만이 참석했는데 만약 양국을 동시에 초청했다면 한국당은 외교에 대한 기본을 지키지 않은 꼴이 된다”고 덧붙였다.
## <사드:POH> [사진 중앙포토] 그는 “특히 <한국당:ORG> 경선에는 <중국:ORG> 대신 <대만:ORG>이 참석했는데 만약 <양:NOH>국을 동시에 초청했다면 <한국당:ORG>은 외교에 대한 기본을 지키지 않은 꼴이 된다”고 덧붙였다.
사드	사드	NNP	B-POH
_	_	_	O
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
중앙	중앙	NNG	O
포토	포토	NNG	O
]	]	SS	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
특히	특히	MAG	O
_	_	_	O
한국당	한국당	NNP	B-ORG
_	_	_	O
경선	경선	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
대신	대신	NNG	O
_	_	_	O
대만	대만	NNP	B-ORG
이	이	JKS	O
_	_	_	O
참석	참석하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
만약	만약	NNG	O
_	_	_	O
양국	양국	NNG	O
을	을	JKO	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
초청	초청하	VV	O
했	였	EP	O
다면	다면	EC	O
_	_	_	O
한국당	한국당	NNP	B-ORG
은	은	JX	O
_	_	_	O
외교	외교	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
기본	기본	NNG	O
을	을	JKO	O
_	_	_	O
지키	지키	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
꼴	꼴	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘거물’인 힐러리 클린턴 전 국무장관과 대등하거나 오히려 압도하는 모습을 보이며 대선 판도를 흔들 수 있는 잠재력이 있음을 증명했다.
## ‘거물’인 <힐러리 클린턴:PER> 전 국무장관과 대등하거나 오히려 압도하는 모습을 보이며 대선 판도를 흔들 수 있는 잠재력이 있음을 증명했다.
‘	‘	SS	O
거물	거물	NNG	O
’	’	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
힐러리	힐러리	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국무	국무	NNG	O
장관	장관	NNG	O
과	과	JC	O
_	_	_	O
대등하	대등하	VA	O
거나	거나	EC	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
압도하	압도하	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
며	며	EC	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
판도	판도	NNG	O
를	를	JKO	O
_	_	_	O
흔들	흔들+ㄹ	VV+ETM	O
_	_	_	O
