## 1
## 에버랜드는 17일부터 8월 16일까지 밤 11시까지 운영하고, 캐리비안 베이는 18일부터 8월 15일까지 밤 10시까지 연장한다.
## <에버랜드:ORG>는 <17일부터 8월 16일:DUR>까지 <밤 11시:TIM>까지 운영하고, <캐리비안 베이:ORG>는 <18일부터 8월 15일:DUR>까지 <밤 10시:TIM>까지 연장한다.
에버랜드	에버랜드	NNP	B-ORG
는	는	JX	O
_	_	_	O
17	17	SN	B-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
8	8	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
16	16	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
밤	밤	NNG	B-TIM
_	_	_	I-TIM
11	11	SN	I-TIM
시	시	NNB	I-TIM
까지	까지	JX	O
_	_	_	O
운영하	운영하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
캐리비안	캐리비안	NNG	B-ORG
_	_	_	I-ORG
베이	베이	VV	I-ORG
는	는	ETM	O
_	_	_	O
18	18	SN	B-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
8	8	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
15	15	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
밤	밤	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
까지	까지	JX	O
_	_	_	O
연장한다	연장하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 반면 GS건설 ‘자이(9.1%)’와 현대건설 ‘힐스테이트(7.7%)’ 현대산업개발 ‘아이파크(3.6%)’는 대림산업 ‘e편한세상’과 포스코 ‘더샵’의 선전으로 근소한 차이로 순위가 내려갔다.
## 반면 <GS건설:ORG> ‘<자이:POH>(<9.1%:PNT>)’와 <현대건설:ORG> ‘<힐스테이트:POH>(<7.7%:PNT>)’ <현대산업개발:ORG> ‘<아이파크:POH>(<3.6%:PNT>)’는 <대림산업:ORG> ‘<e편한세상:POH>’과 <포스코:ORG> ‘<더샵:POH>’의 선전으로 근소한 차이로 순위가 내려갔다.
반면	반면	NNG	O
_	_	_	O
GS	GS	SL	B-ORG
건설	건설	NNG	I-ORG
_	_	_	O
‘	‘	SS	O
자이	자이	NNP	B-POH
(	(	SS	O
9.1	9.1	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
와	와	JKB	O
_	_	_	O
현대건설	현대건설	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
힐스테이트	힐스테이트	NNP	B-POH
(	(	SS	O
7.7	7.7	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
_	_	_	O
현대산업개발	현대산업개발	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
아이파크	아이파크	NNG	B-POH
(	(	SS	O
3.6	3.6	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
는	는	JX	O
_	_	_	O
대림산업	대림산업	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
e	e	SL	B-POH
편한세상	편한세상	NNG	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
포스코	포스코	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
더샵	더샵	NNP	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
선전	선전	NNG	O
으로	으로	JKB	O
_	_	_	O
