## 1
## 배우 신주아가 악플에 대해 언급했다.
## 배우 <신주아:PER>가 악플에 대해 언급했다.
배우	배우	NNG	O
_	_	_	O
신	신	NNG	B-PER
주아	주아	NNG	I-PER
가	가	JKS	O
_	_	_	O
악	악	NNG	O
플	플	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한발씩 앞으로 나아가며 작은 기적들을 만들어냈고, 그 결과 3년 만에 PGA 투어 무대를 밟으며 새롭게 출발할 수 있었다.
## <한발:NOH>씩 앞으로 나아가며 작은 기적들을 만들어냈고, 그 결과 <3년:DUR> 만에 <PGA 투어:ORG> 무대를 밟으며 새롭게 출발할 수 있었다.
한	한	MM	B-NOH
발	발	NNG	I-NOH
씩	씩	XSN	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
나아가	나아가	VV	O
며	며	EC	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
기적	기적	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
냈	내+었	VX+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
PGA	PGA	SL	B-ORG
_	_	_	I-ORG
투어	투어	NNG	I-ORG
_	_	_	O
무대	무대	NNG	O
를	를	JKO	O
_	_	_	O
밟	밟	VV	O
으며	으며	EC	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
출발할	출발하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 최향남(44)은 오스트리아리그에서 뛰고 있다.
## <최향남:PER>(<44:NOH>)은 <오스트리아리그:ORG>에서 뛰고 있다.
최향남	최향남	NNP	B-PER
(	(	SS	O
44	44	SN	B-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
오스트리아	오스트리아	NNP	B-ORG
리그	리그	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
뛰	뛰	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 스프링캠프 역시 미국 동부의 플로리다로 가는 SK부터, 애리조나와 LA 등 미국 서부로 가는 NC, kt 등이 줄을 잇고 있다.
## 스프링캠프 역시 <미국 동부:LOC>의 <플로리다:LOC>로 가는 <SK:ORG>부터, <애리조나:LOC>와 <LA:LOC> 등 <미국 서부:LOC>로 가는 <NC:ORG>, <kt:ORG> 등이 줄을 잇고 있다.
스프링	스프링	NNG	O
캠프	캠프	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
동부	동부	NNG	I-LOC
의	의	JKG	O
_	_	_	O
플로리다	플로리다	NNP	B-LOC
로	로	JKB	O
_	_	_	O
가	가	VV	O
는	는	ETM	O
_	_	_	O
SK	SK	SL	B-ORG
부터	부터	JX	O
,	,	SP	O
_	_	_	O
애리조나	애리조나	NNP	B-LOC
와	와	JC	O
_	_	_	O
LA	LA	SL	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
