## 1
## 그해 공동 수상자는 자유주의 경제학자인 프리드리히 하이에크(1899~1992)와 국가의 역할을 강조하는 스톡홀름학파의 대부 군나르 뮈르달(1898~1987)이었다.
## 그해 공동 수상자는 자유주의 경제학자인 <프리드리히 하이에크:PER>(<1899~1992:DUR>)와 국가의 역할을 강조하는 스톡홀름학파의 대부 <군나르 뮈르달:PER>(<1898~1987:DUR>)이었다.
그해	그해	NNG	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
수상자	수상자	NNG	O
는	는	JX	O
_	_	_	O
자유주의	자유주의	NNG	O
_	_	_	O
경제학자	경제학자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
프리드리히	프리드리히	NNP	B-PER
_	_	_	I-PER
하이에크	하이에크	NNP	I-PER
(	(	SS	O
1899	1899	SN	B-DUR
~	~	SO	I-DUR
1992	1992	SN	I-DUR
)	)	SS	O
와	와	JKB	O
_	_	_	O
국가	국가	NNG	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
강조하	강조하	VV	O
는	는	ETM	O
_	_	_	O
스톡홀름학파	스톡홀름학파	NNG	O
의	의	JKG	O
_	_	_	O
대부	대부	NNG	O
_	_	_	O
군나르	군나르	NNP	B-PER
_	_	_	I-PER
뮈르달	뮈르달	NNP	I-PER
(	(	SS	O
1898	1898	SN	B-DUR
~	~	SO	I-DUR
1987	1987	SN	I-DUR
)	)	SS	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 문 후보 지지자 및 일부 인터넷 매체는 선관위가 문씨와 관련한 모든 의혹 제기를 가짜 뉴스로 분류하고 있는 것처럼 글을 올려 논란을 일으켰다.
## 하지만 <문:PER> 후보 지지자 및 일부 인터넷 매체는 <선관위:ORG>가 <문:PER>씨와 관련한 모든 의혹 제기를 가짜 뉴스로 분류하고 있는 것처럼 글을 올려 논란을 일으켰다.
하지만	하지만	MAJ	O
_	_	_	O
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
지지자	지지자	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
선관위	선관위	NNG	B-ORG
가	가	JKS	O
_	_	_	O
문	문	NNP	B-PER
씨	씨	NNB	O
와	와	JKB	O
_	_	_	O
관련한	관련하+ㄴ	VV+ETM	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
의혹	의혹	NNG	O
_	_	_	O
제기	제기	NNG	O
를	를	JKO	O
_	_	_	O
가짜	가짜	NNG	O
_	_	_	O
뉴스	뉴스	NNG	O
로	로	JKB	O
_	_	_	O
분류하	분류하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
일으	일으키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 40만 년 전 고인류 화석의 DNA 분석은 장구한 인류 진화의 중간 고리를 풀어줄 중요한 연구로 기대를 모으고 있다.
## <40만 년:NOH> 전 고인류 화석의 DNA 분석은 장구한 인류 진화의 중간 고리를 풀어줄 중요한 연구로 기대를 모으고 있다.
40	40	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
고	고	XPN	O
인류	인류	NNG	O
_	_	_	O
화석	화석	NNG	O
의	의	JKG	O
_	_	_	O
DNA	DNA	SL	O
_	_	_	O
분석	분석	NNG	O
은	은	JX	O
_	_	_	O
장구한	장구하+ㄴ	VA+ETM	O
_	_	_	O
인류	인류	NNG	O
_	_	_	O
진화	진화	NNG	O
의	의	JKG	O
_	_	_	O
중간	중간	NNG	O
_	_	_	O
고리	고리	NNG	O
를	를	JKO	O
_	_	_	O
풀	풀	VV	O
어	어	EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
연구	연구	NNG	O
로	로	JKB	O
_	_	_	O
기대	기대	NNG	O
를	를	JKO	O
_	_	_	O
모으	모으	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 여성가족부는 위안부 피해가 접수되면 사실 여부를 밝히는 전문가 조사에 착수하게 된다.
## <여성가족부:ORG>는 <위안부:ORG> 피해가 접수되면 사실 여부를 밝히는 전문가 조사에 착수하게 된다.
여성	여성	NNG	B-ORG
가족	가족	NNG	I-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
위안부	위안부	NNG	B-ORG
_	_	_	O
피해	피해	NNG	O
가	가	JKS	O
_	_	_	O
접수되	접수되	VV	O
면	면	EC	O
_	_	_	O
사실	사실	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
밝히	밝히	VV	O
는	는	ETM	O
_	_	_	O
전문가	전문가	NNG	O
_	_	_	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
착수하	착수하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 1세트(앰플 드레싱 36ml, 컨투어링 오브제 16g)×4 7만8천원.기획 · 최은초롱 기자 | 사진 · 홍중식 기자 | 디자인 · 최정미제품협찬 · 더우주(1899-6935) 르페르(1577-0405) 맥스클리닉(1566-2945) 에스티로더(02-3440-2772) 엘리자베카(02-564-2707) 크리니크(02-3440-2773) 퍼스트랩(080-022-1010) 필로소피(080-850-0708) A.H.C(080-332-0855)
