## 1
## 앞차거리 유지 등 운전편의 향상9단 자동변속기에 4륜 구동 채택E300 4MATIC에는 4기통 2.0리터 가솔린 터보 엔진과 9단 자동변속기, 4륜 구동 장치가 결합돼 있다.
## 앞차거리 유지 등 운전편의 향상<9단:NOH> 자동변속기에 <4륜:NOH> 구동 채택<E300 4MATIC:POH>에는 <4기통:NOH> <2.0리터:NOH> <가솔린:POH> 터보 엔진과 <9단:NOH> 자동변속기, <4륜:NOH> 구동 장치가 결합돼 있다.
앞차	앞차	NNG	O
거리	거리	NNG	O
_	_	_	O
유지	유지	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
운전	운전	NNG	O
편의	편의	NNG	O
_	_	_	O
향상	향상	NNG	O
9	9	SN	B-NOH
단	단	NNG	I-NOH
_	_	_	O
자동	자동	NNG	O
변속기	변속기	NNG	O
에	에	JKB	O
_	_	_	O
4	4	SN	B-NOH
륜	륜	NNG	I-NOH
_	_	_	O
구동	구동	NNG	O
_	_	_	O
채택	채택	NNG	O
E	E	SL	B-POH
300	300	SN	I-POH
_	_	_	I-POH
4	4	SN	I-POH
MATIC	MATIC	SL	I-POH
에	에	JKB	O
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
기통	기통	NNG	I-NOH
_	_	_	O
2.0	2.0	SN	B-NOH
리터	리터	NNB	I-NOH
_	_	_	O
가솔린	가솔린	NNG	B-POH
_	_	_	O
터보	터보	NNG	O
_	_	_	O
엔진	엔진	NNG	O
과	과	JC	O
_	_	_	O
9	9	SN	B-NOH
단	단	NNG	I-NOH
_	_	_	O
자동	자동	NNG	O
변속기	변속기	NNG	O
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
륜	륜	NNG	I-NOH
_	_	_	O
구동	구동	NNG	O
_	_	_	O
장치	장치	NNG	O
가	가	JKS	O
_	_	_	O
결합돼	결합되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 앞선 북한의 도발 때마다 “관련국이 긴장을 고조하는 행위를 자제해달라”는 입장을 반복적으로 내놨던 것에 비해, 북한에 대한 비난 수위가 한층 높아진 것이다.
## 앞선 <북한:ORG>의 도발 때마다 “관련국이 긴장을 고조하는 행위를 자제해달라”는 입장을 반복적으로 내놨던 것에 비해, <북한:ORG>에 대한 비난 수위가 한층 높아진 것이다.
앞선	앞서+ㄴ	VV+ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
도발	도발	NNG	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
“	“	SS	O
관련	관련	NNG	O
국	국	XSN	O
이	이	JKS	O
_	_	_	O
긴장	긴장	NNG	O
을	을	JKO	O
_	_	_	O
고조하	고조하	VV	O
는	는	ETM	O
_	_	_	O
행위	행위	NNG	O
를	를	JKO	O
_	_	_	O
자제해	자제하+여	VV+EC	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
반복	반복	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
내	내놓	VV	O
놨	았	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
,	,	SP	O
_	_	_	O
북한	북한	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
비난	비난	NNG	O
_	_	_	O
수위	수위	NNG	O
가	가	JKS	O
_	_	_	O
한층	한층	MAG	O
_	_	_	O
높아진	높아지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 트럼프 대통령은 후보 시절부터 “북한의 비핵화에 중국이 기여한 바가 없다”는 발언 등을 하며 북핵 문제를 중국을 압박하는 방식으로 해결할 뜻을 내비쳐왔다.
## <트럼프:PER> 대통령은 후보 시절부터 “<북한:ORG>의 비핵화에 <중국:ORG>이 기여한 바가 없다”는 발언 등을 하며 북핵 문제를 <중국:ORG>을 압박하는 방식으로 해결할 뜻을 내비쳐왔다.
트럼프	트럼프	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
시절	시절	NNG	O
부터	부터	JX	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
비	비	XPN	O
핵	핵	NNG	O
