## 1
## 다가오는 신토익에서는 문항수가 변경되므로, 파트 5는 문제당 15초씩 대략 8분, 파트 6는 지문당 2분씩 8분, 파트 7은 문제당 1분, 총 54분을 산정해 두어야 한다.
## 다가오는 신토익에서는 문항수가 변경되므로, <파트 5:NOH>는 문제당 <15초:DUR>씩 대략 <8분:DUR>, <파트 6:NOH>는 지문당 <2분:DUR>씩 <8분:DUR>, <파트 7:NOH>은 문제당 <1분:DUR>, 총 <54분:DUR>을 산정해 두어야 한다.
다가오	다가오	VV	O
는	는	ETM	O
_	_	_	O
신	신	NNG	O
토익	토익	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
문항	문항	NNG	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
변경되	변경되	VV	O
므로	므로	EC	O
,	,	SP	O
_	_	_	O
파트	파트	NNG	B-NOH
_	_	_	I-NOH
5	5	SN	I-NOH
는	는	JX	O
_	_	_	O
문제	문제	NNG	O
당	당	NNG	O
_	_	_	O
15	15	SN	B-DUR
초	초	NNB	I-DUR
씩	씩	XSN	O
_	_	_	O
대략	대략	MAG	O
_	_	_	O
8	8	SN	B-DUR
분	분	NNB	I-DUR
,	,	SP	O
_	_	_	O
파트	파트	NNG	B-NOH
_	_	_	I-NOH
6	6	SN	I-NOH
는	는	JX	O
_	_	_	O
지문	지문	NNG	O
당	당	XSN	O
_	_	_	O
2	2	SN	B-DUR
분	분	NNB	I-DUR
씩	씩	XSN	O
_	_	_	O
8	8	SN	B-DUR
분	분	NNB	I-DUR
,	,	SP	O
_	_	_	O
파트	파트	NNG	B-NOH
_	_	_	I-NOH
7	7	SN	I-NOH
은	은	JX	O
_	_	_	O
문제	문제	NNG	O
당	당	NNG	O
_	_	_	O
1	1	SN	B-DUR
분	분	NNB	I-DUR
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
54	54	SN	B-DUR
분	분	NNB	I-DUR
을	을	JKO	O
_	_	_	O
산정해	산정하+여	VV+EC	O
_	_	_	O
두	두	VX	O
어야	어야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 문의 02-302-7203온라인뉴스팀
## 문의 <02-302-7203:POH>온라인뉴스팀
문의	문의	NNG	O
_	_	_	O
02	02	SN	B-POH
-	-	SO	I-POH
302	302	SN	I-POH
-	-	SO	I-POH
7203	7203	SN	I-POH
온라인	온라인	NNG	O
뉴스	뉴스	NNG	O
팀	팀	NNG	O

## 3
## 1990년대초부터 반미핵대결전을 승리에로 이끄시는 위대한 장군님의 천재적인 외교지략과 탁월한 령동를 실현하느 전초선에서 활약했다”고 말했다.
## <1990년대:DUR>초부터 반미핵대결전을 승리에로 이끄시는 위대한 장군님의 천재적인 외교지략과 탁월한 령동를 실현하느 전초선에서 활약했다”고 말했다.
1990	1990	SN	B-DUR
년대	년대	NNB	I-DUR
초	초	NNB	O
부터	부터	JX	O
_	_	_	O
반미	반미	NNG	O
핵	핵	NNG	O
대결	대결	NNG	O
전	전	XSN	O
을	을	JKO	O
_	_	_	O
승리	승리	NNG	O
에로	에로	JKB	O
_	_	_	O
이끄	이끌	VV	O
시	시	EP	O
는	는	ETM	O
_	_	_	O
위대한	위대하+ㄴ	VA+ETM	O
_	_	_	O
장군	장군	NNG	O
님	님	XSN	O
의	의	JKG	O
_	_	_	O
천재적	천재적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
외교	외교	NNG	O
지략	지략	NNG	O
과	과	JC	O
_	_	_	O
탁월한	탁월하+ㄴ	VA+ETM	O
_	_	_	O
령동	령동	NNG	O
를	를	JKO	O
_	_	_	O
실현	실현	NNG	O
하느	하느	NNG	O
_	_	_	O
전초선	전초선	NNG	O
에서	에서	JKB	O
_	_	_	O
활약	활약하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그러나 이 「여름의 공식」이 2년째 전혀 딴 방향으로 가고 있는 것.
## 그러나 이 「여름의 공식」이 <2년:DUR>째 전혀 딴 방향으로 가고 있는 것.
그러나	그러나	MAJ	O
_	_	_	O
이	이	MM	O
_	_	_	O
「	「	SS	O
여름	여름	NNG	O
의	의	JKG	O
_	_	_	O
공식	공식	NNG	O
」	」	SS	O
이	이	JKS	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
째	째	XSN	O
_	_	_	O
