## 1
## 박범훈과 함께 근무 비서관 주내 소환
## <박범훈:PER>과 함께 근무 비서관 주내 소환
박범훈	박범훈	NNP	B-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
근무	근무	NNG	O
_	_	_	O
비서관	비서관	NNG	O
_	_	_	O
주	주	NNG	O
내	내	NNB	O
_	_	_	O
소환	소환	NNG	O

## 2
## 축산농가들은 한미 FTA 비준 직후인 2012년 초 소떼를 몰고 청와대로 향하는 대규모 상경 시위를 시도했다.
## 축산농가들은 <한미 FTA:POH> 비준 직후인 <2012년:DAT> 초 소떼를 몰고 <청와대:ORG>로 향하는 대규모 상경 시위를 시도했다.
축산	축산	NNG	O
농가	농가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
한미	한미	NNP	B-POH
_	_	_	I-POH
FTA	FTA	SL	I-POH
_	_	_	O
비준	비준	NNG	O
_	_	_	O
직후	직후	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
초	초	NNB	O
_	_	_	O
소	소	NNG	O
떼	떼	NNG	O
를	를	JKO	O
_	_	_	O
몰	몰	VV	O
고	고	EC	O
_	_	_	O
청와대	청와대	NNP	B-ORG
로	로	JKB	O
_	_	_	O
향하	향하	VV	O
는	는	ETM	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
상경	상경	NNG	O
_	_	_	O
시위	시위	NNG	O
를	를	JKO	O
_	_	_	O
시도	시도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 7월 31일 방송된 Mnet '쇼미더머니4'에서는 산이-버벌진트로 구성된 브랜뉴 팀 프로듀서들이 탈락자 결정을 번복한 상황이 그려졌다.
## <7월 31일:DAT> 방송된 <Mnet:POH> '<쇼미더머니4:POH>'에서는 <산이:PER>-<버벌진트:PER>로 구성된 <브랜뉴 팀:ORG> 프로듀서들이 탈락자 결정을 번복한 상황이 그려졌다.
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
31	31	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
Mnet	Mnet	SL	B-POH
_	_	_	O
'	'	SS	O
쇼	쇼	NNG	B-POH
미	미	NNP	I-POH
더머	더머	NNG	I-POH
니	니	JC	I-POH
4	4	SN	I-POH
'	'	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
산	산	NNG	B-PER
이	이	JKS	I-PER
-	-	SO	O
버벌진트	버벌진트	NNP	B-PER
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
브랜	브랜	NNG	B-ORG
뉴	뉴	NNG	I-ORG
_	_	_	I-ORG
팀	팀	NNG	I-ORG
_	_	_	O
프로듀서	프로듀서	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
탈락자	탈락자	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
번복한	번복하+ㄴ	VV+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
그려	그리+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 짐로저스는 앞으로 확대되는 중국 시장에서 철도·의료·제약·재무·금융·오염제거 등 영영에서 주목 받을 아이템에 주목하고 있었는데, 중국에서 탈모 및 스킨케어 시장이 이제 막 열리고 있다는 점이 투자 결정에 작용했다는 후문이다.
## <짐로저스:PER>는 앞으로 확대되는 <중국:LOC> 시장에서 철도·의료·제약·재무·금융·오염제거 등 영영에서 주목 받을 아이템에 주목하고 있었는데, <중국:LOC>에서 탈모 및 스킨케어 시장이 이제 막 열리고 있다는 점이 투자 결정에 작용했다는 후문이다.
짐로저스	짐로저스	NNP	B-PER
는	는	JX	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
확대되	확대되	VV	O
는	는	ETM	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
철도	철도	NNG	O
·	·	SP	O
의료	의료	NNG	O
·	·	SP	O
제약	제약	NNG	O
·	·	SP	O
재무	재무	NNG	O
·	·	SP	O
금융	금융	NNG	O
·	·	SP	O
오염	오염	NNG	O
제거	제거	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
영영	영영	MAG	O
에서	에서	JKB	O
_	_	_	O
주목	주목	NNG	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
아이템	아이템	NNG	O
에	에	JKB	O
_	_	_	O
주목하	주목하	VV	O
고	고	EC	O
_	_	_	O
있	있	VA	O
었	었	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
탈모	탈모	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
스킨케어	스킨케어	NNG	O
_	_	_	O
시장	시장	NNG	O
이	이	JKS	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
막	막	MAG	O
_	_	_	O
열리	열리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
투자	투자	NNG	O
_	_	_	O
결정	결정	NNG	O
에	에	JKB	O
_	_	_	O
작용	작용하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
후문	후문	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
