## 1
## 전작인 '고에몽1'의 경우 다소 뻔한 진행으로 뒤로 갈수록 약간은 지루한 길 찾기 게임이 되버렸습니다만, 이번부터는 다양한 스테이지 진행과 보스전 등이 존재하며, 2인 동시 플레이가 가능해져서!(두둥!) 친구 및 가족들과 재밌게 즐길 수 있습니다.
## 전작인 '<고에몽1:POH>'의 경우 다소 뻔한 진행으로 뒤로 갈수록 약간은 지루한 길 찾기 게임이 되버렸습니다만, 이번부터는 다양한 스테이지 진행과 보스전 등이 존재하며, <2인:NOH> 동시 플레이가 가능해져서!(두둥!) 친구 및 가족들과 재밌게 즐길 수 있습니다.
전작	전작	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
'	'	SS	O
고	고	NNP	B-POH
에몽	에몽	NNP	I-POH
1	1	SN	I-POH
'	'	SS	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
뻔한	뻔하+ㄴ	VA+ETM	O
_	_	_	O
진행	진행	NNG	O
으로	으로	JKB	O
_	_	_	O
뒤	뒤	NNG	O
로	로	JKB	O
_	_	_	O
갈수록	가+ㄹ수록	VV+EC	O
_	_	_	O
약간	약간	NNG	O
은	은	JX	O
_	_	_	O
지루한	지루하+ㄴ	VA+ETM	O
_	_	_	O
길	길	NNG	O
_	_	_	O
찾	찾	VV	O
기	기	ETN	O
_	_	_	O
게임	게임	NNG	O
이	이	JKC	O
_	_	_	O
되	되+아	VV+EC	O
버렸	버리+었	VX+EP	O
습니다	습니다	EC	O
만	만	JX	O
,	,	SP	O
_	_	_	O
이번	이번	NNG	O
부터	부터	JX	O
는	는	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
스테이지	스테이지	NNG	O
_	_	_	O
진행	진행	NNG	O
과	과	JC	O
_	_	_	O
보스	보스	NNG	O
전	전	NNP	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
존재하	존재하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
동시	동시	NNG	O
_	_	_	O
플레이	플레이	NNG	O
가	가	JKS	O
_	_	_	O
가능해	가능하+여	VA+EC	O
져서	지+어서	VX+EF	O
!	!	SF	O
(	(	SS	O
두둥	두둥	MAG	O
!	!	SF	O
)	)	SS	O
_	_	_	O
친구	친구	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
재밌	재밌	VA	O
게	게	EC	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 새 헌법에 국무위원회는 ‘최고정책적 지도기관’, 내각은 ‘행정적 집행기관’으로 명시해 상하관계 가능성을 시사했다.
## 새 헌법에 <국무위원회:ORG>는 ‘최고정책적 지도기관’, 내각은 ‘행정적 집행기관’으로 명시해 상하관계 가능성을 시사했다.
새	새	MM	O
_	_	_	O
헌법	헌법	NNG	O
에	에	JKB	O
_	_	_	O
국무	국무	NNG	B-ORG
위원회	위원회	NNG	I-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
최고	최고	NNG	O
정책적	정책적	NNG	O
_	_	_	O
지도	지도	NNG	O
기관	기관	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
내각	내각	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
행정적	행정적	NNG	O
_	_	_	O
집행	집행	NNG	O
기관	기관	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
명시해	명시하+여	VV+EC	O
_	_	_	O
상하	상하	NNG	O
관계	관계	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
시사	시사하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 오바마 ‘6000만불의 사나이’
## <오바마:PER> ‘<6000만불:MNY>의 사나이’
오바마	오바마	NNP	B-PER
_	_	_	O
‘	‘	SS	O
