## 1
## A : 사실 직접 제작한 가수가 아니라, 곡을 주는 가수들도 이번에 잘될지 안 될지 예측하기가 정말 쉽지 않아요.
## <A:PER> : 사실 직접 제작한 가수가 아니라, 곡을 주는 가수들도 이번에 잘될지 안 될지 예측하기가 정말 쉽지 않아요.
A	A	SL	B-PER
_	_	_	O
:	:	SP	O
_	_	_	O
사실	사실	MAG	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
제작한	제작하+ㄴ	VV+ETM	O
_	_	_	O
가수	가수	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
,	,	SP	O
_	_	_	O
곡	곡	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
가수	가수	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
잘될지	잘되+ㄹ지	VV+EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
될지	되+ㄹ지	VV+EC	O
_	_	_	O
예측하	예측하	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아요	아요	EF	O
.	.	SF	O

## 2
## 미국을 넘어 세계적인 명성을 누리고 있는 음악단체로, 회원가입 자격요건이 다소 까다롭고 보수적인 것으로 유명하다.
## <미국:ORG>을 넘어 세계적인 명성을 누리고 있는 음악단체로, 회원가입 자격요건이 다소 까다롭고 보수적인 것으로 유명하다.
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
세계적	세계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
명성	명성	NNG	O
을	을	JKO	O
_	_	_	O
누리	누리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
음악	음악	NNG	O
단체	단체	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
회원	회원	NNG	O
가입	가입	NNG	O
_	_	_	O
자격	자격	NNG	O
요건	요건	NNG	O
이	이	JKS	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
까다롭	까다롭	VA	O
고	고	EC	O
_	_	_	O
보수적	보수적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
유명하	유명하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이 여성은 12일 오후 8시부터 다음날인 오늘 오전까지 13시간째 사저 앞을 지켰다.
## 이 여성은 <12일:DAT> <오후 8시:TIM>부터 다음날인 오늘 오전까지 <13시간째:DUR> 사저 앞을 지켰다.
이	이	MM	O
_	_	_	O
여성	여성	NNG	O
은	은	JX	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
8	8	SN	I-TIM
시	시	NNB	I-TIM
부터	부터	JX	O
_	_	_	O
다음날	다음날	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
오전	오전	NNG	O
까지	까지	JX	O
_	_	_	O
13	13	SN	B-DUR
시간	시간	NNB	I-DUR
째	째	XSN	I-DUR
_	_	_	O
사저	사저	NNG	O
_	_	_	O
앞	앞	NNG	O
을	을	JKO	O
_	_	_	O
지	지키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
