## 1
## 아날로그 휠을 적용해 손맛을 살리고, 무선충전기와 블루투스 스피커을 결합시킨 ‘스톤’이라는 부품을 함께 제공하는 팬택의 승부수가 소비자의 마음을 움직였다는 뜻이다.
## 아날로그 휠을 적용해 손맛을 살리고, 무선충전기와 블루투스 스피커을 결합시킨 ‘<스톤:POH>’이라는 부품을 함께 제공하는 <팬택:ORG>의 승부수가 소비자의 마음을 움직였다는 뜻이다.
아날로그	아날로그	NNG	O
_	_	_	O
휠	휠	NNG	O
을	을	JKO	O
_	_	_	O
적용해	적용하+여	VV+EC	O
_	_	_	O
손맛	손맛	NNG	O
을	을	JKO	O
_	_	_	O
살리	살리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
무선	무선	NNG	O
충전기	충전기	NNG	O
와	와	JC	O
_	_	_	O
블루	블루	NNG	O
투스	투스	NNP	O
_	_	_	O
스피커	스피커	NNG	O
을	을	JKO	O
_	_	_	O
결합	결합	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
‘	‘	SS	O
스톤	스톤	NNG	B-POH
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
부품	부품	NNG	O
을	을	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
팬택	팬택	NNP	B-ORG
의	의	JKG	O
_	_	_	O
승부수	승부수	NNG	O
가	가	JKC	O
_	_	_	O
소비자	소비자	NNG	O
의	의	JKG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
움직	움직이	VV	O
였	었	EP	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 엔터식스는 현대산업개발 컨소시엄이 복합개발하는 옛 서울남부교정시설부지의 상업시설 지상 1~2층에 ‘엔터식스’ 쇼핑몰을 오픈한다고 9일 밝혔다.
## <엔터식스:ORG>는 <현대산업개발 컨소시엄:ORG>이 복합개발하는 옛 <서울남부교정시설부지:LOC>의 상업시설 지상 <1:NOH>~<2층:NOH>에 ‘<엔터식스:POH>’ 쇼핑몰을 오픈한다고 <9일:DAT> 밝혔다.
엔터	엔터	NNG	B-ORG
식스	식스	NNG	I-ORG
는	는	JX	O
_	_	_	O
현대산업개발	현대산업개발	NNP	B-ORG
_	_	_	I-ORG
컨소시엄	컨소시엄	NNG	I-ORG
이	이	JKS	O
_	_	_	O
복합	복합	NNG	O
개발	개발	NNG	O
하	하	XSV	O
