## 1
## 스마일게이트 메가포트는 모바일 역할수행게임(RPG) ‘드래곤페이트’가 출시 4주 만에 50만 다운로드를 돌파했다고 20일 밝혔다.
## <스마일게이트 메가포트:ORG>는 모바일 역할수행게임(RPG) ‘<드래곤페이트:POH>’가 출시 <4주:DUR> 만에 <50만:NOH> 다운로드를 돌파했다고 <20일:DAT> 밝혔다.
스마일	스마일	NNG	B-ORG
게이트	게이트	NNG	I-ORG
_	_	_	I-ORG
메가	메가	NNB	I-ORG
포트	포트	NNB	I-ORG
는	는	JX	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
역할	역할	NNG	O
수행	수행	NNG	O
게임	게임	NNG	O
(	(	SS	O
RPG	RPG	SL	O
)	)	SS	O
_	_	_	O
‘	‘	SS	O
드래곤	드래곤	NNG	B-POH
페이트	페이트	NNP	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
출시	출시	NNG	O
_	_	_	O
4	4	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
50	50	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
다운로드	다운로드	NNG	O
를	를	JKO	O
_	_	_	O
돌파	돌파하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 영국에서 태어나 4살 때 미국으로 이민한 마크는 영국식 정원을 가꾸는 한편 뜰 한구석에 포도나무를 심어 해마다 포도주를 담근다.
## <영국:LOC>에서 태어나 <4살:NOH> 때 <미국:LOC>으로 이민한 <마크:PER>는 영국식 정원을 가꾸는 한편 뜰 한구석에 포도나무를 심어 해마다 포도주를 담근다.
영국	영국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
태어나	태어나+아	VV+EC	O
_	_	_	O
4	4	SN	B-NOH
살	살	NNB	I-NOH
_	_	_	O
때	때	NNG	O
_	_	_	O
미국	미국	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
이민	이민	NNG	O
한	한	NNP	O
_	_	_	O
마크	마크	NNP	B-PER
는	는	JX	O
_	_	_	O
영국	영국	NNP	O
식	식	XSN	O
_	_	_	O
정원	정원	NNG	O
을	을	JKO	O
_	_	_	O
가꾸	가꾸	VV	O
는	는	ETM	O
_	_	_	O
한편	한편	MAG	O
_	_	_	O
뜰	뜰	NNG	O
_	_	_	O
한구석	한구석	NNG	O
에	에	JKB	O
_	_	_	O
포도	포도	NNG	O
나무	나무	NNG	O
를	를	JKO	O
_	_	_	O
심	심	VV	O
어	어	EC	O
_	_	_	O
해마다	해마다	MAG	O
_	_	_	O
포도주	포도주	NNG	O
를	를	JKO	O
_	_	_	O
담근다	담그+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 국회 예산정책처의 ‘장기 재정전망 보고서’에 따르면 2014년부터 2060년까지 정부의 총수입은 연평균 3.6% 증가하는 데 비해 총지출은 매년 4.6%씩 늘어나 적자가 갈수록 커질 수밖에 없다.
## <국회:ORG> 예산정책처의 ‘장기 재정전망 보고서’에 따르면 <2014년부터 2060년:DUR>까지 <정부:ORG>의 총수입은 연평균 <3.6%:PNT> 증가하는 데 비해 총지출은 매년 <4.6%:PNT>씩 늘어나 적자가 갈수록 커질 수밖에 없다.
국회	국회	NNG	B-ORG
_	_	_	O
예산	예산	NNG	O
정책	정책	NNG	O
처	처	XSN	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
장기	장기	NNG	O
_	_	_	O
재정	재정	NNG	O
전망	전망	NNG	O
_	_	_	O
보고서	보고서	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
2014	2014	SN	B-DUR
년	년	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
2060	2060	SN	I-DUR
년	년	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
정부	정부	NNG	B-ORG
의	의	JKG	O
_	_	_	O
총수입	총수입	NNG	O
은	은	JX	O
_	_	_	O
연평균	연평균	NNG	O
_	_	_	O
3.6	3.6	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
증가하	증가하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
총지출	총지출	NNG	O
은	은	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
4.6	4.6	SN	B-PNT
%	%	SW	I-PNT
씩	씩	XSN	O
_	_	_	O
늘어나	늘어나+아	VV+EC	O
_	_	_	O
