## 1
## 수도권에서 한해 죽는 사람이 10만 명 내외이기 때문에 1만 5천 명이란 숫자는 매우 큰 수다.
## <수도권:LOC>에서 한해 죽는 사람이 <10만 명:NOH> 내외이기 때문에 <1만 5천 명:NOH>이란 숫자는 매우 큰 수다.
수도권	수도권	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
한	한	MM	O
해	해	NNB	O
_	_	_	O
죽	죽	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
10	10	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
내외	내외	NNG	O
이	이	VCP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
5	5	SN	I-NOH
천	천	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	VCP	O
란	란	ETM	O
_	_	_	O
숫자	숫자	NNG	O
는	는	JX	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
수	수+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 한국메나리니는 앞으로 소비자에게 손발톱 건강의 중요성을 알리고, 손발톱 무좀 등 관련 질환의 관리와 치료법을 전하는 다양한 활동을 펼칠 예정이다.
## <한국메나리니:ORG>는 앞으로 소비자에게 손발톱 건강의 중요성을 알리고, 손발톱 무좀 등 관련 질환의 관리와 치료법을 전하는 다양한 활동을 펼칠 예정이다.
한국	한국	NNP	B-ORG
메나리	메나리	NNG	I-ORG
니	니	NP	I-ORG
는	는	JX	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
소비자	소비자	NNG	O
에게	에게	JKB	O
_	_	_	O
손발톱	손발톱	NNG	O
_	_	_	O
건강	건강	NNG	O
의	의	JKG	O
_	_	_	O
중요성	중요성	NNG	O
을	을	JKO	O
_	_	_	O
알리	알리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
손발톱	손발톱	NNG	O
_	_	_	O
무좀	무좀	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
질환	질환	NNG	O
의	의	JKG	O
_	_	_	O
관리	관리	NNG	O
와	와	JC	O
_	_	_	O
치료법	치료법	NNG	O
을	을	JKO	O
_	_	_	O
전하	전하	VV	O
는	는	ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
펼칠	펼치+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## NC의 특명 ‘장현식 기를 살려라!’
## <NC:ORG>의 특명 ‘<장현식:PER> 기를 살려라!’
NC	NC	SL	B-ORG
의	의	JKG	O
_	_	_	O
특명	특명	NNG	O
_	_	_	O
‘	‘	SS	O
장현식	장현식	NNP	B-PER
_	_	_	O
기	기	NNG	O
를	를	JKO	O
_	_	_	O
살려라	살리+어라	VV+EF	O
!	!	SF	O
’	’	SS	O

## 4
## 지난해 4월 ‘클라우드’로 맥주 산업에 진출한 지 약 1년 만에 거둔 성과다.
## 지난해 <4월:DAT> ‘<클라우드:POH>’로 맥주 산업에 진출한 지 약 <1년:NOH> 만에 거둔 성과다.
지난해	지난해	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
클라우드	클라우드	NNG	B-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
맥주	맥주	NNG	O
_	_	_	O
산업	산업	NNG	O
에	에	JKB	O
_	_	_	O
진출한	진출하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
약	약	MM	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
거둔	거두+ㄴ	VV+ETM	O
_	_	_	O
성과	성과+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 미국 연예매체 스플래쉬닷컴은 17일(현지시간) 미국 플로리다주 마이애미 해변에서 물놀이 중인 바네사 후펜코텐의 모습을 전했다.
## <미국:LOC> 연예매체 <스플래쉬닷컴:ORG>은 <17일:DAT>(현지시간) <미국 플로리다주 마이애미:LOC> 해변에서 물놀이 중인 <바네사 후펜코텐:PER>의 모습을 전했다.
미국	미국	NNP	B-LOC
_	_	_	O
연예	연예	NNG	O
매체	매체	NNG	O
_	_	_	O
스플래쉬	스플래쉬	NNP	B-ORG
닷컴	닷컴	NNG	I-ORG
은	은	JX	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
플로리다주	플로리다주	NNP	I-LOC
_	_	_	I-LOC
마이애미	마이애미	NNP	I-LOC
_	_	_	O
해변	해변	NNG	O
