## 1
## 텃밭을 가꿔본 국민들의 국산농산물 구매의사는 67.6%로 도시농업을 체험하지 않은 사람보다 7.7%포인트 높은 것으로 나타났다.
## 텃밭을 가꿔본 국민들의 국산농산물 구매의사는 <67.6%:PNT>로 도시농업을 체험하지 않은 사람보다 <7.7%:PNT>포인트 높은 것으로 나타났다.
텃밭	텃밭	NNG	O
을	을	JKO	O
_	_	_	O
가꿔	가꾸+어	VV+EC	O
본	보+ㄴ	VX+ETM	O
_	_	_	O
국민	국민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
국산	국산	NNG	O
농산물	농산물	NNG	O
_	_	_	O
구매	구매	NNG	O
의사	의사	NNG	O
는	는	JX	O
_	_	_	O
67.6	67.6	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
도시	도시	NNG	O
농업	농업	NNG	O
을	을	JKO	O
_	_	_	O
체험하	체험하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
보다	보다	JKB	O
_	_	_	O
7.7	7.7	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## [2015 노벨문학상]
## [<2015:DAT> <노벨문학상:POH>]
[	[	SS	O
2015	2015	SN	B-DAT
_	_	_	O
노벨	노벨	NNP	B-POH
문학상	문학상	NNG	I-POH
]	]	SS	O

## 3
## 공화당은 이제 트럼프를 ‘해고’하기 힘들어졌다.
## <공화당:ORG>은 이제 <트럼프:PER>를 ‘해고’하기 힘들어졌다.
공화당	공화당	NNP	B-ORG
은	은	JX	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
해고	해고	NNG	O
’	’	SS	O
하	하	XSV	O
기	기	ETN	O
_	_	_	O
힘들어	힘들어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
